date,year,month,week,period,value
1/1/2017,2017,1,1,1,5
1/8/2017,2017,1,2,1,9
1/15/2017,2017,1,3,1,6
1/22/2017,2017,1,4,1,9
1/29/2017,2017,1,5,2,14
2/5/2017,2017,2,6,2,12
2/12/2017,2017,2,7,2,9
2/19/2017,2017,2,8,2,11
2/26/2017,2017,2,9,3,9
3/5/2017,2017,3,10,3,23
3/12/2017,2017,3,11,3,12
3/19/2017,2017,3,12,3,8
3/26/2017,2017,3,13,4,5
4/2/2017,2017,4,14,4,16
4/9/2017,2017,4,15,4,5
4/16/2017,2017,4,16,4,14
4/23/2017,2017,4,17,5,12
4/30/2017,2017,4,18,5,11
5/7/2017,2017,5,19,5,11
5/14/2017,2017,5,20,5,9
5/21/2017,2017,5,21,6,19
5/28/2017,2017,5,22,6,8
6/4/2017,2017,6,23,6,11
6/11/2017,2017,6,24,6,7
6/18/2017,2017,6,25,7,10
6/25/2017,2017,6,26,7,6
7/2/2017,2017,7,27,7,7
7/9/2017,2017,7,28,7,11
7/16/2017,2017,7,29,8,9
7/23/2017,2017,7,30,8,4
7/30/2017,2017,7,31,8,5
8/6/2017,2017,8,32,8,13
8/13/2017,2017,8,33,9,3
8/20/2017,2017,8,34,9,7
8/27/2017,2017,8,35,9,14
9/3/2017,2017,9,36,9,6
9/10/2017,2017,9,37,10,12
9/17/2017,2017,9,38,10,15
9/24/2017,2017,9,39,10,13
10/1/2017,2017,10,40,10,9
10/8/2017,2017,10,41,11,12
10/15/2017,2017,10,42,11,12
10/22/2017,2017,10,43,11,5
10/29/2017,2017,10,44,11,13
11/5/2017,2017,11,45,12,9
11/12/2017,2017,11,46,12,9
11/19/2017,2017,11,47,12,5
11/26/2017,2017,11,48,12,12
12/3/2017,2017,12,49,13,10
12/10/2017,2017,12,50,13,8
12/17/2017,2017,12,51,13,10
12/24/2017,2017,12,52,13,4
12/31/2017,2018,1,1,1,10
1/7/2018,2018,1,2,1,12
1/14/2018,2018,1,3,1,12
1/21/2018,2018,1,4,1,9
1/28/2018,2018,1,5,2,11
2/4/2018,2018,2,6,2,8
2/11/2018,2018,2,7,2,11
2/18/2018,2018,2,8,2,4
2/25/2018,2018,2,9,3,13
3/4/2018,2018,3,10,3,12
3/11/2018,2018,3,11,3,12
3/18/2018,2018,3,12,3,7
3/25/2018,2018,3,13,4,8
4/1/2018,2018,4,14,4,9
4/8/2018,2018,4,15,4,4
4/15/2018,2018,4,16,4,8
4/22/2018,2018,4,17,5,9
4/29/2018,2018,4,18,5,8
5/6/2018,2018,5,19,5,15
5/13/2018,2018,5,20,5,7
5/20/2018,2018,5,21,6,17
5/27/2018,2018,5,22,6,10
6/3/2018,2018,6,23,6,9
6/10/2018,2018,6,24,6,9
6/17/2018,2018,6,25,7,11
6/24/2018,2018,6,26,7,16
7/1/2018,2018,7,27,7,8
7/8/2018,2018,7,28,7,9
7/15/2018,2018,7,29,8,13
7/22/2018,2018,7,30,8,10
7/29/2018,2018,7,31,8,9
8/5/2018,2018,8,32,8,17
8/12/2018,2018,8,33,9,12
