Department,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
AMAZONAS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ANTIOQUIA,0,3,0,3,4,4,2,1,3,1,1,2,1,2,0,2,6,2,1,1,4,3,5,2,1,2,1,1,3,3,4,4,0,1,3,1,2,8,4,3,3,3,1,2,4,3,1,4,1,3,1,1
ARAUCA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,1
ATLANTICO,1,1,0,2,2,0,2,0,2,3,2,1,0,1,1,0,1,1,1,2,4,5,1,0,2,1,1,5,1,1,1,3,2,0,2,1,1,3,3,0,3,2,1,4,1,2,1,6,1,4,2,0
BOGOTA,1,3,2,5,2,1,1,0,3,3,3,4,2,5,1,3,2,2,3,2,10,1,1,4,5,5,3,1,2,1,3,4,3,3,2,0,3,2,2,3,1,0,5,2,1,2,2,3,2,0,1,1
BOLIVAR,3,2,3,0,2,1,1,0,1,3,0,0,1,2,1,1,3,1,3,0,3,2,3,1,0,1,1,1,2,1,0,2,0,1,2,1,0,2,1,0,2,2,1,2,1,2,0,1,4,3,5,0
BOYACA,1,0,0,0,0,0,1,1,1,1,0,2,3,0,1,0,0,1,0,0,2,0,0,1,0,0,0,1,1,1,0,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1
CALDAS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CAQUETA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CASANARE,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
