date,year,month,month_name,value
1/1/2017,2017,1,January,201
1/8/2017,2017,1,January,193
1/15/2017,2017,1,January,193
1/22/2017,2017,1,January,213
1/29/2017,2017,1,January,227
2/5/2017,2017,2,February,192
2/12/2017,2017,2,February,179
2/19/2017,2017,2,February,183
2/26/2017,2017,2,February,183
3/5/2017,2017,3,March,165
3/12/2017,2017,3,March,188
3/19/2017,2017,3,March,171
3/26/2017,2017,3,March,207
4/2/2017,2017,4,April,209
4/9/2017,2017,4,April,181
4/16/2017,2017,4,April,221
4/23/2017,2017,4,April,209
4/30/2017,2017,4,April,206
5/7/2017,2017,5,May,208
5/14/2017,2017,5,May,227
5/21/2017,2017,5,May,197
5/28/2017,2017,5,May,220
6/4/2017,2017,6,June,198
6/11/2017,2017,6,June,222
6/18/2017,2017,6,June,217
6/25/2017,2017,6,June,191
7/2/2017,2017,7,July,217
7/9/2017,2017,7,July,209
7/16/2017,2017,7,July,202
7/23/2017,2017,7,July,207
7/30/2017,2017,7,July,220
8/6/2017,2017,8,August,205
8/13/2017,2017,8,August,209
8/20/2017,2017,8,August,206
8/27/2017,2017,8,August,219
9/3/2017,2017,9,September,223
9/10/2017,2017,9,September,231
9/17/2017,2017,9,September,175
9/24/2017,2017,9,September,227
10/1/2017,2017,10,October,216
10/8/2017,2017,10,October,202
10/15/2017,2017,10,October,223
10/22/2017,2017,10,October,192
10/29/2017,2017,10,October,189
11/5/2017,2017,11,November,198
11/12/2017,2017,11,November,201
11/19/2017,2017,11,November,182
11/26/2017,2017,11,November,192
12/3/2017,2017,12,December,206
12/10/2017,2017,12,December,190
12/17/2017,2017,12,December,214
12/24/2017,2017,12,December,196
12/31/2017,2017,12,December,195
1/7/2018,2018,1,January,176
1/14/2018,2018,1,January,202
1/21/2018,2018,1,January,165
1/28/2018,2018,1,January,194
2/4/2018,2018,2,February,171
2/11/2018,2018,2,February,201
2/18/2018,2018,2,February,187
2/25/2018,2018,2,February,201
3/4/2018,2018,3,March,224
3/11/2018,2018,3,March,190
3/18/2018,2018,3,March,185
3/25/2018,2018,3,March,169
4/1/2018,2018,4,April,189
4/8/2018,2018,4,April,168
4/15/2018,2018,4,April,205
4/22/2018,2018,4,April,192
4/29/2018,2018,4,April,181
5/6/2018,2018,5,May,195
5/13/2018,2018,5,May,190
5/20/2018,2018,5,May,181
5/27/2018,2018,5,May,185
6/3/2018,2018,6,June,173
6/10/2018,2018,6,June,186
6/17/2018,2018,6,June,190
6/24/2018,2018,6,June,199
7/1/2018,2018,7,July,205
7/8/2018,2018,7,July,188
7/15/2018,2018,7,July,196
7/22/2018,2018,7,July,214
7/29/2018,2018,7,July,216
8/5/2018,2018,8,August,191
8/12/2018,2018,8,August,192
8/19/2018,2018,8,August,210
8/26/2018,2018,8,August,215
9/2/2018,2018,9,September,190
9/9/2018,2018,9,September,219
9/16/2018,2018,9,September,208
9/23/2018,2018,9,September,211
9/30/2018,2018,9,September,190
10/7/2018,2018,10,October,177
10/14/2018,2018,10,October,203
10/21/2018,2018,10,October,180
10/28/2018,2018,10,October,206
11/4/2018,2018,11,November,193
11/11/2018,2018,11,November,170
11/18/2018,2018,11,November,194
11/25/2018,2018,11,November,197
12/2/2018,2018,12,December,185
12/9/2018,2018,12,December,181
12/16/2018,2018,12,December,202
12/23/2018,2018,12,December,176
12/30/2018,2018,12,December,155
1/6/2019,2019,1,January,180
1/13/2019,2019,1,January,187
1/20/2019,2019,1,January,172
1/27/2019,2019,1,January,148
2/3/2019,2019,2,February,183
2/10/2019,2019,2,February,169
2/17/2019,2019,2,February,193
2/24/2019,2019,2,February,184
3/3/2019,2019,3,March,156
3/10/2019,2019,3,March,194
3/17/2019,2019,3,March,170
3/24/2019,2019,3,March,154
3/31/2019,2019,3,March,178
4/7/2019,2019,4,April,181
4/14/2019,2019,4,April,166
4/21/2019,2019,4,April,195
4/28/2019,2019,4,April,195
5/5/2019,2019,5,May,189
5/12/2019,2019,5,May,179
5/19/2019,2019,5,May,191
5/26/2019,2019,5,May,181
6/2/2019,2019,6,June,170
6/9/2019,2019,6,June,179
6/16/2019,2019,6,June,184
6/23/2019,2019,6,June,185
6/30/2019,2019,6,June,176
7/7/2019,2019,7,July,169
7/14/2019,2019,7,July,182
7/21/2019,2019,7,July,198
7/28/2019,2019,7,July,191
8/4/2019,2019,8,August,183
8/11/2019,2019,8,August,180
8/18/2019,2019,8,August,158
8/25/2019,2019,8,August,172
9/1/2019,2019,9,September,190
9/8/2019,2019,9,September,191
9/15/2019,2019,9,September,194
9/22/2019,2019,9,September,183
9/29/2019,2019,9,September,169
10/6/2019,2019,10,October,193
10/13/2019,2019,10,October,154
10/20/2019,2019,10,October,155
10/27/2019,2019,10,October,165
11/3/2019,2019,11,November,165
11/10/2019,2019,11,November,179
11/17/2019,2019,11,November,152
11/24/2019,2019,11,November,145
12/1/2019,2019,12,December,146
12/8/2019,2019,12,December,155
12/15/2019,2019,12,December,129
12/22/2019,2019,12,December,136
12/29/2019,2019,12,December,166
1/5/2020,2020,1,January,167
1/12/2020,2020,1,January,164
1/19/2020,2020,1,January,144
1/26/2020,2020,1,January,152
2/2/2020,2020,2,February,153
2/9/2020,2020,2,February,131
2/16/2020,2020,2,February,102
