department,date,value
AMAZONAS,1/1/2017,0
ANTIOQUIA,1/1/2017,22
ARAUCA,1/1/2017,0
ATLANTICO,1/1/2017,13
BOGOTA,1/1/2017,20
BOLIVAR,1/1/2017,16
BOYACA,1/1/2017,3
CALDAS,1/1/2017,7
CAQUETA,1/1/2017,2
CASANARE,1/1/2017,0
CAUCA,1/1/2017,9
CESAR,1/1/2017,9
CHOCO,1/1/2017,4
CORDOBA,1/1/2017,12
CUNDINAMARCA,1/1/2017,4
GUAINIA,1/1/2017,0
GUAVIARE,1/1/2017,0
HUILA,1/1/2017,8
LA GUAJIRA,1/1/2017,5
MAGDALENA,1/1/2017,7
META,1/1/2017,3
NARIÑO,1/1/2017,7
NORTE SANTANDER,1/1/2017,5
PUTUMAYO,1/1/2017,1
QUINDIO,1/1/2017,0
RISARALDA,1/1/2017,3
SAN ANDRES,1/1/2017,1
SANTANDER,1/1/2017,8
SUCRE,1/1/2017,4
TOLIMA,1/1/2017,5
VALLE DEL CAUCA,1/1/2017,22
VAUPES,1/1/2017,1
VICHADA,1/1/2017,0
AMAZONAS,1/8/2017,1
ANTIOQUIA,1/8/2017,25
ARAUCA,1/8/2017,3
ATLANTICO,1/8/2017,5
BOGOTA,1/8/2017,34
BOLIVAR,1/8/2017,11
BOYACA,1/8/2017,5
CALDAS,1/8/2017,0
CAQUETA,1/8/2017,1
CASANARE,1/8/2017,3
CAUCA,1/8/2017,7
CESAR,1/8/2017,4
CHOCO,1/8/2017,3
CORDOBA,1/8/2017,4
CUNDINAMARCA,1/8/2017,4
GUAINIA,1/8/2017,0
GUAVIARE,1/8/2017,0
HUILA,1/8/2017,5
LA GUAJIRA,1/8/2017,15
MAGDALENA,1/8/2017,6
META,1/8/2017,3
NARIÑO,1/8/2017,10
NORTE SANTANDER,1/8/2017,6
PUTUMAYO,1/8/2017,1
QUINDIO,1/8/2017,2
RISARALDA,1/8/2017,1
SAN ANDRES,1/8/2017,0
SANTANDER,1/8/2017,1
SUCRE,1/8/2017,2
TOLIMA,1/8/2017,3
VALLE DEL CAUCA,1/8/2017,25
VAUPES,1/8/2017,0
VICHADA,1/8/2017,1
AMAZONAS,1/15/2017,0
ANTIOQUIA,1/15/2017,21
ARAUCA,1/15/2017,4
ATLANTICO,1/15/2017,10
BOGOTA,1/15/2017,29
BOLIVAR,1/15/2017,8
BOYACA,1/15/2017,3
CALDAS,1/15/2017,3
CAQUETA,1/15/2017,3
CASANARE,1/15/2017,2
CAUCA,1/15/2017,3
CESAR,1/15/2017,4
CHOCO,1/15/2017,7
CORDOBA,1/15/2017,10
CUNDINAMARCA,1/15/2017,7
GUAINIA,1/15/2017,0
GUAVIARE,1/15/2017,0
HUILA,1/15/2017,7
LA GUAJIRA,1/15/2017,6
MAGDALENA,1/15/2017,8
META,1/15/2017,5
NARIÑO,1/15/2017,7
NORTE SANTANDER,1/15/2017,7
PUTUMAYO,1/15/2017,1
QUINDIO,1/15/2017,2
RISARALDA,1/15/2017,5
SAN ANDRES,1/15/2017,1
SANTANDER,1/15/2017,7
SUCRE,1/15/2017,2
TOLIMA,1/15/2017,3
VALLE DEL CAUCA,1/15/2017,17
VAUPES,1/15/2017,0
VICHADA,1/15/2017,1
AMAZONAS,1/22/2017,1
ANTIOQUIA,1/22/2017,28
ARAUCA,1/22/2017,0
ATLANTICO,1/22/2017,14
BOGOTA,1/22/2017,32
BOLIVAR,1/22/2017,10
BOYACA,1/22/2017,4
CALDAS,1/22/2017,5
CAQUETA,1/22/2017,3
CASANARE,1/22/2017,0
CAUCA,1/22/2017,7
CESAR,1/22/2017,8
CHOCO,1/22/2017,3
CORDOBA,1/22/2017,14
CUNDINAMARCA,1/22/2017,11
GUAINIA,1/22/2017,0
GUAVIARE,1/22/2017,0
HUILA,1/22/2017,2
LA GUAJIRA,1/22/2017,11
MAGDALENA,1/22/2017,5
META,1/22/2017,3
NARIÑO,1/22/2017,2
NORTE SANTANDER,1/22/2017,6
PUTUMAYO,1/22/2017,1
QUINDIO,1/22/2017,1
RISARALDA,1/22/2017,3
SAN ANDRES,1/22/2017,0
SANTANDER,1/22/2017,5
SUCRE,1/22/2017,8
TOLIMA,1/22/2017,5
VALLE DEL CAUCA,1/22/2017,20
VAUPES,1/22/2017,1
VICHADA,1/22/2017,0
AMAZONAS,1/29/2017,2
ANTIOQUIA,1/29/2017,22
ARAUCA,1/29/2017,2
ATLANTICO,1/29/2017,9
BOGOTA,1/29/2017,26
BOLIVAR,1/29/2017,11
BOYACA,1/29/2017,9
CALDAS,1/29/2017,2
CAQUETA,1/29/2017,3
CASANARE,1/29/2017,2
CAUCA,1/29/2017,13
CESAR,1/29/2017,7
CHOCO,1/29/2017,4
CORDOBA,1/29/2017,15
