INDICATOR,SUB_INDICATOR,ENTITY,DEPARTMENT,YEAR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
TB,TUBERCULOSIS EXTRA PULMONAR,PROCEDENCIA DESCONOCIDA,PROCEDENCIA DESCONOCIDA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,EXTERIOR,EXTERIOR,2017,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,ANTIOQUIA,ANTIOQUIA,2017,8,8,10,6,13,6,8,4,12,14,12,14,11,5,8,10,7,9,11,9,11,11,21,8,6,8,5,10,7,5,9,7,6,6,9,4,11,3,10,9,8,12,5,7,6,11,11,10,6,5,9,9
TB,TUBERCULOSIS EXTRA PULMONAR,ATLANTICO,ATLANTICO,2017,1,3,2,2,5,3,5,2,3,2,2,2,1,2,1,3,1,4,4,4,3,3,3,1,3,1,4,2,2,6,3,1,2,2,2,5,1,1,0,0,4,1,3,2,1,0,2,4,1,1,1,2
TB,TUBERCULOSIS EXTRA PULMONAR,BOGOTA,BOGOTA,2017,8,2,6,4,4,4,8,6,0,3,3,6,8,10,1,6,5,7,5,9,6,3,4,3,5,6,3,4,3,8,7,5,3,5,9,7,2,8,6,3,3,8,8,4,3,3,4,5,0,2,6,4
TB,TUBERCULOSIS EXTRA PULMONAR,BOLIVAR,BOLIVAR,2017,0,3,3,1,1,2,0,1,2,4,1,0,0,0,1,2,0,1,1,4,0,1,1,1,1,1,1,0,4,0,1,0,3,0,0,1,3,1,2,2,3,3,2,0,3,3,2,2,0,1,2,3
TB,TUBERCULOSIS EXTRA PULMONAR,BOYACA,BOYACA,2017,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,1,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CALDAS,CALDAS,2017,1,1,0,0,0,0,3,1,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,2,1,0,0,1,1,2,0,1,1,0,2,2,1,0,0,0,3,1
TB,TUBERCULOSIS EXTRA PULMONAR,CAQUETA,CAQUETA,2017,1,0,0,0,0,1,0,2,2,1,1,1,2,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,0,1,0,1,1,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,CAUCA,CAUCA,2017,0,0,0,2,0,1,0,0,1,0,3,3,4,1,0,1,1,1,0,2,3,0,0,3,2,1,1,0,1,0,0,0,0,0,0,3,1,0,1,0,0,1,1,2,0,0,0,1,1,0,1,0
