department,date,value
ANTIOQUIA,12/31/2017,0
ARAUCA,12/31/2017,0
ATLANTICO,12/31/2017,1
BOGOTA,12/31/2017,1
BOLIVAR,12/31/2017,1
BOYACA,12/31/2017,0
CALDAS,12/31/2017,0
CAQUETA,12/31/2017,1
CASANARE,12/31/2017,0
CAUCA,12/31/2017,1
CESAR,12/31/2017,0
CHOCO,12/31/2017,0
CORDOBA,12/31/2017,1
CUNDINAMARCA,12/31/2017,1
EXTERIOR,12/31/2017,0
GUAINIA,12/31/2017,0
HUILA,12/31/2017,0
LA GUAJIRA,12/31/2017,0
MAGDALENA,12/31/2017,0
META,12/31/2017,0
NARIÑO,12/31/2017,1
NORTE SANTANDER,12/31/2017,1
PUTUMAYO,12/31/2017,0
QUINDIO,12/31/2017,0
RISARALDA,12/31/2017,0
SANTANDER,12/31/2017,1
SUCRE,12/31/2017,0
TOLIMA,12/31/2017,0
VALLE DEL CAUCA,12/31/2017,0
VAUPES,12/31/2017,0
VICHADA,12/31/2017,0
ANTIOQUIA,1/7/2018,2
ARAUCA,1/7/2018,0
ATLANTICO,1/7/2018,0
BOGOTA,1/7/2018,1
BOLIVAR,1/7/2018,0
BOYACA,1/7/2018,0
CALDAS,1/7/2018,0
CAQUETA,1/7/2018,0
CASANARE,1/7/2018,0
CAUCA,1/7/2018,0
CESAR,1/7/2018,0
CHOCO,1/7/2018,0
CORDOBA,1/7/2018,1
CUNDINAMARCA,1/7/2018,2
EXTERIOR,1/7/2018,0
GUAINIA,1/7/2018,0
HUILA,1/7/2018,0
LA GUAJIRA,1/7/2018,1
MAGDALENA,1/7/2018,0
META,1/7/2018,0
NARIÑO,1/7/2018,1
NORTE SANTANDER,1/7/2018,0
PUTUMAYO,1/7/2018,0
QUINDIO,1/7/2018,1
RISARALDA,1/7/2018,0
SANTANDER,1/7/2018,1
SUCRE,1/7/2018,0
TOLIMA,1/7/2018,0
VALLE DEL CAUCA,1/7/2018,2
VAUPES,1/7/2018,0
VICHADA,1/7/2018,0
ANTIOQUIA,1/14/2018,0
ARAUCA,1/14/2018,0
ATLANTICO,1/14/2018,0
BOGOTA,1/14/2018,1
BOLIVAR,1/14/2018,2
BOYACA,1/14/2018,0
CALDAS,1/14/2018,0
CAQUETA,1/14/2018,0
CASANARE,1/14/2018,0
CAUCA,1/14/2018,1
CESAR,1/14/2018,2
CHOCO,1/14/2018,0
CORDOBA,1/14/2018,0
CUNDINAMARCA,1/14/2018,0
EXTERIOR,1/14/2018,0
GUAINIA,1/14/2018,0
HUILA,1/14/2018,0
LA GUAJIRA,1/14/2018,1
MAGDALENA,1/14/2018,1
META,1/14/2018,1
NARIÑO,1/14/2018,1
NORTE SANTANDER,1/14/2018,0
PUTUMAYO,1/14/2018,0
QUINDIO,1/14/2018,0
RISARALDA,1/14/2018,1
SANTANDER,1/14/2018,0
SUCRE,1/14/2018,1
TOLIMA,1/14/2018,0
VALLE DEL CAUCA,1/14/2018,0
VAUPES,1/14/2018,0
VICHADA,1/14/2018,0
ANTIOQUIA,1/21/2018,1
ARAUCA,1/21/2018,0
ATLANTICO,1/21/2018,0
BOGOTA,1/21/2018,1
BOLIVAR,1/21/2018,0
BOYACA,1/21/2018,0
CALDAS,1/21/2018,0
CAQUETA,1/21/2018,0
CASANARE,1/21/2018,0
CAUCA,1/21/2018,0
CESAR,1/21/2018,0
CHOCO,1/21/2018,1
CORDOBA,1/21/2018,0
CUNDINAMARCA,1/21/2018,2
EXTERIOR,1/21/2018,0
GUAINIA,1/21/2018,0
HUILA,1/21/2018,0
LA GUAJIRA,1/21/2018,0
MAGDALENA,1/21/2018,1
META,1/21/2018,0
NARIÑO,1/21/2018,1
NORTE SANTANDER,1/21/2018,0
PUTUMAYO,1/21/2018,0
QUINDIO,1/21/2018,0
RISARALDA,1/21/2018,0
SANTANDER,1/21/2018,0
SUCRE,1/21/2018,0
TOLIMA,1/21/2018,0
VALLE DEL CAUCA,1/21/2018,2
VAUPES,1/21/2018,0
VICHADA,1/21/2018,0
ANTIOQUIA,1/28/2018,2
ARAUCA,1/28/2018,0
ATLANTICO,1/28/2018,0
BOGOTA,1/28/2018,1
BOLIVAR,1/28/2018,1
BOYACA,1/28/2018,0
CALDAS,1/28/2018,0
CAQUETA,1/28/2018,0
CASANARE,1/28/2018,0
CAUCA,1/28/2018,1
CESAR,1/28/2018,0
CHOCO,1/28/2018,0
CORDOBA,1/28/2018,0
CUNDINAMARCA,1/28/2018,1
EXTERIOR,1/28/2018,0
GUAINIA,1/28/2018,0
HUILA,1/28/2018,0
LA GUAJIRA,1/28/2018,0
MAGDALENA,1/28/2018,1
META,1/28/2018,1
NARIÑO,1/28/2018,1
NORTE SANTANDER,1/28/2018,0
PUTUMAYO,1/28/2018,0
QUINDIO,1/28/2018,0
RISARALDA,1/28/2018,0
SANTANDER,1/28/2018,0
SUCRE,1/28/2018,1
TOLIMA,1/28/2018,0
VALLE DEL CAUCA,1/28/2018,0
VAUPES,1/28/2018,0
VICHADA,1/28/2018,1
ANTIOQUIA,2/4/2018,1
ARAUCA,2/4/2018,0
ATLANTICO,2/4/2018,0
BOGOTA,2/4/2018,1
BOLIVAR,2/4/2018,0
BOYACA,2/4/2018,0
CALDAS,2/4/2018,0
CAQUETA,2/4/2018,0
CASANARE,2/4/2018,0
CAUCA,2/4/2018,1
CESAR,2/4/2018,0
CHOCO,2/4/2018,0
CORDOBA,2/4/2018,1
CUNDINAMARCA,2/4/2018,1
EXTERIOR,2/4/2018,0
GUAINIA,2/4/2018,0
HUILA,2/4/2018,0
LA GUAJIRA,2/4/2018,0
MAGDALENA,2/4/2018,0
META,2/4/2018,0
NARIÑO,2/4/2018,1
NORTE SANTANDER,2/4/2018,1
PUTUMAYO,2/4/2018,0
QUINDIO,2/4/2018,0
RISARALDA,2/4/2018,0
SANTANDER,2/4/2018,0
SUCRE,2/4/2018,0
TOLIMA,2/4/2018,0
VALLE DEL CAUCA,2/4/2018,1
VAUPES,2/4/2018,0
VICHADA,2/4/2018,0
ANTIOQUIA,2/11/2018,0
ARAUCA,2/11/2018,0
ATLANTICO,2/11/2018,0
BOGOTA,2/11/2018,1
BOLIVAR,2/11/2018,1
BOYACA,2/11/2018,1
CALDAS,2/11/2018,0
CAQUETA,2/11/2018,0
CASANARE,2/11/2018,0
CAUCA,2/11/2018,0
CESAR,2/11/2018,0
CHOCO,2/11/2018,3
CORDOBA,2/11/2018,0
CUNDINAMARCA,2/11/2018,0
EXTERIOR,2/11/2018,0
GUAINIA,2/11/2018,0
HUILA,2/11/2018,0
LA GUAJIRA,2/11/2018,0
MAGDALENA,2/11/2018,0
META,2/11/2018,1
NARIÑO,2/11/2018,0
NORTE SANTANDER,2/11/2018,1
PUTUMAYO,2/11/2018,0
QUINDIO,2/11/2018,0
RISARALDA,2/11/2018,0
SANTANDER,2/11/2018,0
SUCRE,2/11/2018,0
TOLIMA,2/11/2018,0
VALLE DEL CAUCA,2/11/2018,3
VAUPES,2/11/2018,0
VICHADA,2/11/2018,0
ANTIOQUIA,2/18/2018,1
ARAUCA,2/18/2018,0
ATLANTICO,2/18/2018,0
BOGOTA,2/18/2018,0
BOLIVAR,2/18/2018,0
BOYACA,2/18/2018,0
CALDAS,2/18/2018,0
CAQUETA,2/18/2018,0
CASANARE,2/18/2018,0
CAUCA,2/18/2018,0
CESAR,2/18/2018,0
CHOCO,2/18/2018,0
CORDOBA,2/18/2018,0
CUNDINAMARCA,2/18/2018,0
EXTERIOR,2/18/2018,0
GUAINIA,2/18/2018,0
HUILA,2/18/2018,0
LA GUAJIRA,2/18/2018,1
MAGDALENA,2/18/2018,0
META,2/18/2018,0
NARIÑO,2/18/2018,0
NORTE SANTANDER,2/18/2018,0
PUTUMAYO,2/18/2018,0
QUINDIO,2/18/2018,0
RISARALDA,2/18/2018,0
SANTANDER,2/18/2018,1
SUCRE,2/18/2018,0
TOLIMA,2/18/2018,0
VALLE DEL CAUCA,2/18/2018,1
VAUPES,2/18/2018,0
VICHADA,2/18/2018,0
ANTIOQUIA,2/25/2018,1
ARAUCA,2/25/2018,0
ATLANTICO,2/25/2018,1
BOGOTA,2/25/2018,1
