Department,area,population,pib,last_births,perc_women,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
AMAZONAS,9.6,0.15,0.08,0.21,47.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ANTIOQUIA,5.57,13.4,14.39,11.48,51.68,0,3,0,3,4,4,2,1,3,1,1,2,1,2,0,2,6,2,1,1,4,3,5,2,1,2,1,1,3,3,4,4,0,1,3,1,2,8,4,3,3,3,1,2,4,3,1,4,1,3,1,1
ARAUCA,2.08,0.54,0.52,0.8,49.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,1
ATLANTICO,0.26,5.11,4.4,6.75,51.3,1,1,0,2,2,0,2,0,2,3,2,1,0,1,1,0,1,1,1,2,4,5,1,0,2,1,1,5,1,1,1,3,2,0,2,1,1,3,3,0,3,2,1,4,1,2,1,6,1,4,2,0
BOGOTA,0.16,16.35,25.61,15.95,52.15,1,3,2,5,2,1,1,0,3,3,3,4,2,5,1,3,2,2,3,2,10,1,1,4,5,5,3,1,2,1,3,4,3,3,2,0,3,2,2,3,1,0,5,2,1,2,2,3,2,0,1,1
BOLIVAR,2.27,4.35,3.6,5.27,50.39,3,2,3,0,2,1,1,0,1,3,0,0,1,2,1,1,3,1,3,0,3,2,3,1,0,1,1,1,2,1,0,2,0,1,2,1,0,2,1,0,2,2,1,2,1,2,0,1,4,3,5,0
BOYACA,2.01,2.65,2.71,2.12,50.76,1,0,0,0,0,0,1,1,1,1,0,2,3,0,1,0,0,1,0,0,2,0,0,1,0,0,0,1,1,1,0,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1
CALDAS,0.69,2.05,1.59,1.35,51.58,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
CAQUETA,7.79,0.99,0.41,1.08,49.4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CASANARE,3.89,0.74,1.59,0.92,49.55,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
