zone,date,year,month,week,value
AMAZONIA,1/1/2018,2018,1,1,1
AMAZONIA,1/7/2018,2018,1,2,0
AMAZONIA,1/14/2018,2018,1,3,0
AMAZONIA,1/21/2018,2018,1,4,0
AMAZONIA,1/28/2018,2018,1,5,0
AMAZONIA,2/4/2018,2018,2,6,0
AMAZONIA,2/11/2018,2018,2,7,0
AMAZONIA,2/18/2018,2018,2,8,0
AMAZONIA,2/25/2018,2018,2,9,2
AMAZONIA,3/4/2018,2018,3,10,0
AMAZONIA,3/11/2018,2018,3,11,0
AMAZONIA,3/18/2018,2018,3,12,0
AMAZONIA,3/25/2018,2018,3,13,0
AMAZONIA,4/1/2018,2018,4,14,0
AMAZONIA,4/8/2018,2018,4,15,1
AMAZONIA,4/15/2018,2018,4,16,0
AMAZONIA,4/22/2018,2018,4,17,0
AMAZONIA,4/29/2018,2018,4,18,0
AMAZONIA,5/6/2018,2018,5,19,1
AMAZONIA,5/13/2018,2018,5,20,0
AMAZONIA,5/20/2018,2018,5,21,0
AMAZONIA,5/27/2018,2018,5,22,0
AMAZONIA,6/3/2018,2018,6,23,1
AMAZONIA,6/10/2018,2018,6,24,1
AMAZONIA,6/17/2018,2018,6,25,1
AMAZONIA,6/24/2018,2018,6,26,0
AMAZONIA,7/1/2018,2018,7,27,1
AMAZONIA,7/8/2018,2018,7,28,0
AMAZONIA,7/15/2018,2018,7,29,1
AMAZONIA,7/22/2018,2018,7,30,1
AMAZONIA,7/29/2018,2018,7,31,0
AMAZONIA,8/5/2018,2018,8,32,0
AMAZONIA,8/12/2018,2018,8,33,1
AMAZONIA,8/19/2018,2018,8,34,0
AMAZONIA,8/26/2018,2018,8,35,0
AMAZONIA,9/2/2018,2018,9,36,0
AMAZONIA,9/9/2018,2018,9,37,0
AMAZONIA,9/16/2018,2018,9,38,0
AMAZONIA,9/23/2018,2018,9,39,0
AMAZONIA,9/30/2018,2018,9,40,0
AMAZONIA,10/7/2018,2018,10,41,0
AMAZONIA,10/14/2018,2018,10,42,0
AMAZONIA,10/21/2018,2018,10,43,2
AMAZONIA,10/28/2018,2018,10,44,0
AMAZONIA,11/4/2018,2018,11,45,0
AMAZONIA,11/11/2018,2018,11,46,0
AMAZONIA,11/18/2018,2018,11,47,0
AMAZONIA,11/25/2018,2018,11,48,1
AMAZONIA,12/2/2018,2018,12,49,1
AMAZONIA,12/9/2018,2018,12,50,2
AMAZONIA,12/16/2018,2018,12,51,0
AMAZONIA,12/23/2018,2018,12,52,0
AMAZONIA,1/1/2019,2019,1,1,1
AMAZONIA,1/6/2019,2019,1,2,0
AMAZONIA,1/13/2019,2019,1,3,0
AMAZONIA,1/20/2019,2019,1,4,0
AMAZONIA,1/27/2019,2019,1,5,1
AMAZONIA,2/3/2019,2019,2,6,0
AMAZONIA,2/10/2019,2019,2,7,0
AMAZONIA,2/17/2019,2019,2,8,0
