date,year,month,week,period,value
1/1/2017,2017,1,1,1,201
1/8/2017,2017,1,2,1,193
1/15/2017,2017,1,3,1,193
1/22/2017,2017,1,4,1,213
1/29/2017,2017,1,5,2,227
2/5/2017,2017,2,6,2,192
2/12/2017,2017,2,7,2,179
2/19/2017,2017,2,8,2,183
2/26/2017,2017,2,9,3,183
3/5/2017,2017,3,10,3,165
3/12/2017,2017,3,11,3,188
3/19/2017,2017,3,12,3,171
3/26/2017,2017,3,13,4,207
4/2/2017,2017,4,14,4,209
4/9/2017,2017,4,15,4,181
4/16/2017,2017,4,16,4,221
4/23/2017,2017,4,17,5,209
4/30/2017,2017,4,18,5,206
5/7/2017,2017,5,19,5,208
5/14/2017,2017,5,20,5,227
5/21/2017,2017,5,21,6,197
5/28/2017,2017,5,22,6,220
6/4/2017,2017,6,23,6,198
6/11/2017,2017,6,24,6,222
6/18/2017,2017,6,25,7,217
6/25/2017,2017,6,26,7,191
7/2/2017,2017,7,27,7,217
7/9/2017,2017,7,28,7,209
7/16/2017,2017,7,29,8,202
7/23/2017,2017,7,30,8,207
7/30/2017,2017,7,31,8,220
8/6/2017,2017,8,32,8,205
8/13/2017,2017,8,33,9,209
8/20/2017,2017,8,34,9,206
8/27/2017,2017,8,35,9,219
9/3/2017,2017,9,36,9,223
9/10/2017,2017,9,37,10,231
9/17/2017,2017,9,38,10,175
9/24/2017,2017,9,39,10,227
10/1/2017,2017,10,40,10,216
10/8/2017,2017,10,41,11,202
10/15/2017,2017,10,42,11,223
10/22/2017,2017,10,43,11,192
10/29/2017,2017,10,44,11,189
11/5/2017,2017,11,45,12,198
11/12/2017,2017,11,46,12,201
11/19/2017,2017,11,47,12,182
11/26/2017,2017,11,48,12,192
12/3/2017,2017,12,49,13,206
12/10/2017,2017,12,50,13,190
12/17/2017,2017,12,51,13,214
12/24/2017,2017,12,52,13,196
12/31/2017,2018,1,1,1,195
1/7/2018,2018,1,2,1,176
1/14/2018,2018,1,3,1,202
1/21/2018,2018,1,4,1,165
1/28/2018,2018,1,5,2,194
2/4/2018,2018,2,6,2,171
2/11/2018,2018,2,7,2,201
2/18/2018,2018,2,8,2,187
2/25/2018,2018,2,9,3,201
3/4/2018,2018,3,10,3,224
3/11/2018,2018,3,11,3,190
3/18/2018,2018,3,12,3,185
3/25/2018,2018,3,13,4,169
4/1/2018,2018,4,14,4,189
4/8/2018,2018,4,15,4,168
4/15/2018,2018,4,16,4,205
4/22/2018,2018,4,17,5,192
4/29/2018,2018,4,18,5,181
5/6/2018,2018,5,19,5,195
5/13/2018,2018,5,20,5,190
5/20/2018,2018,5,21,6,181
5/27/2018,2018,5,22,6,185
6/3/2018,2018,6,23,6,173
6/10/2018,2018,6,24,6,186
6/17/2018,2018,6,25,7,190
6/24/2018,2018,6,26,7,199
7/1/2018,2018,7,27,7,205
7/8/2018,2018,7,28,7,188
7/15/2018,2018,7,29,8,196
7/22/2018,2018,7,30,8,214
7/29/2018,2018,7,31,8,216
8/5/2018,2018,8,32,8,191
8/12/2018,2018,8,33,9,192
8/19/2018,2018,8,34,9,210
8/26/2018,2018,8,35,9,215
9/2/2018,2018,9,36,9,190
9/9/2018,2018,9,37,10,219
9/16/2018,2018,9,38,10,208
9/23/2018,2018,9,39,10,211
9/30/2018,2018,9,40,10,190
10/7/2018,2018,10,41,11,177
10/14/2018,2018,10,42,11,203
10/21/2018,2018,10,43,11,180
10/28/2018,2018,10,44,11,206
11/4/2018,2018,11,45,12,193
11/11/2018,2018,11,46,12,170
11/18/2018,2018,11,47,12,194
11/25/2018,2018,11,48,12,197
