Date,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE SANTANDER,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
1/1/2017,0,22,0,13,20,16,3,7,2,0,9,9,4,12,4,0,0,8,5,7,3,7,5,1,0,3,1,8,4,5,22,1,0
1/8/2017,1,25,3,5,34,11,5,0,1,3,7,4,3,4,4,0,0,5,15,6,3,10,6,1,2,1,0,1,2,3,25,0,1
1/15/2017,0,21,4,10,29,8,3,3,3,2,3,4,7,10,7,0,0,7,6,8,5,7,7,1,2,5,1,7,2,3,17,0,1
1/22/2017,1,28,0,14,32,10,4,5,3,0,7,8,3,14,11,0,0,2,11,5,3,2,6,1,1,3,0,5,8,5,20,1,0
1/29/2017,2,22,2,9,26,11,9,2,3,2,13,7,4,15,9,0,1,8,7,6,4,12,5,3,1,0,0,5,7,8,24,0,0
2/5/2017,0,14,0,16,32,11,1,3,3,2,8,5,6,7,12,0,0,8,9,8,6,3,5,1,1,2,0,2,4,9,12,1,1
2/12/2017,0,21,0,14,33,8,3,1,2,0,7,9,6,8,4,0,0,5,5,3,4,7,5,0,1,3,1,10,2,6,10,0,0
2/19/2017,0,17,1,13,35,11,5,2,0,2,7,11,4,8,8,0,1,5,3,5,3,7,2,0,0,3,1,4,6,4,14,0,1
2/26/2017,0,18,2,7,37,13,4,1,3,4,2,10,5,6,4,0,0,8,5,4,1,12,2,0,5,1,3,5,2,3,16,0,0
3/5/2017,0,21,1,9,30,6,4,2,2,1,8,5,0,10,1,0,0,3,6,5,6,6,11,1,0,3,0,4,3,4,11,0,1
3/12/2017,0,24,1,10,31,9,0,2,2,2,7,7,7,12,11,1,2,3,8,6,2,10,7,1,2,2,0,1,2,2,11,0,2
3/19/2017,0,15,2,16,25,15,4,1,1,0,4,4,4,10,7,0,0,1,5,5,2,3,6,2,1,1,0,5,3,6,23,0,0
3/26/2017,2,22,1,18,31,11,3,3,2,0,3,8,3,12,13,0,0,7,4,8,3,6,6,2,4,1,2,7,4,6,12,0,3
4/2/2017,3,24,2,10,33,15,5,0,4,4,9,9,1,11,10,0,0,4,7,8,3,4,4,0,3,5,1,5,9,4,12,0,0
4/9/2017,1,19,3,11,29,12,1,4,1,2,4,11,3,8,8,0,0,5,8,7,5,1,3,2,1,4,0,4,5,4,13,0,0
4/16/2017,1,28,0,13,46,15,2,3,5,2,6,5,11,10,8,0,0,8,7,10,3,6,6,2,2,0,0,5,2,5,9,1,0
4/23/2017,0,28,0,8,42,12,6,3,3,0,7,5,5,10,8,0,1,6,9,9,4,3,3,0,2,5,0,3,6,8,10,1,2
4/30/2017,0,11,1,7,39,16,2,2,3,1,4,9,1,15,5,1,1,2,6,11,4,10,5,3,2,4,1,5,10,5,17,0,0
5/7/2017,1,20,0,16,44,8,6,2,4,1,10,4,2,8,9,0,1,3,0,13,6,7,3,2,2,0,0,6,4,3,21,0,1
5/14/2017,0,21,0,18,41,13,3,6,2,2,8,6,7,5,16,0,0,3,9,3,5,8,5,0,2,3,0,9,6,5,21,0,0
5/21/2017,0,26,0,5,29,6,2,2,3,2,10,8,7,9,6,0,2,7,8,2,6,4,5,2,3,0,1,4,8,4,23,1,0
5/28/2017,1,22,1,8,37,14,1,3,1,2,8,8,2,18,9,0,0,2,13,4,7,8,3,3,1,3,2,13,5,1,14,0,3
6/4/2017,0,14,2,10,31,12,3,3,7,2,8,7,7,12,6,0,0,6,5,11,2,6,5,5,2,3,0,4,3,10,12,0,0
6/11/2017,0,19,3,12,39,16,2,3,6,1,7,4,5,11,9,0,0,2,8,11,3,12,1,2,3,3,1,10,3,8,17,0,0
6/18/2017,2,27,1,10,33,17,4,4,0,2,3,7,5,8,4,0,0,7,7,11,7,7,6,0,1,3,0,8,3,3,25,0,1
6/25/2017,0,21,0,13,27,10,8,2,0,1,0,7,4,13,7,0,0,6,6,7,6,8,7,0,2,3,0,3,8,3,18,0,1
7/2/2017,1,29,0,15,29,11,3,1,0,1,9,7,0,19,9,0,1,5,5,9,2,9,3,1,3,3,0,5,5,12,17,0,1
7/9/2017,1,24,0,14,26,17,2,3,4,5,9,6,5,10,9,0,0,5,7,10,1,6,3,3,2,4,0,4,8,2,16,0,1
7/16/2017,0,20,0,8,33,11,6,1,1,0,7,3,8,13,7,0,0,5,11,9,8,2,4,2,2,1,0,8,7,4,20,0,1
7/23/2017,0,32,0,12,30,10,2,2,0,0,10,8,6,6,10,0,1,4,10,5,10,2,4,2,3,2,0,11,5,4,15,1,0
7/30/2017,0,16,0,20,32,10,2,3,4,1,9,15,5,16,12,0,0,8,4,7,7,6,6,1,5,5,1,5,2,5,12,0,0
8/6/2017,0,24,3,17,25,15,4,2,5,0,4,9,3,12,10,0,0,6,6,8,4,6,3,0,1,4,0,5,4,10,13,0,0
8/13/2017,0,23,0,5,25,15,4,1,4,0,5,5,6,11,4,0,1,11,7,5,5,12,2,1,0,5,1,8,5,5,31,0,0
8/20/2017,0,18,2,14,22,14,1,3,0,2,5,10,5,15,7,0,0,7,3,11,4,6,7,1,1,8,0,11,6,3,17,0,1
8/27/2017,0,24,0,18,29,10,1,5,1,1,10,8,2,12,7,0,1,5,6,12,6,11,10,2,1,4,1,5,4,7,15,0,0
9/3/2017,0,27,2,13,31,13,3,5,1,0,6,9,6,12,11,1,0,5,17,12,5,3,7,2,0,2,0,6,6,1,12,1,0
9/10/2017,1,22,4,17,35,10,5,6,1,2,9,7,6,13,12,1,0,3,13,5,6,6,6,2,1,1,0,8,7,5,13,0,2
9/17/2017,1,23,0,17,21,14,0,2,2,2,4,4,2,13,10,0,0,3,6,5,3,6,4,0,1,0,0,3,5,5,18,0,0
9/24/2017,0,24,0,19,35,12,3,1,2,2,7,10,4,11,14,0,0,4,7,9,3,5,10,4,2,6,0,5,8,7,13,0,0
10/1/2017,0,30,1,19,24,14,4,3,2,0,8,7,4,9,9,1,1,3,9,10,5,5,9,1,0,4,0,9,4,5,14,0,0
10/8/2017,1,24,0,18,24,17,2,4,0,1,4,7,2,12,6,0,1,5,5,16,3,6,2,0,2,2,0,7,7,3,18,0,0
10/15/2017,1,27,1,19,32,17,5,4,1,1,9,9,5,14,12,0,0,7,4,4,5,7,7,0,1,1,0,9,3,4,13,0,0
10/22/2017,1,25,0,19,21,19,2,3,0,3,8,7,1,9,9,0,0,4,5,10,2,5,1,1,3,3,0,10,8,5,8,0,0
10/29/2017,1,17,1,16,29,9,6,2,3,1,5,9,1,6,5,0,0,7,14,9,4,9,8,0,1,2,0,7,1,2,10,1,0
11/5/2017,0,24,5,14,28,11,2,1,1,2,6,2,6,9,6,0,1,4,3,6,4,11,6,2,2,1,0,3,12,3,20,0,1
