indicator,sub_indicator,entity,department,year,week_01,week_02,week_03,week_04,week_05,week_06,week_07,week_08,week_09,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52
TB,MENINGITIS TUBERCULOSA,EXTERIOR,EXTERIOR,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TB,TUBERCULOSIS EXTRA PULMONAR,EXTERIOR,EXTERIOR,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TB,TUBERCULOSIS PULMONAR,EXTERIOR,EXTERIOR,2015,0,2,1,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,1,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
TB,MENINGITIS TUBERCULOSA,ANTIOQUIA,ANTIOQUIA,2015,0,2,1,2,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,2,2,1,1,3,0,0,1,1,1,1,1,0,0,1,1,1,0,2,1,1,1,0,0,2,0,1,1,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,ANTIOQUIA,ANTIOQUIA,2015,9,7,11,9,7,11,9,14,8,10,8,9,8,12,13,8,6,10,5,10,7,8,13,12,7,13,10,9,7,6,8,13,14,8,16,12,8,9,13,14,9,13,7,10,5,9,5,7,7,4,2,2
TB,TUBERCULOSIS PULMONAR,ANTIOQUIA,ANTIOQUIA,2015,38,54,56,45,44,40,39,33,38,44,35,31,26,35,46,34,24,25,34,26,36,46,41,34,31,41,44,43,22,50,38,28,36,51,29,40,46,44,37,39,43,45,35,35,43,50,50,36,32,41,24,15
TB,TUBERCULOSIS FÁRMACORRESISTENTE,ANTIOQUIA,ANTIOQUIA,2015,2,3,2,2,1,2,4,3,3,3,5,0,1,1,3,1,2,7,8,0,5,3,1,2,3,2,1,4,3,3,0,1,1,1,0,2,2,3,3,0,1,0,1,2,1,2,0,2,1,1,3,0
TB,MENINGITIS TUBERCULOSA,ATLANTICO,ATLANTICO,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TB,TUBERCULOSIS EXTRA PULMONAR,ATLANTICO,ATLANTICO,2015,4,2,4,4,3,1,1,1,2,0,1,2,2,2,1,2,2,4,3,2,2,0,2,0,3,4,2,2,4,0,1,6,2,1,0,0,2,1,2,1,2,4,3,4,1,2,1,4,3,0,0,0
TB,TUBERCULOSIS PULMONAR,ATLANTICO,ATLANTICO,2015,16,15,13,18,18,14,19,20,13,21,25,15,14,24,15,19,19,24,15,20,19,13,12,14,20,17,14,19,13,24,20,12,16,12,27,17,11,14,16,16,12,25,15,16,23,14,17,10,10,19,8,1
TB,TUBERCULOSIS FÁRMACORRESISTENTE,ATLANTICO,ATLANTICO,2015,0,0,0,0,0,2,0,3,3,0,2,0,0,1,1,2,1,0,1,1,0,0,0,2,0,0,1,1,1,0,0,0,1,0,1,0,2,1,0,1,2,0,2,0,0,0,0,3,0,0,1,1
TB,MENINGITIS TUBERCULOSA,BOGOTA,BOGOTA,2015,4,0,2,2,7,3,2,1,1,3,3,1,3,2,1,1,2,2,2,2,2,3,0,1,2,4,1,3,2,1,1,1,0,3,2,2,4,2,2,3,4,0,2,4,2,1,5,1,2,2,1,0
TB,TUBERCULOSIS EXTRA PULMONAR,BOGOTA,BOGOTA,2015,6,3,6,9,4,6,3,7,4,4,5,8,7,8,4,4,4,5,7,8,5,3,5,6,3,13,6,7,0,4,1,8,2,6,6,2,8,9,5,6,9,7,5,4,3,4,7,5,5,3,1,2
TB,TUBERCULOSIS PULMONAR,BOGOTA,BOGOTA,2015,10,14,12,10,8,13,15,9,19,16,10,16,14,19,15,21,11,18,11,16,18,18,13,8,14,16,19,15,9,11,19,12,10,13,15,18,13,9,14,8,13,12,16,14,11,11,11,12,9,6,10,10
TB,TUBERCULOSIS FÁRMACORRESISTENTE,BOGOTA,BOGOTA,2015,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,3,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1,3,0
