date,year,month,week,period,value
1/3/2016,2016,1,1,1,301
1/10/2016,2016,1,2,1,258
1/17/2016,2016,1,3,1,279
1/24/2016,2016,1,4,1,264
1/31/2016,2016,1,5,2,270
2/7/2016,2016,2,6,2,279
2/14/2016,2016,2,7,2,278
2/21/2016,2016,2,8,2,296
2/28/2016,2016,2,9,3,313
3/6/2016,2016,3,10,3,302
3/13/2016,2016,3,11,3,281
3/20/2016,2016,3,12,3,175
3/27/2016,2016,3,13,4,268
4/3/2016,2016,4,14,4,275
4/10/2016,2016,4,15,4,325
4/17/2016,2016,4,16,4,296
4/24/2016,2016,4,17,5,287
5/1/2016,2016,5,18,5,312
5/8/2016,2016,5,19,5,241
5/15/2016,2016,5,20,5,288
5/22/2016,2016,5,21,6,285
5/29/2016,2016,5,22,6,247
6/5/2016,2016,6,23,6,252
6/12/2016,2016,6,24,6,273
6/19/2016,2016,6,25,7,242
6/26/2016,2016,6,26,7,314
7/3/2016,2016,7,27,7,262
7/10/2016,2016,7,28,7,318
7/17/2016,2016,7,29,8,233
7/24/2016,2016,7,30,8,293
7/31/2016,2016,7,31,8,303
8/7/2016,2016,8,32,8,290
8/14/2016,2016,8,33,9,255
8/21/2016,2016,8,34,9,267
8/28/2016,2016,8,35,9,308
9/4/2016,2016,9,36,9,291
9/11/2016,2016,9,37,10,302
9/18/2016,2016,9,38,10,269
9/25/2016,2016,9,39,10,310
10/2/2016,2016,10,40,10,308
10/9/2016,2016,10,41,11,290
10/16/2016,2016,10,42,11,252
10/23/2016,2016,10,43,11,279
10/30/2016,2016,10,44,11,263
11/6/2016,2016,11,45,12,224
11/13/2016,2016,11,46,12,244
11/20/2016,2016,11,47,12,286
11/27/2016,2016,11,48,12,272
12/4/2016,2016,12,49,13,217
12/11/2016,2016,12,50,13,296
12/18/2016,2016,12,51,13,243
12/25/2016,2016,12,52,13,221
1/1/2017,2017,1,1,1,298
1/8/2017,2017,1,2,1,256
1/15/2017,2017,1,3,1,347
1/22/2017,2017,1,4,1,289
1/29/2017,2017,1,5,2,312
2/5/2017,2017,2,6,2,309
2/12/2017,2017,2,7,2,292
2/19/2017,2017,2,8,2,275
2/26/2017,2017,2,9,3,304
3/5/2017,2017,3,10,3,335
3/12/2017,2017,3,11,3,293
3/19/2017,2017,3,12,3,277
3/26/2017,2017,3,13,4,327
4/2/2017,2017,4,14,4,318
4/9/2017,2017,4,15,4,221
4/16/2017,2017,4,16,4,318
4/23/2017,2017,4,17,5,290
4/30/2017,2017,4,18,5,250
5/7/2017,2017,5,19,5,295
5/14/2017,2017,5,20,5,316
5/21/2017,2017,5,21,6,293
5/28/2017,2017,5,22,6,264
6/4/2017,2017,6,23,6,333
6/11/2017,2017,6,24,6,300
6/18/2017,2017,6,25,7,275
6/25/2017,2017,6,26,7,276
7/2/2017,2017,7,27,7,274
7/9/2017,2017,7,28,7,280
7/16/2017,2017,7,29,8,299
7/23/2017,2017,7,30,8,279
7/30/2017,2017,7,31,8,271
8/6/2017,2017,8,32,8,252
8/13/2017,2017,8,33,9,304
8/20/2017,2017,8,34,9,255
8/27/2017,2017,8,35,9,288
9/3/2017,2017,9,36,9,304
9/10/2017,2017,9,37,10,295
9/17/2017,2017,9,38,10,314
9/24/2017,2017,9,39,10,300
10/1/2017,2017,10,40,10,263
10/8/2017,2017,10,41,11,309
10/15/2017,2017,10,42,11,275
10/22/2017,2017,10,43,11,301
10/29/2017,2017,10,44,11,273
11/5/2017,2017,11,45,12,281
11/12/2017,2017,11,46,12,230
11/19/2017,2017,11,47,12,307
11/26/2017,2017,11,48,12,301
12/3/2017,2017,12,49,13,237
12/10/2017,2017,12,50,13,273
12/17/2017,2017,12,51,13,261
12/24/2017,2017,12,52,13,211
12/31/2017,2018,1,1,1,261
1/7/2018,2018,1,2,1,271
1/14/2018,2018,1,3,1,298
1/21/2018,2018,1,4,1,313
1/28/2018,2018,1,5,2,291
2/4/2018,2018,2,6,2,325
2/11/2018,2018,2,7,2,274
2/18/2018,2018,2,8,2,301
2/25/2018,2018,2,9,3,326
3/4/2018,2018,3,10,3,342
3/11/2018,2018,3,11,3,336
3/18/2018,2018,3,12,3,286
3/25/2018,2018,3,13,4,183
4/1/2018,2018,4,14,4,300
4/8/2018,2018,4,15,4,324
4/15/2018,2018,4,16,4,305
4/22/2018,2018,4,17,5,325
4/29/2018,2018,4,18,5,242
5/6/2018,2018,5,19,5,321
5/13/2018,2018,5,20,5,290
5/20/2018,2018,5,21,6,295
5/27/2018,2018,5,22,6,296
6/3/2018,2018,6,23,6,269
6/10/2018,2018,6,24,6,269
6/17/2018,2018,6,25,7,277
6/24/2018,2018,6,26,7,275
7/1/2018,2018,7,27,7,259
7/8/2018,2018,7,28,7,274
7/15/2018,2018,7,29,8,285
7/22/2018,2018,7,30,8,280
7/29/2018,2018,7,31,8,293
8/5/2018,2018,8,32,8,272
8/12/2018,2018,8,33,9,286
8/19/2018,2018,8,34,9,274
8/26/2018,2018,8,35,9,285
9/2/2018,2018,9,36,9,311
9/9/2018,2018,9,37,10,305
9/16/2018,2018,9,38,10,296
9/23/2018,2018,9,39,10,281
9/30/2018,2018,9,40,10,301
10/7/2018,2018,10,41,11,266
10/14/2018,2018,10,42,11,275
10/21/2018,2018,10,43,11,283
10/28/2018,2018,10,44,11,287
11/4/2018,2018,11,45,12,258
11/11/2018,2018,11,46,12,265
11/18/2018,2018,11,47,12,316
11/25/2018,2018,11,48,12,289
12/2/2018,2018,12,49,13,260
12/9/2018,2018,12,50,13,272
12/16/2018,2018,12,51,13,263
12/23/2018,2018,12,52,13,196
12/30/2018,2019,1,1,1,227
1/6/2019,2019,1,2,1,272
1/13/2019,2019,1,3,1,293
1/20/2019,2019,1,4,1,336
1/27/2019,2019,1,5,2,311
2/3/2019,2019,2,6,2,288
2/10/2019,2019,2,7,2,329
2/17/2019,2019,2,8,2,287
2/24/2019,2019,2,9,3,330
3/3/2019,2019,3,10,3,276
3/10/2019,2019,3,11,3,298
3/17/2019,2019,3,12,3,319
3/24/2019,2019,3,13,4,263
3/31/2019,2019,3,14,4,299
4/7/2019,2019,4,15,4,289
4/14/2019,2019,4,16,4,203
4/21/2019,2019,4,17,5,342
4/28/2019,2019,4,18,5,251
5/5/2019,2019,5,19,5,291
5/12/2019,2019,5,20,5,292
5/19/2019,2019,5,21,6,343
5/26/2019,2019,5,22,6,283
6/2/2019,2019,6,23,6,259
6/9/2019,2019,6,24,6,299
6/16/2019,2019,6,25,7,278
6/23/2019,2019,6,26,7,276
6/30/2019,2019,6,27,7,223
7/7/2019,2019,7,28,7,322
7/14/2019,2019,7,29,8,294
7/21/2019,2019,7,30,8,323
7/28/2019,2019,7,31,8,314
8/4/2019,2019,8,32,8,290
8/11/2019,2019,8,33,9,290
8/18/2019,2019,8,34,9,266
8/25/2019,2019,8,35,9,309
9/1/2019,2019,9,36,9,344
9/8/2019,2019,9,37,10,324
9/15/2019,2019,9,38,10,326
9/22/2019,2019,9,39,10,280
9/29/2019,2019,9,40,10,278
10/6/2019,2019,10,41,11,327
10/13/2019,2019,10,42,11,258
10/20/2019,2019,10,43,11,282
10/27/2019,2019,10,44,11,291
11/3/2019,2019,11,45,12,256
11/10/2019,2019,11,46,12,279
11/17/2019,2019,11,47,12,291
11/24/2019,2019,11,48,12,290
12/1/2019,2019,12,49,13,248
12/8/2019,2019,12,50,13,254
12/15/2019,2019,12,51,13,197
12/22/2019,2019,12,52,13,98
12/29/2019,2020,1,1,1,205
1/5/2020,2020,1,2,1,270
1/12/2020,2020,1,3,1,335
1/19/2020,2020,1,4,1,291
1/26/2020,2020,1,5,2,312
2/2/2020,2020,2,6,2,298
2/9/2020,2020,2,7,2,288
2/16/2020,2020,2,8,2,303
2/23/2020,2020,2,9,3,308
3/1/2020,2020,3,10,3,273
3/8/2020,2020,3,11,3,273
3/15/2020,2020,3,12,3,264
3/22/2020,2020,3,13,4,186
3/29/2020,2020,3,14,4,178
4/5/2020,2020,4,15,4,121
4/12/2020,2020,4,16,4,115
