date,year,month,week,value
12/28/2014,2015,1,1,3973
1/4/2015,2015,1,2,4052
1/11/2015,2015,1,3,3930
1/18/2015,2015,1,4,3727
1/25/2015,2015,1,5,3637
2/1/2015,2015,2,6,3559
2/8/2015,2015,2,7,3555
2/15/2015,2015,2,8,3552
2/22/2015,2015,2,9,3573
3/1/2015,2015,3,10,3505
3/8/2015,2015,3,11,3700
3/15/2015,2015,3,12,3508
3/22/2015,2015,3,13,3611
3/29/2015,2015,3,14,3508
4/5/2015,2015,4,15,3511
4/12/2015,2015,4,16,3525
4/19/2015,2015,4,17,3485
4/26/2015,2015,4,18,3604
5/3/2015,2015,5,19,3685
5/10/2015,2015,5,20,3701
5/17/2015,2015,5,21,3499
5/24/2015,2015,5,22,3423
5/31/2015,2015,5,23,3551
6/7/2015,2015,6,24,3566
6/14/2015,2015,6,25,3679
6/21/2015,2015,6,26,3761
6/28/2015,2015,6,27,3767
7/5/2015,2015,7,28,3780
7/12/2015,2015,7,29,3605
7/19/2015,2015,7,30,3429
7/26/2015,2015,7,31,3516
8/2/2015,2015,8,32,3695
8/9/2015,2015,8,33,3596
8/16/2015,2015,8,34,3504
8/23/2015,2015,8,35,3523
8/30/2015,2015,8,36,3695
9/6/2015,2015,9,37,3613
9/13/2015,2015,9,38,3617
9/20/2015,2015,9,39,3684
9/27/2015,2015,9,40,3717
10/4/2015,2015,10,41,3601
10/11/2015,2015,10,42,3511
10/18/2015,2015,10,43,3533
10/25/2015,2015,10,44,3666
11/1/2015,2015,11,45,3597
11/8/2015,2015,11,46,3781
11/15/2015,2015,11,47,3750
11/22/2015,2015,11,48,3711
11/29/2015,2015,11,49,3757
12/6/2015,2015,12,50,3717
12/13/2015,2015,12,51,3742
12/20/2015,2015,12,52,3850
12/27/2015,2016,1,1,3919
1/3/2016,2016,1,2,3870
1/10/2016,2016,1,3,3851
1/17/2016,2016,1,4,3810
1/24/2016,2016,1,5,3673
1/31/2016,2016,1,6,3599
2/7/2016,2016,2,7,3613
2/14/2016,2016,2,8,3572
2/21/2016,2016,2,9,3517
2/28/2016,2016,2,10,3662
3/6/2016,2016,3,11,3643
3/13/2016,2016,3,12,3648
3/20/2016,2016,3,13,3721
3/27/2016,2016,3,14,3566
4/3/2016,2016,4,15,3584
4/10/2016,2016,4,16,3597
4/17/2016,2016,4,17,3675
4/24/2016,2016,4,18,3557
5/1/2016,2016,5,19,3636
5/8/2016,2016,5,20,3767
5/15/2016,2016,5,21,4043
5/22/2016,2016,5,22,4015
5/29/2016,2016,5,23,4015
6/5/2016,2016,6,24,3930
6/12/2016,2016,6,25,3961
6/19/2016,2016,6,26,3890
6/26/2016,2016,6,27,3947
7/3/2016,2016,7,28,3776
7/10/2016,2016,7,29,3785
7/17/2016,2016,7,30,3548
7/24/2016,2016,7,31,3667
7/31/2016,2016,7,32,3630
8/7/2016,2016,8,33,3701
8/14/2016,2016,8,34,3610
8/21/2016,2016,8,35,3497
8/28/2016,2016,8,36,3582
9/4/2016,2016,9,37,3558
9/11/2016,2016,9,38,3520
9/18/2016,2016,9,39,3626
9/25/2016,2016,9,40,3525
10/2/2016,2016,10,41,3546
10/9/2016,2016,10,42,3588
10/16/2016,2016,10,43,3595
10/23/2016,2016,10,44,3522
10/30/2016,2016,10,45,3492
11/6/2016,2016,11,46,3631
11/13/2016,2016,11,47,3582
11/20/2016,2016,11,48,3701
11/27/2016,2016,11,49,3664
12/4/2016,2016,12,50,3842
12/11/2016,2016,12,51,4019
12/18/2016,2016,12,52,3943
12/25/2016,2016,12,53,4109
1/1/2017,2017,1,1,4143
1/8/2017,2017,1,2,4159
1/15/2017,2017,1,3,4158
1/22/2017,2017,1,4,3987
1/29/2017,2017,1,5,3850
2/5/2017,2017,2,6,3851
2/12/2017,2017,2,7,3665
2/19/2017,2017,2,8,3650
2/26/2017,2017,2,9,3663
3/5/2017,2017,3,10,3746
3/12/2017,2017,3,11,3637
3/19/2017,2017,3,12,3619
3/26/2017,2017,3,13,3699
4/2/2017,2017,4,14,3822
4/9/2017,2017,4,15,3679
4/16/2017,2017,4,16,3715
4/23/2017,2017,4,17,3743
4/30/2017,2017,4,18,3498
5/7/2017,2017,5,19,3682
5/14/2017,2017,5,20,3934
5/21/2017,2017,5,21,3804
5/28/2017,2017,5,22,3893
6/4/2017,2017,6,23,3799
6/11/2017,2017,6,24,3829
6/18/2017,2017,6,25,3623
6/25/2017,2017,6,26,3812
7/2/2017,2017,7,27,3809
7/9/2017,2017,7,28,3826
7/16/2017,2017,7,29,3815
7/23/2017,2017,7,30,3730
7/30/2017,2017,7,31,3792
8/6/2017,2017,8,32,3755
8/13/2017,2017,8,33,3853
8/20/2017,2017,8,34,3713
8/27/2017,2017,8,35,3726
9/3/2017,2017,9,36,3737
9/10/2017,2017,9,37,3820
9/17/2017,2017,9,38,3841
9/24/2017,2017,9,39,3783
10/1/2017,2017,10,40,3775
10/8/2017,2017,10,41,3805
10/15/2017,2017,10,42,3884
10/22/2017,2017,10,43,3697
10/29/2017,2017,10,44,3713
11/5/2017,2017,11,45,3813
11/12/2017,2017,11,46,3711
11/19/2017,2017,11,47,3732
11/26/2017,2017,11,48,3817
12/3/2017,2017,12,49,3904
12/10/2017,2017,12,50,3864
12/17/2017,2017,12,51,3904
12/24/2017,2017,12,52,3937
12/31/2017,2018,1,1,4010
1/7/2018,2018,1,2,3914
1/14/2018,2018,1,3,4000
1/21/2018,2018,1,4,4056
1/28/2018,2018,1,5,3886
2/4/2018,2018,2,6,3822
2/11/2018,2018,2,7,3807
2/18/2018,2018,2,8,3710
2/25/2018,2018,2,9,3807
3/4/2018,2018,3,10,3961
3/11/2018,2018,3,11,3981
3/18/2018,2018,3,12,3803
3/25/2018,2018,3,13,3698
4/1/2018,2018,4,14,3765
4/8/2018,2018,4,15,3763
4/15/2018,2018,4,16,3767
4/22/2018,2018,4,17,3877
4/29/2018,2018,4,18,3966
5/6/2018,2018,5,19,3910
5/13/2018,2018,5,20,4112
5/20/2018,2018,5,21,4130
5/27/2018,2018,5,22,4143
6/3/2018,2018,6,23,4257
6/10/2018,2018,6,24,4235
6/17/2018,2018,6,25,4251
6/24/2018,2018,6,26,4319
7/1/2018,2018,7,27,4243
7/8/2018,2018,7,28,4182
7/15/2018,2018,7,29,4122
7/22/2018,2018,7,30,3953
7/29/2018,2018,7,31,3944
8/5/2018,2018,8,32,3984
8/12/2018,2018,8,33,4024
8/19/2018,2018,8,34,3913
8/26/2018,2018,8,35,3890
9/2/2018,2018,9,36,3852
9/9/2018,2018,9,37,3871
9/16/2018,2018,9,38,3825
9/23/2018,2018,9,39,3785
9/30/2018,2018,9,40,3745
10/7/2018,2018,10,41,3754
10/14/2018,2018,10,42,3741
10/21/2018,2018,10,43,3690
10/28/2018,2018,10,44,3816
11/4/2018,2018,11,45,3801
11/11/2018,2018,11,46,3965
11/18/2018,2018,11,47,3874
11/25/2018,2018,11,48,4041
12/2/2018,2018,12,49,4079
12/9/2018,2018,12,50,4151
12/16/2018,2018,12,51,4176
12/23/2018,2018,12,52,4271
12/30/2018,2019,1,1,4590
1/6/2019,2019,1,2,4118
1/13/2019,2019,1,3,4266
1/20/2019,2019,1,4,4069
1/27/2019,2019,1,5,3945
2/3/2019,2019,2,6,3946
2/10/2019,2019,2,7,3906
2/17/2019,2019,2,8,3921
2/24/2019,2019,2,9,3843
3/3/2019,2019,3,10,3798
3/10/2019,2019,3,11,3878
3/17/2019,2019,3,12,3929
3/24/2019,2019,3,13,3911
3/31/2019,2019,3,14,3878
4/7/2019,2019,4,15,3937
4/14/2019,2019,4,16,3852
4/21/2019,2019,4,17,3873
4/28/2019,2019,4,18,3995
5/5/2019,2019,5,19,4035
5/12/2019,2019,5,20,3843
5/19/2019,2019,5,21,4074
5/26/2019,2019,5,22,3980
6/2/2019,2019,6,23,4220
6/9/2019,2019,6,24,4139
6/16/2019,2019,6,25,4339
6/23/2019,2019,6,26,4152
6/30/2019,2019,6,27,4230
7/7/2019,2019,7,28,4260
7/14/2019,2019,7,29,4338
7/21/2019,2019,7,30,4047
7/28/2019,2019,7,31,4122
8/4/2019,2019,8,32,4084
8/11/2019,2019,8,33,4066
8/18/2019,2019,8,34,4263
8/25/2019,2019,8,35,4188
9/1/2019,2019,9,36,4083
9/8/2019,2019,9,37,3964
9/15/2019,2019,9,38,4054
9/22/2019,2019,9,39,3879
9/29/2019,2019,9,40,3982
10/6/2019,2019,10,41,3944
10/13/2019,2019,10,42,3980
10/20/2019,2019,10,43,4080
10/27/2019,2019,10,44,4099
11/3/2019,2019,11,45,4078
11/10/2019,2019,11,46,4079
11/17/2019,2019,11,47,4142
11/24/2019,2019,11,48,4122
12/1/2019,2019,12,49,4137
12/8/2019,2019,12,50,4090
12/15/2019,2019,12,51,4107
12/22/2019,2019,12,52,4238
12/29/2019,2020,1,1,4315
1/5/2020,2020,1,2,4415
1/12/2020,2020,1,3,4290
1/19/2020,2020,1,4,4165
1/26/2020,2020,1,5,4061
2/2/2020,2020,2,6,4116
2/9/2020,2020,2,7,4157
2/16/2020,2020,2,8,4070
2/23/2020,2020,2,9,3962
3/1/2020,2020,3,10,3919
3/8/2020,2020,3,11,3863
3/15/2020,2020,3,12,4016
3/22/2020,2020,3,13,4033
3/29/2020,2020,3,14,3825
4/5/2020,2020,4,15,3902
4/12/2020,2020,4,16,3977
4/19/2020,2020,4,17,3924
4/26/2020,2020,4,18,3822
5/3/2020,2020,5,19,4007
5/10/2020,2020,5,20,4117
5/17/2020,2020,5,21,4203
5/24/2020,2020,5,22,4264
5/31/2020,2020,5,23,4646
6/7/2020,2020,6,24,4773
6/14/2020,2020,6,25,5232
6/21/2020,2020,6,26,5568
6/28/2020,2020,6,27,5654
7/5/2020,2020,7,28,6120
7/12/2020,2020,7,29,6665
7/19/2020,2020,7,30,7088
7/26/2020,2020,7,31,7365
8/2/2020,2020,8,32,7229
8/9/2020,2020,8,33,6994
8/16/2020,2020,8,34,6506
8/23/2020,2020,8,35,6148
8/30/2020,2020,8,36,5938
9/6/2020,2020,9,37,5670
9/13/2020,2020,9,38,5565
9/20/2020,2020,9,39,5529
9/27/2020,2020,9,40,5345
10/4/2020,2020,10,41,5454
10/11/2020,2020,10,42,5478
10/18/2020,2020,10,43,5570
10/25/2020,2020,10,44,5403
