divipola,entity,type_entity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5001,Medellín,capital,2343049,2368282,2393011,2417325,2441123,2464322,2486723,2508452,2529403,2549537,2569007
8001,Barranquilla,capital,1186640,1193952,1200820,1207264,1213246,1218737,1223967,1228621,1232766,1236489,1239804
11001,"Bogotá, D.C.",capital,7363782,7467804,7571345,7674366,7776845,7878783,7980001,8080734,8181047,8281030,8380801
13001,Cartagena,capital,944250,955569,967051,978574,990151,1001680,1013454,1025086,1036412,1047321,1057767
15001,Tunja,capital,171082,174557,177974,181407,184820,188340,191878,195496,199137,202939,206791
17001,Manizales,capital,388525,390112,391657,393189,394655,396102,397488,398874,400154,401448,402646
18001,Florencia,capital,157450,160383,163323,166332,169322,172341,175395,178449,181514,184531,187515
19001,Popayán,capital,265702,267946,270307,272720,275082,277441,280107,282561,284949,286953,288636
20001,Valledupar,capital,403414,413302,423260,433248,443180,453205,463218,473232,483250,493342,503444
23001,Montería,capital,409476,415796,422175,428602,434960,441260,447716,454032,460223,466191,471867
27001,Quibdó,capital,114548,114798,115054,115300,115537,115694,115937,116087,116199,116277,116322
41001,Neiva,capital,330487,333116,335578,337943,340140,342221,344130,345911,347501,349030,350457
44001,Riohacha,capital,213046,222322,231641,240970,250258,259509,268758,277913,287009,296047,304987
47001,Santa Marta,capital,447857,454756,461810,468962,476272,483722,491387,499257,507324,515556,524031
50001,Villavicencio,capital,431476,441959,452472,463093,473718,484429,495200,505996,516802,527668,538527
52001,Pasto,capital,411706,417509,423277,428948,434540,440040,445511,450815,455863,460638,465148
54001,Cúcuta,capital,618310,624650,630950,637287,643673,649983,656414,662765,668966,675008,680765
63001,Armenia,capital,288908,290480,292052,293614,295149,296691,298197,299712,301226,302724,304218
66001,Pereira,capital,457103,459690,462230,464735,467209,469644,472023,474356,476660,478931,481129
68001,Bucaramanga,capital,524112,525216,526183,526940,527552,527985,528352,528575,528683,528694,528572
70001,Sincelejo,capital,256241,259984,263751,267561,271355,275218,279027,282833,286716,290624,294599
73001,Ibagué,capital,526547,532034,537506,542939,548215,553526,558815,564077,569346,574573,579803
76001,Cali,capital,2244639,2269630,2294643,2319655,2344703,2369829,2394870,2420013,2445281,2470747,2496346
81001,Arauca,capital,82149,83433,84716,85994,87242,88481,89712,90924,92107,93261,94377
85001,Yopal,capital,123361,126665,129938,133230,136487,139734,142982,146204,149423,152659,155882
86001,Mocoa,capital,38564,39207,39867,40579,41304,42074,42882,43731,44631,45589,46616
88001,San Andrés,capital,68283,68868,69463,70069,70684,71305,71946,72585,73221,73850,74466
91001,Leticia,capital,39667,40008,40342,40673,41000,41326,41639,41957,42280,42610,42956
94001,Inírida,capital,18906,19096,19282,19464,19641,19816,19983,20147,20312,20478,20646
95001,San José del Guaviare,capital,59284,60334,61383,62437,63493,64555,65611,66679,67767,68878,70019
97001,Mitú,capital,30036,30349,30658,30962,31265,31568,31861,32156,32457,32764,33079
99001,Puerto Carreño,capital,14522,14767,15012,15258,15505,15753,16000,16249,16504,16763,17031
5,Antioquia,department,6065846,6143709,6221742,6299886,6378069,6456207,6534764,6613063,6690977,6768362,6845057
8,Atlántico,department,2314447,2344140,2373680,2403027,2432145,2461001,2489709,2518096,2546138,2573816,2601116
13,Bolívar,department,1979781,2002391,2025521,2049083,2072976,2097086,2122021,2146900,2171558,2195811,2219461
15,Boyacá,department,1267597,1269401,1271136,1272844,1274571,1276367,1278061,1279913,1281979,1284318,1286996
17,Caldas,department,978362,980281,982202,984128,986061,988003,989942,991896,993870,995867,997890
18,Caquetá,department,447723,453562,459484,465477,471527,477619,483834,490055,496262,502431,508534
19,Cauca,department,1318983,1330666,1342617,1354744,1366937,1379070,1391889,1404313,1416145,1427167,1437141
20,Cesar,department,966420,979015,991566,1004064,1016503,1028880,1041203,1053456,1065637,1077745,1089783
23,Córdoba,department,1582718,1607463,1632614,1658090,1683792,1709603,1736218,1762631,1788648,1814046,1838574
25,Cundinamarca,department,2477036,2517215,2557623,2598245,2639059,2680041,2721368,2762784,2804238,2845668,2887005
27,Chocó,department,476173,480826,485545,490327,495171,500076,505046,510076,515166,520317,525528
41,Huila,department,1083200,1097615,1111989,1126314,1140585,1154804,1168910,1182985,1197049,1211129,1225260
44,La Guajira,department,818695,846609,874520,902386,930165,957814,985498,1012971,1040193,1067126,1093733
47,Magdalena,department,1201386,1212439,1223781,1235425,1247383,1259667,1272278,1285239,1298562,1312259,1326341
50,Meta,department,870876,888765,906755,924843,943024,961292,979683,998146,1016672,1035251,1053871
52,Nariño,department,1639569,1660087,1680855,1701840,1722999,1744275,1766008,1787715,1809301,1830657,1851658
54,Norte de Santander,department,1297842,1309217,1320724,1332335,1344015,1355723,1367716,1379621,1391366,1402867,1414032
63,Quindio,department,549624,552703,555806,558934,562087,565266,568473,571705,574960,578237,581534
66,Risaralda,department,925105,930523,935915,941283,946626,951945,957250,962529,967780,972999,978182
68,Santander,department,2010404,2020664,2030857,2040988,2051065,2061095,2071044,2080961,2090854,2100733,2110608
70,Sucre,department,810650,818663,826755,834927,843182,851526,859909,868403,877024,885792,894734
73,Tolima,department,1387641,1391890,1396077,1400203,1404268,1408274,1412230,1416125,1419957,1423724,1427423
76,Valle del Cauca,department,4382939,4428342,4474084,4520166,4566593,4613377,4660438,4707890,4755760,4804082,4852896
81,Arauca,department,247541,250569,253565,256527,259447,262315,265190,267992,270708,273321,275814
85,Casanare,department,325596,331714,337858,344027,350221,356438,362698,368973,375258,381544,387822
86,Putumayo,department,326093,329598,333247,337054,341034,345204,349537,354094,358896,363967,369332
88,Archipiélago de San Andrés,department,73320,73925,74541,75167,75801,76442,77101,77759,78413,79060,79693
91,Amazonas,department,72017,72858,73699,74541,75388,76243,77088,77948,78830,79739,80682
94,Guainía,department,38328,38949,39574,40203,40839,41482,42123,42777,43446,44134,44844
95,Guaviare,department,103307,104846,106386,107934,109490,111060,112621,114207,115829,117494,119214
97,Vaupés,department,41534,41965,42392,42817,43240,43665,44079,44500,44928,45367,45822
99,Vichada,department,63670,65282,66917,68575,70260,71974,73702,75468,77276,79134,81048
0,Colombia,country,45508205,46043696,46581372,47120770,47661368,48202617,48747632,49291925,49834727,50375194,50912429
