entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
COLOMBIA,2010,5,15,21,29,19,18,24,18,22,14,21,23,26,12,13,11,14,21,17,14,16,18,13,20,17,22,16,20,18,18,22,18,20,23,13,24,12,18,18,16,26,16,19,21,24,17,21,19,38,27,23,32,27
AMAZONAS,2010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIOQUIA,2010,,2,4,10,3,5,5,10,8,4,6,9,5,4,2,2,8,9,5,5,3,4,3,7,6,6,1,3,4,7,3,6,5,5,4,5,1,4,3,3,6,2,1,7,7,2,3,5,2,11,4,8,5
ARAUCA,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
ATLANTICO,2010,,,1,,,,,,,,1,,,,,2,,3,1,,,,,,1,,1,,,,,1,,,,,1,1,,,,,1,1,1,1,,1,1,4,3,2,2
BOGOTA DC,2010,1,5,8,7,6,7,9,3,4,6,2,6,7,2,4,3,4,3,4,4,8,5,4,6,2,5,5,10,8,3,12,4,4,8,5,8,5,4,4,,8,6,2,8,7,2,5,4,16,3,2,6,9
BOLIVAR,2010,,,,,1,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1
BOYACA,2010,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,3,,,,,,,,,,,,,,,,,
CALDAS,2010,,,1,1,,,,1,,2,,1,2,,,,,,2,,,1,,,1,,,,1,,,,1,1,,,,,,1,,,1,1,,,,,2,,,,2
CAQUETA,2010,,,,,,,1,,,,,,,,,1,,1,,1,,1,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,,,,
CASANARE,2010,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAUCA,2010,,1,,,,,1,,,,2,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
CESAR,2010,,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,2,,,1,,1,2
CHOCO,2010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDOBA,2010,,,,,2,,,,,,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,3,,,2,,,,1,,,,1,2,,1,,,
CUNDINAMARCA,2010,,,,2,,1,1,,,,,,,,,1,,1,,,,1,,1,,1,,,1,2,,,1,,,,,,,,,,1,,,,1,1,,,1,,
GUAINIA,2010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAVIARE,2010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUILA,2010,,,1,1,1,,,,,,1,1,,,1,,,1,,,,,,1,,,,,,,2,1,,,,,,,,,,,1,,1,2,,,1,,,,
LA GUAJIRA,2010,,,1,,,,,,,,,1,2,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,,1,1,2,,,,,,,,,,2,
MAGDALENA,2010,,,,,,,,,1,,,1,,,,,,,1,1,,1,2,,1,,1,,,,,,1,,,1,,1,2,2,1,,4,,,,,1,1,,,1,
META,2010,,,3,,1,,,2,2,1,1,1,1,1,,,1,,,,1,,,1,1,1,,3,1,,1,,1,,,,1,2,,1,2,2,,,1,1,2,,3,,3,,2
NARIÑO,2010,,,,,,,1,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,1,2,,,,,1,,,,,1,,,,1,,,2,1
NORTE SANTANDER,2010,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
PROCEDENCIA DESCONOCIDA,2010,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUTUMAYO,2010,,,,,,,,,,,,1,,,,,,,,,,,,,,3,1,1,,,,,2,,,,,,,,3,,,,2,,2,,1,1,1,2,
QUINDIO,2010,,,,,,,,,1,,1,1,,1,1,1,,,1,,2,,2,,,,,,,,,,,1,,,,,,1,,,,1,2,,1,,2,,,1,
RISARALDA,2010,,,1,1,,,1,,,,2,,2,,,,,,,,,,,,,,,1,1,1,,1,,,,1,,1,2,1,,,1,,,2,2,1,1,,,,
SAN ANDRES,2010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTANDER,2010,,2,,,1,2,1,,,1,,,3,1,1,,,,1,,,1,,,1,2,1,,,,,,,,,,,2,,,2,1,,,1,2,1,1,,,6,1,
SUCRE,2010,,1,1,1,,2,1,,2,,,1,1,,1,,,,,,,,,,,,,,,,,2,1,,,,,,1,,,,,1,,,,,1,,,,
TOLIMA,2010,4,,,3,1,,,,2,,,,1,1,,,,,,1,,1,,1,1,,2,1,1,1,,,,1,,2,,,,3,,,,1,1,2,,,,,1,,1
VALLE DEL CAUCA,2010,,2,,2,,1,2,2,2,,1,,,,1,,,,2,2,1,1,1,2,2,2,4,1,1,3,3,3,3,3,1,1,2,2,4,1,3,2,5,1,,3,1,2,4,6,1,5,2
VAUPES,2010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICHADA,2010,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,2011,1,35,73,55,59,62,55,51,36,57,51,56,51,44,60,65,47,65,54,74,64,47,53,53,57,68,60,57,39,46,47,45,64,45,49,62,49,61,58,67,61,62,55,54,62,49,31,40,47,52,34,54,54
AMAZONAS,2011,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
ANTIOQUIA,2011,,,9,4,5,5,6,5,2,4,7,9,2,,5,7,2,6,1,10,5,2,8,3,6,10,3,2,,4,7,6,4,4,7,8,9,12,9,9,10,5,8,8,5,5,3,1,4,9,5,9,7
ARAUCA,2011,,2,1,,,,1,1,,,,,5,,,,,,,,,,,1,,,1,1,,,2,,3,,1,,,,,,1,1,,,1,1,,,,1,,1,
ATLANTICO,2011,,,,,,,2,,,2,,3,1,,,,,,4,,1,,,2,1,,2,1,,,1,,,2,1,,,,,,,,2,1,1,1,2,3,,,,,1
BOGOTA DC,2011,1,10,24,28,24,35,22,24,18,29,21,20,19,21,34,19,29,31,30,38,31,18,21,27,22,34,25,25,24,24,23,19,30,20,17,31,25,25,24,32,29,27,28,24,26,18,11,14,19,18,11,19,25
BOLIVAR,2011,,,,,1,1,1,2,,2,,,,,,,,1,,,,,2,,1,4,1,,,1,,1,,,1,2,,2,,,1,,,1,2,1,1,1,4,,1,3,3
BOYACA,2011,,1,,2,1,4,,,,,,1,,3,1,2,,3,1,,1,3,,1,2,4,1,3,2,1,1,1,1,,,,1,,,,1,1,,1,,1,1,,1,1,1,,1
CALDAS,2011,,1,3,1,2,3,1,,,,,1,1,,,,,,1,,,,,4,,,,,,,,,,,,,1,2,,1,,,,,,,,2,,,,1,
CAQUETA,2011,,,,1,,4,,,,,,,,,1,1,,,,,1,,,,,1,1,,,,,,,,2,,1,,,,,,,,1,1,,1,,,,,
CASANARE,2011,,2,,,1,1,1,,,,,5,,,,,,,1,2,1,,,2,1,1,,3,2,,,1,,2,,,,,,1,,,,2,1,,1,,1,,,,
CAUCA,2011,,,,2,1,,2,2,,,1,2,,1,1,2,2,,,,3,1,2,,,1,,,1,,,,,,,,,1,,2,,1,2,,1,1,,,1,6,,2,
CESAR,2011,,3,3,,1,,,3,3,,1,1,1,2,,6,1,,,,1,,,,,1,2,,,,,,2,,2,,,,1,1,2,2,1,2,,1,,2,2,,,1,2
CHOCO,2011,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
CORDOBA,2011,,,2,,,,,1,,,,,1,,1,1,,1,,,,,,,,1,,1,,4,1,,1,1,,,,1,1,,1,,3,,,,,2,1,1,,,
CUNDINAMARCA,2011,,2,3,,1,,3,1,1,,1,,1,,2,,,1,1,,1,2,1,,3,1,5,,1,1,2,2,,2,5,3,,3,3,1,3,3,,1,1,3,3,1,,1,1,2,
GUAINIA,2011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
