entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13
COLOMBIA,2010,238557,333273,185129,166318,169717,185314,167505,200061,172229,166748,170542,162656,167929
COLOMBIA,2011,192141,218753,190246,166840,199600,182588,174281,172134,170285,179243,172354,171601,157201
COLOMBIA,2012,153334,156935,187473,185314,186017,196328,195149,211151,219767,234689,224938,207757,192030
COLOMBIA,2013,282755,156290,421982,350511,113866,152651,185321,152309,184819,179555,144299,254455,120122
COLOMBIA,2014,209570,237232,223699,194350,201575,216819,198768,236754,219771,233531,224634,221192,193736
COLOMBIA,2015,217313,228782,227001,231867,246564,240136,239661,226849,251469,247235,242984,239421,213447
COLOMBIA,2016,250535,262834,269665,263364,276419,251763,270262,263720,268460,272862,250053,251201,248859
COLOMBIA,2017,222115,254622,233639,235367,247005,246873,235019,236619,249940,232643,255349,225214,211202
COLOMBIA,2018,328104,261822,507184,456145,135842,149620,179195,178557,161357,211659,208113,195304,285233
COLOMBIA,2019,289556,334325,325508,288364,262369,251147,235607,240705,243826,259787,223615,221033,252056
COLOMBIA,2020,235839,287560,284185,76961,,,,,,,,,
AMAZONAS,2010,984,,,197,,,,,74,112,143,221,421
ANTIOQUIA,2010,135006,8401,,,,,,3246,7240,18618,10434,20425,5103
ARAUCA,2010,,4184,,,,,,176,239,290,541,445,297
ARAUCA CAP,2010,,1483,,,,,,58,126,143,215,171,111
ARMENIA,2010,,,,,,19259,,558,1066,2563,1942,1490,1402
ATLANTICO,2010,,25167,,,,,,922,2243,2741,3096,2700,471
BARRANQUILLA,2010,,,,,,,,15138,1729,1129,812,670,786
BOGOTA DC,2010,,287143,96988,304,2,,20,17725,36277,41498,50995,32319,50765
BOLIVAR,2010,,,25750,,,,,593,1568,1979,2331,1506,1953
BOYACA,2010,,,42599,29364,,,,949,2371,3226,4424,3423,1634
BUCARAMANGA,2010,,,,,,7021,22805,965,3583,2944,2179,2806,3224
CALDAS,2010,,,,11830,,,,310,754,1000,1413,1206,414
CALI,2010,,,462,,,41,12803,56102,12010,8180,8093,10098,17388
CAQUETA,2010,,,,5944,,,,665,1840,717,1037,778,1197
CARTAGENA,2010,,,2,31851,,,,250,2758,3271,2419,3701,5854
CASANARE,2010,,,,6791,,,,57,494,574,591,584,347
CAUCA,2010,5,,,27282,,,,693,2099,2013,3108,3005,2161
CESAR,2010,,,,9501,7124,,,359,751,1846,1757,1844,1879
CHOCO,2010,,,,,4628,,,133,353,489,333,279,250
CORDOBA,2010,,,,,24808,,,,1728,1929,2060,2542,2662
CUNDINAMARCA,2010,,,,,23373,,,1856,1479,2456,3060,2212,3073
FLORENCIA,2010,,,,3954,,,,119,1202,583,713,577,526
GUAINIA,2010,,,,,50,,,1,8,17,3,1,4
GUAVIARE,2010,,,,,929,,,20,142,345,181,176,135
HUILA,2010,,,,,25288,,,686,1770,2527,2529,2883,2255
IBAGUE,2010,,,,,,,27022,462,952,723,738,719,1259
PUERTO INIRIDA,2010,,,,,1114,,,43,81,109,102,74,73
LA GUAJIRA,2010,,,1,,17506,,,903,1197,1750,1307,1579,2099
LETICIA,2010,2659,,,8,,,,136,213,265,488,173,371
MAGDALENA,2010,1,,,,21870,3237,,540,1840,2814,2618,2543,2468
MANIZALES,2010,,,,9375,,55,,386,1313,1229,2468,1186,845
MEDELLIN,2010,99892,6895,,,,,,2266,4628,11739,6872,14126,4122
META,2010,8,,,,,13602,,321,434,2130,1753,2166,1092
MITU,2010,,,,,,,49,322,47,142,130,72,42
MOCOA,2010,,,,,,509,,12,53,254,368,305,3368
MONTERIA,2010,,,,,6460,,,,653,655,1220,778,599
NARIÑO,2010,,,3,,,8134,,1876,32046,5186,3857,3416,3798
NEIVA,2010,,,,,12516,,,683,1147,1450,1315,1482,924
NORTE DE SANTANDER,2010,,,,,,16015,,441,759,1865,2804,1938,1382
PASTO,2010,,,,,,5003,,712,18010,2924,2242,1959,1789
PEREIRA,2010,,,,,,8335,,88,418,1140,1100,792,1171
POPAYAN,2010,,,,6431,,,,212,755,629,934,806,799
PUERTO CARREÑO,2010,,,,,,,,444,20,40,60,24,15
PUTUMAYO,2010,,,,,,5235,,186,423,832,593,792,617
QUIBDO,2010,,,,,1957,,,,158,345,165,236,351
QUINDIO,2010,2,,,,,12748,,309,476,1138,1241,928,985
RIOHACHA,2010,,,,,10699,,,206,720,962,620,795,1391
RISARALDA,2010,,,,,,10288,2,130,644,926,639,710,2815
SAN ANDRES,2010,,,,,,18,,,6,4,3,3,
SAN ANDRES CAP,2010,,,,,,822,,54,78,83,136,136,1207
CUCUTA,2010,,,3,,,25338,,642,1410,2846,3829,3048,2505
SAN JOSE DEL GUAVIARE,2010,,,,,2407,,,48,183,274,252,223,108
SANTA MARTA,2010,,,,,54,,,18553,1284,1305,1865,1477,1197
SANTANDER,2010,,,,,,6611,22207,773,2165,2624,2952,2794,3727
SINCELEJO,2010,,,,,,,12158,425,765,1023,911,1139,1050
SUCRE,2010,,,,,,,17201,1045,1292,2151,1806,2137,1697
TOLIMA,2010,,,,,,,39232,951,2258,2546,2679,2206,1926
TUNJA,2010,,,19321,11539,,,,218,1293,2264,3947,2772,1429
VALLE DEL CAUCA,2010,,,,,66,,14006,59700,8654,6773,7531,8010,10423
VALLEDUPAR,2010,,,,10158,8866,,,3778,442,2290,2491,1193,3354
VAUPES,2010,,,,,,,,377,27,122,104,48,23
VICHADA,2010,,,,,,,,492,29,54,103,4,2
VILLAVICENCIO,2010,,,,,,43043,,725,1190,1683,3591,3554,2446
YOPAL,2010,,,,1789,,,,21,262,269,299,251,148
AMAZONAS,2011,145,109,119,93,156,100,75,105,114,138,107,131,53
ANTIOQUIA,2011,20573,17836,17795,10493,16146,18970,11314,19674,16019,15306,14717,15467,12253
ARAUCA,2011,485,443,581,261,655,469,448,387,380,384,320,304,249
ARAUCA CAP,2011,168,149,306,124,255,133,127,100,109,88,122,117,87
ARMENIA,2011,2144,1482,2860,2240,1329,1515,1621,1599,1906,1677,1554,1755,1670
ATLANTICO,2011,3641,1821,2911,2258,2846,3829,2970,2655,2336,2555,2375,2656,1192
BARRANQUILLA,2011,698,638,577,939,1585,1906,1147,1372,905,1625,1261,1430,1011
BOGOTA DC,2011,52520,67549,51387,35023,59937,45743,42385,34523,40426,47660,40367,42534,39398
BOLIVAR,2011,2808,2815,2387,1917,3224,2826,2621,2125,2110,2099,1749,2156,1641
BOYACA,2011,3617,5142,3163,3678,5497,3832,3595,3787,3930,3881,3391,2542,2870
BUCARAMANGA,2011,3643,3564,2986,3648,2724,3232,2587,2374,2399,2303,2343,2322,1791
CALDAS,2011,1203,1727,1048,1168,1223,1098,1302,989,903,1039,968,632,742
CALI,2011,11725,10783,9480,12215,17664,11588,12631,11706,10940,11874,16956,12407,12544
CAQUETA,2011,690,1071,586,531,953,636,1038,899,464,788,623,450,588
CARTAGENA,2011,3467,4274,2498,2882,4396,2906,4910,3377,3444,3147,3214,3116,3984
CASANARE,2011,597,871,795,823,1380,712,868,567,765,727,828,527,488
CAUCA,2011,3869,4245,3434,2906,4443,2920,4125,2576,4129,2965,3785,2938,2512
CESAR,2011,2248,2095,1701,1694,2981,1678,2691,1532,2294,1622,1758,1704,1597
CHOCO,2011,455,416,641,440,533,413,371,471,466,489,352,368,202
CORDOBA,2011,2748,2871,2934,2648,3444,1903,2466,2421,2187,2375,2620,2721,2739
CUNDINAMARCA,2011,2439,3300,4000,4419,5899,3560,4287,4489,4409,4722,4004,3842,4002
FLORENCIA,2011,716,1424,1102,701,1357,816,971,1022,665,1121,786,789,742
GUAINIA,2011,,16,14,15,35,7,18,17,19,20,21,20,1
GUAVIARE,2011,33,56,37,183,142,185,183,90,80,80,100,149,89
HUILA,2011,4056,3841,3272,2363,2226,2783,2422,2934,2465,2556,2730,2419,2916
IBAGUE,2011,1352,1311,1368,1240,1457,1217,1199,1334,1252,1500,1151,1292,1560
PUERTO INIRIDA,2011,95,132,155,190,154,147,111,168,100,72,153,155,82
LA GUAJIRA,2011,1785,1789,1392,1931,1568,1612,2011,1293,1291,1332,1392,1800,2041
LETICIA,2011,132,286,247,473,347,245,254,197,164,236,131,392,87
MAGDALENA,2011,2731,2767,2829,3169,1913,2493,2726,2389,2101,2232,2218,2267,2348
MANIZALES,2011,1505,1713,1019,1489,1212,1644,1781,1772,2075,1945,3642,1572,1968
MEDELLIN,2011,12487,17507,14508,9100,13297,15371,8895,16701,12694,12196,11369,12021,9448
