entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
COLOMBIA,2019,155,180,187,172,148,183,169,193,184,156,194,170,154,178,181,166,195,195,189,179,191,181,170,179,184,185,176,169,182,198,191,183,180,158,172,190,191,194,183,169,193,154,155,165,165,179,152,145,146,155,129,136,
COLOMBIA,2018,195,176,202,165,194,171,201,187,201,224,190,185,169,189,168,205,192,181,195,190,181,185,173,186,190,199,205,188,196,214,216,191,192,210,215,190,219,208,211,190,177,203,180,206,193,170,194,197,185,181,202,176,
COLOMBIA,2017,201,193,193,213,227,192,179,183,183,165,188,171,207,209,181,221,209,206,208,227,197,220,198,222,217,191,217,209,202,207,220,205,209,206,219,223,231,175,227,216,202,223,192,189,198,201,182,192,206,190,214,196,
COLOMBIA,2016,178,184,197,179,186,195,204,187,159,224,178,136,185,186,199,182,195,175,191,196,183,183,200,204,204,188,199,186,178,192,196,196,164,166,206,194,190,217,191,208,171,186,182,191,169,186,160,167,193,167,181,167,
COLOMBIA,2015,187,209,207,189,168,180,189,202,173,185,182,208,169,181,181,190,197,202,198,191,167,192,185,189,165,195,194,181,191,177,171,185,175,214,168,181,184,156,172,184,166,183,162,161,186,173,151,185,147,169,158,158,
COLOMBIA,2014,147,205,192,179,181,170,176,176,165,185,190,212,183,180,170,151,189,167,197,195,175,182,201,190,173,188,189,175,187,183,178,194,198,178,194,171,202,196,189,159,185,167,182,157,153,168,169,166,141,146,185,153,149
COLOMBIA,2013,152,153,162,180,167,176,212,187,184,173,169,163,165,169,184,174,173,155,168,159,163,168,165,163,171,174,155,154,200,138,168,155,164,169,185,179,202,179,158,146,170,164,174,154,182,147,135,144,189,156,125,134,
COLOMBIA,2012,170,148,141,189,175,166,172,151,151,171,171,159,180,166,176,184,156,171,188,163,181,183,162,157,191,185,168,189,163,175,165,160,146,174,192,184,158,191,159,173,158,177,183,180,157,172,171,161,150,159,151,155,
COLOMBIA,2011,150,136,167,169,165,168,162,150,186,169,165,156,140,155,164,166,182,164,186,181,165,169,176,174,151,183,162,166,166,160,149,148,179,161,152,181,161,156,149,173,144,143,138,134,152,146,154,163,118,139,155,133,
COLOMBIA,2010,145,155,143,150,166,173,162,151,144,154,127,134,150,146,153,141,159,151,129,129,138,137,130,146,131,141,133,143,117,167,140,136,150,142,140,126,128,120,129,137,121,110,145,131,116,135,115,123,142,128,128,120,
