entity,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
COLOMBIA,2020,554,527,543,487,589,610,585,656,678,701,654,520,363,302,322,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBIA,2019,440,460,438,489,453,516,586,560,586,635,742,649,575,688,719,477,598,607,581,600,632,533,580,637,574,522,495,604,590,612,572,597,592,597,587,698,698,648,611,631,539,570,635,639,664,601,614,560,631,611,517,487,0
COLOMBIA,2018,342,412,411,419,472,561,649,560,597,667,620,607,536,548,616,609,628,607,567,514,565,588,535,582,518,525,525,510,586,567,571,603,581,599,615,594,600,645,548,510,539,557,577,587,534,556,580,544,481,501,422,428,0
COLOMBIA,2017,391,361,325,399,444,459,402,440,430,502,503,506,457,542,380,493,522,553,497,560,516,524,568,517,506,476,547,546,482,503,513,536,532,507,503,592,542,626,532,551,575,545,545,505,498,551,520,481,497,477,445,411,0
COLOMBIA,2016,122,102,123,134,145,193,245,271,377,401,398,288,364,377,401,434,346,356,315,423,395,361,345,312,352,368,418,392,387,366,392,367,354,368,408,364,424,502,479,386,406,456,478,419,379,412,433,449,403,415,400,357,0
PROCEDENCIA DESCONOCIDA,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIOQUIA,2020,94,93,93,88,99,113,111,124,117,154,107,101,59,40,52,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTICO,2020,8,12,18,11,17,15,10,12,14,12,11,13,7,6,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTICO,2020,19,8,9,16,20,23,24,22,18,15,16,14,11,8,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLIVAR,2020,16,9,7,11,13,10,9,5,2,14,10,7,4,11,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLIVAR,2020,13,10,10,12,13,15,5,11,14,12,11,11,3,3,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOYACA,2020,13,10,16,19,12,16,12,13,18,17,17,12,9,6,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALDAS,2020,25,22,26,19,19,17,27,25,19,27,29,20,15,11,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAQUETA,2020,9,5,6,3,3,6,4,6,6,10,4,2,4,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAUCA,2020,19,23,21,10,15,23,20,14,18,17,16,9,9,8,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
