exec_date,index,entity,year,period,total
2020-12-16 16:47:38.421518,0,00000,2010,1,0.1538
2020-12-16 16:47:38.421518,1,00000,2010,2,0.1736
2020-12-16 16:47:38.421518,2,00000,2010,3,0.1758
2020-12-16 16:47:38.421518,3,00000,2010,4,0.1362
2020-12-16 16:47:38.421518,4,00000,2010,5,0.145
2020-12-16 16:47:38.421518,5,00000,2010,6,0.1472
2020-12-16 16:47:38.421518,6,00000,2010,7,0.1648
2020-12-16 16:47:38.421518,7,00000,2010,8,0.167
2020-12-16 16:47:38.421518,8,00000,2010,9,0.1758
2020-12-16 16:47:38.421518,9,00000,2010,10,0.1406
2020-12-16 16:47:38.421518,10,00000,2010,11,0.1802
2020-12-16 16:47:38.421518,11,00000,2010,12,0.178
2020-12-16 16:47:38.421518,12,00000,2010,13,0.323
2020-12-16 16:47:38.421518,13,00000,2011,1,0.3562
2020-12-16 16:47:38.421518,14,00000,2011,2,0.493
2020-12-16 16:47:38.421518,15,00000,2011,3,0.4344
2020-12-16 16:47:38.421518,16,00000,2011,4,0.4778
2020-12-16 16:47:38.421518,17,00000,2011,5,0.5212
2020-12-16 16:47:38.421518,18,00000,2011,6,0.4713
2020-12-16 16:47:38.421518,19,00000,2011,7,0.5256
2020-12-16 16:47:38.421518,20,00000,2011,8,0.3844
2020-12-16 16:47:38.421518,21,00000,2011,9,0.4778
2020-12-16 16:47:38.421518,22,00000,2011,10,0.5104
2020-12-16 16:47:38.421518,23,00000,2011,11,0.5039
2020-12-16 16:47:38.421518,24,00000,2011,12,0.3953
2020-12-16 16:47:38.421518,25,00000,2011,13,0.5234
2020-12-16 16:47:38.421518,26,00000,2012,1,0.6269
2020-12-16 16:47:38.421518,27,00000,2012,2,0.5453
2020-12-16 16:47:38.421518,28,00000,2012,3,0.5195
2020-12-16 16:47:38.421518,29,00000,2012,4,0.4852
2020-12-16 16:47:38.421518,30,00000,2012,5,0.5066
2020-12-16 16:47:38.421518,31,00000,2012,6,0.4659
2020-12-16 16:47:38.421518,32,00000,2012,7,0.4379
2020-12-16 16:47:38.421518,33,00000,2012,8,0.337
2020-12-16 16:47:38.421518,34,00000,2012,9,0.4594
2020-12-16 16:47:38.421518,35,00000,2012,10,0.4122
2020-12-16 16:47:38.421518,36,00000,2012,11,0.4573
2020-12-16 16:47:38.421518,37,00000,2012,12,0.3413
2020-12-16 16:47:38.421518,38,00000,2012,13,0.3478
2020-12-16 16:47:38.421518,39,00000,2013,1,0.3587
2020-12-16 16:47:38.421518,40,00000,2013,2,0.3735
2020-12-16 16:47:38.421518,41,00000,2013,3,0.4096
2020-12-16 16:47:38.421518,42,00000,2013,4,0.3862
2020-12-16 16:47:38.421518,43,00000,2013,5,0.3693
2020-12-16 16:47:38.421518,44,00000,2013,6,0.4414
2020-12-16 16:47:38.421518,45,00000,2013,7,0.4563
2020-12-16 16:47:38.421518,46,00000,2013,8,0.5454
2020-12-16 16:47:38.421518,47,00000,2013,9,0.5157
2020-12-16 16:47:38.421518,48,00000,2013,10,0.5836
2020-12-16 16:47:38.421518,49,00000,2013,11,0.6048
2020-12-16 16:47:38.421518,50,00000,2013,12,0.4966
2020-12-16 16:47:38.421518,51,00000,2013,13,0.5306
2020-12-16 16:47:38.421518,52,00000,2014,1,0.47
2020-12-16 16:47:38.421518,53,00000,2014,2,0.6882
2020-12-16 16:47:38.421518,54,00000,2014,3,0.6756
2020-12-16 16:47:38.421518,55,00000,2014,4,0.7406
2020-12-16 16:47:38.421518,56,00000,2014,5,0.5896
2020-12-16 16:47:38.421518,57,00000,2014,6,0.6756
2020-12-16 16:47:38.421518,58,00000,2014,7,0.7155
2020-12-16 16:47:38.421518,59,00000,2014,8,0.7092
2020-12-16 16:47:38.421518,60,00000,2014,9,0.7385
2020-12-16 16:47:38.421518,61,00000,2014,10,0.6966
2020-12-16 16:47:38.421518,62,00000,2014,11,0.6064
2020-12-16 16:47:38.421518,63,00000,2014,12,0.6127
2020-12-16 16:47:38.421518,64,00000,2014,13,0.5791
2020-12-16 16:47:38.421518,65,00000,2015,1,0.6182
2020-12-16 16:47:38.421518,66,00000,2015,2,0.6182
2020-12-16 16:47:38.421518,67,00000,2015,3,0.556
2020-12-16 16:47:38.421518,68,00000,2015,4,0.5269
2020-12-16 16:47:38.421518,69,00000,2015,5,0.6722
2020-12-16 16:47:38.421518,70,00000,2015,6,0.5933
2020-12-16 16:47:38.421518,71,00000,2015,7,0.5415
2020-12-16 16:47:38.421518,72,00000,2015,8,0.6058
2020-12-16 16:47:38.421518,73,00000,2015,9,0.4626
2020-12-16 16:47:38.421518,74,00000,2015,10,0.3299
2020-12-16 16:47:38.421518,75,00000,2015,11,0.2261
2020-12-16 16:47:38.421518,76,00000,2015,12,0.2738
2020-12-16 16:47:38.421518,77,00000,2015,13,0.3257
2020-12-16 16:47:38.421518,78,00000,2016,1,0.2667
