exec_date,index,entity,period,total,mean,stdev,min,p25,p50,p75,max,no_data,pv_period,pv_value,pv_min_lim,pv_max_lim,var_coef
2020-12-16 16:47:38.421518,0,00000,1,4.2991,0.4299,0.1729,0.1538,0.2891,0.4144,0.6154,0.6269,0,2020-2019,-0.4728,-0.5686,1.7688,37.284
2020-12-16 16:47:38.421518,1,00000,2,4.7325,0.4732,0.1712,0.1736,0.3395,0.5192,0.6056,0.6882,0,2020-2019,-0.4494,-0.4691,1.1868,37.284
2020-12-16 16:47:38.421518,2,00000,3,4.4363,0.4436,0.163,0.1758,0.3224,0.477,0.5554,0.6756,0,2020-2019,-0.7631,-0.4725,1.7028,37.284
2020-12-16 16:47:38.421518,3,00000,4,4.3623,0.4362,0.1736,0.1362,0.3165,0.4787,0.5165,0.7406,0,2020-2019,-0.9842,-0.4433,1.2091,37.284
2020-12-16 16:47:38.421518,4,00000,5,4.4037,0.4404,0.1612,0.145,0.3016,0.479,0.5725,0.6722,0,2020-2019,0.0,-0.5849,0.6735,37.284
2020-12-16 16:47:38.421518,5,00000,6,4.4238,0.4424,0.1654,0.1472,0.3246,0.4536,0.5628,0.6756,0,2020-2019,0.0,-0.554,0.7516,37.284
2020-12-16 16:47:38.421518,6,00000,7,4.165,0.4165,0.1819,0.1648,0.2315,0.4471,0.5375,0.7155,0,2020-2019,0.0,-0.6098,2.1688,37.284
2020-12-16 16:47:38.421518,7,00000,8,4.0418,0.4042,0.1754,0.167,0.2499,0.3607,0.542,0.7092,0,2020-2019,0.0,-0.6309,1.5491,37.284
2020-12-16 16:47:38.421518,8,00000,9,4.4268,0.4427,0.1632,0.1758,0.3078,0.461,0.5062,0.7385,0,2020-2019,0.0,-0.4369,1.4044,37.284
2020-12-16 16:47:38.421518,9,00000,10,4.441,0.4441,0.1503,0.1406,0.3505,0.45,0.5459,0.6966,0,2020-2019,0.0,-0.1039,0.5323,37.284
2020-12-16 16:47:38.421518,10,00000,11,4.4969,0.4497,0.1511,0.1802,0.3297,0.5158,0.5607,0.6064,0,2020-2019,0.0,-0.0111,0.8579,37.284
2020-12-16 16:47:38.421518,11,00000,12,4.0745,0.4074,0.1456,0.178,0.2907,0.4339,0.5075,0.6127,0,2020-2019,0.0,-0.2432,1.4672,37.284
2020-12-16 16:47:38.421518,12,00000,13,4.3833,0.4383,0.1149,0.2564,0.3312,0.4446,0.5288,0.608,0,2020-2019,0.0,-0.2882,0.7804,37.284
2020-12-16 16:47:38.421518,13,91000,1,2.5806,1.2903,0.0362,1.2541,1.2722,1.2903,1.3084,1.3265,8,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,14,91000,2,1.2541,1.2541,0.0,1.2541,1.2541,1.2541,1.2541,1.2541,9,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,15,91000,3,2.6984,1.3492,0.0077,1.3415,1.3453,1.3492,1.353,1.3569,8,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,16,91000,4,2.6101,1.305,0.0364,1.2686,1.2868,1.305,1.3233,1.3415,8,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,17,91000,5,2.6841,1.342,0.0304,1.3116,1.3268,1.342,1.3573,1.3725,8,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,18,91000,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,19,91000,7,5.1899,1.73,0.6527,1.2541,1.2685,1.2829,1.9679,2.6529,7,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,20,91000,8,2.668,1.334,0.0075,1.3265,1.3302,1.334,1.3378,1.3415,8,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,21,91000,9,4.0112,1.3371,0.0309,1.2972,1.3194,1.3415,1.357,1.3725,7,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,22,91000,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,23,91000,11,2.6831,2.6831,0.0,2.6831,2.6831,2.6831,2.6831,2.6831,9,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,24,91000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,25,91000,13,4.0402,2.0201,0.6936,1.3265,1.6733,2.0201,2.3669,2.7137,8,2020-2019,0.0,0.0,0.0,248.4698
2020-12-16 16:47:38.421518,26,05000,1,3.3528,0.3353,0.1885,0.0612,0.2246,0.3074,0.4285,0.6751,0,2020-2019,-0.6468,-0.896,3.7784,52.1319
2020-12-16 16:47:38.421518,27,05000,2,3.7419,0.3742,0.1227,0.1059,0.315,0.3988,0.4798,0.5017,0,2020-2019,-0.7219,-0.654,2.9518,52.1319
2020-12-16 16:47:38.421518,28,05000,3,3.6916,0.3692,0.1206,0.121,0.3439,0.38,0.437,0.5644,0,2020-2019,-0.9141,-0.4351,2.9529,52.1319
2020-12-16 16:47:38.421518,29,05000,4,3.0676,0.3068,0.1652,0.0765,0.2084,0.3021,0.3982,0.6576,0,2020-2019,0.0,-0.8024,5.2096,52.1319
2020-12-16 16:47:38.421518,30,05000,5,3.3075,0.3308,0.1382,0.0918,0.2644,0.3234,0.42,0.5829,0,2020-2019,0.0,-0.8088,2.5051,52.1319
2020-12-16 16:47:38.421518,31,05000,6,3.3201,0.332,0.1277,0.0765,0.2835,0.3395,0.4377,0.5023,0,2020-2019,0.0,-0.8236,1.1739,52.1319
2020-12-16 16:47:38.421518,32,05000,7,2.8902,0.289,0.147,0.1196,0.169,0.279,0.3327,0.6115,0,2020-2019,0.0,-0.5841,2.8294,52.1319
2020-12-16 16:47:38.421518,33,05000,8,3.2907,0.3291,0.1172,0.0918,0.2799,0.3198,0.4,0.5238,0,2020-2019,0.0,-0.7037,1.4706,52.1319
2020-12-16 16:47:38.421518,34,05000,9,3.3856,0.3386,0.1355,0.121,0.2294,0.356,0.45,0.5238,0,2020-2019,0.0,-0.2403,2.2116,52.1319
2020-12-16 16:47:38.421518,35,05000,10,3.9034,0.3903,0.1808,0.1224,0.2256,0.3743,0.5587,0.6348,0,2020-2019,0.0,-0.2817,1.9649,52.1319
2020-12-16 16:47:38.421518,36,05000,11,3.384,0.3384,0.1518,0.1224,0.1836,0.3648,0.474,0.5465,0,2020-2019,0.0,-0.122,1.7181,52.1319
2020-12-16 16:47:38.421518,37,05000,12,3.604,0.3604,0.3368,0.0306,0.1807,0.2541,0.4179,1.3003,0,2020-2019,0.0,-0.8204,5.9183,52.1319
2020-12-16 16:47:38.421518,38,05000,13,3.9857,0.3986,0.2434,0.1071,0.2487,0.3064,0.486,1.0163,0,2020-2019,0.0,-0.6947,2.3608,52.1319
2020-12-16 16:47:38.421518,39,81000,1,6.0828,1.2166,0.7823,0.3771,0.7317,1.1082,1.1973,2.6685,5,2020-2019,-0.009,-0.8587,0.0,115.7124
2020-12-16 16:47:38.421518,40,81000,2,6.8792,0.9827,0.537,0.3694,0.581,0.7982,1.3112,1.9272,3,2020-2019,-0.009,-0.0099,1.9713,115.7124
2020-12-16 16:47:38.421518,41,81000,3,3.8301,0.9575,0.6409,0.3694,0.3847,0.7667,1.3396,1.9272,6,2020-2019,0.0,0.0,0.0,115.7124
2020-12-16 16:47:38.421518,42,81000,4,6.1632,1.2326,0.5931,0.3694,0.7317,1.5249,1.5417,1.9955,5,2020-2019,0.0,0.0,0.9808,115.7124
2020-12-16 16:47:38.421518,43,81000,5,7.3097,1.2183,1.0115,0.3659,0.3784,0.769,1.7478,3.0835,4,2020-2019,0.0,0.0,0.0,115.7124
2020-12-16 16:47:38.421518,44,81000,6,5.7556,0.8222,0.5647,0.3659,0.3751,0.3991,1.1566,1.9272,3,2020-2019,0.0,-0.6703,0.0,115.7124
2020-12-16 16:47:38.421518,45,81000,7,5.7496,0.8214,0.5164,0.3731,0.3921,0.7317,0.9772,1.9061,3,2020-2019,0.0,0.0,0.0,115.7124
2020-12-16 16:47:38.421518,46,81000,8,5.4217,1.0843,0.6754,0.3659,0.7624,0.7982,1.1563,2.3389,5,2020-2019,0.0,0.0,0.0,115.7124
2020-12-16 16:47:38.421518,47,81000,9,6.952,1.1587,0.4516,0.7624,0.7819,0.9432,1.4717,1.9272,4,2020-2019,0.0,0.0,0.0,115.7124
2020-12-16 16:47:38.421518,48,81000,10,5.3087,0.7584,0.4432,0.3694,0.3878,0.404,1.1336,1.4926,3,2020-2019,0.0,-0.7525,1.9713,115.7124
