exec_date,index,entity,year,period,total
2020-12-16 11:40:22.538824,0,00000,2010,1,524.2066
2020-12-16 11:40:22.538824,1,00000,2010,2,732.3361
2020-12-16 11:40:22.538824,2,00000,2010,3,406.8036
2020-12-16 11:40:22.538824,3,00000,2010,4,365.4682
2020-12-16 11:40:22.538824,4,00000,2010,5,372.9371
2020-12-16 11:40:22.538824,5,00000,2010,6,407.2101
2020-12-16 11:40:22.538824,6,00000,2010,7,368.0765
2020-12-16 11:40:22.538824,7,00000,2010,8,439.6152
2020-12-16 11:40:22.538824,8,00000,2010,9,378.457
2020-12-16 11:40:22.538824,9,00000,2010,10,366.413
2020-12-16 11:40:22.538824,10,00000,2010,11,374.75
2020-12-16 11:40:22.538824,11,00000,2010,12,357.4213
2020-12-16 11:40:22.538824,12,00000,2010,13,369.0082
2020-12-16 11:40:22.538824,13,00000,2011,1,417.3014
2020-12-16 11:40:22.538824,14,00000,2011,2,475.0987
2020-12-16 11:40:22.538824,15,00000,2011,3,413.1858
2020-12-16 11:40:22.538824,16,00000,2011,4,362.3514
2020-12-16 11:40:22.538824,17,00000,2011,5,433.5013
2020-12-16 11:40:22.538824,18,00000,2011,6,396.5537
2020-12-16 11:40:22.538824,19,00000,2011,7,378.5122
2020-12-16 11:40:22.538824,20,00000,2011,8,373.8492
2020-12-16 11:40:22.538824,21,00000,2011,9,369.8335
2020-12-16 11:40:22.538824,22,00000,2011,10,389.2889
2020-12-16 11:40:22.538824,23,00000,2011,11,374.327
2020-12-16 11:40:22.538824,24,00000,2011,12,372.6916
2020-12-16 11:40:22.538824,25,00000,2011,13,341.417
2020-12-16 11:40:22.538824,26,00000,2012,1,329.1745
2020-12-16 11:40:22.538824,27,00000,2012,2,336.9051
2020-12-16 11:40:22.538824,28,00000,2012,3,402.4635
2020-12-16 11:40:22.538824,29,00000,2012,4,397.8286
2020-12-16 11:40:22.538824,30,00000,2012,5,399.3377
2020-12-16 11:40:22.538824,31,00000,2012,6,421.4732
2020-12-16 11:40:22.538824,32,00000,2012,7,418.9421
2020-12-16 11:40:22.538824,33,00000,2012,8,453.2949
2020-12-16 11:40:22.538824,34,00000,2012,9,471.7916
2020-12-16 11:40:22.538824,35,00000,2012,10,503.8259
