exec_date,index,entity,period,total,mean,stdev,min,p25,p50,p75,max,no_data,pv_period,pv_value,pv_min_lim,pv_max_lim,var_coef
2020-12-16 11:40:22.538824,0,00000,1,4959.0229,495.9023,92.6381,329.1745,442.4325,482.3876,562.1508,658.3843,0,2020-2019,-0.1941,-0.127,0.4611,24.3374
2020-12-16 11:40:22.538824,1,00000,2,5093.1727,509.3173,117.7087,331.6796,474.744,507.152,535.7248,732.3361,0,2020-2019,-0.149,-0.0419,0.2632,24.3374
2020-12-16 11:40:22.538824,2,00000,3,5749.343,574.9343,205.1174,402.4635,427.227,472.4606,622.9218,1017.7321,0,2020-2019,-0.1362,-0.3651,1.1472,24.3374
2020-12-16 11:40:22.538824,3,00000,4,5263.8075,526.3808,169.9171,362.3514,400.3146,479.261,564.3894,915.3155,0,2020-2019,-0.7359,-0.3746,0.9169,24.3374
2020-12-16 11:40:22.538824,4,00000,5,4243.4328,424.3433,101.4525,241.6472,379.5372,428.2164,508.9134,567.0409,0,2020-2019,0.0,-0.456,0.9107,24.3374
2020-12-16 11:40:22.538824,5,00000,6,4318.3758,431.8376,72.2664,300.2324,399.2178,438.1944,498.4598,516.462,0,2020-2019,0.0,-0.4005,0.6606,24.3374
2020-12-16 11:40:22.538824,6,00000,7,4331.541,433.1541,60.4873,359.5786,382.2065,417.9922,474.5187,554.4105,0,2020-2019,0.0,-0.2458,0.3007,24.3374
2020-12-16 11:40:22.538824,7,00000,8,4414.497,441.4497,64.9858,323.2311,390.2907,461.9552,479.4831,540.9904,0,2020-2019,0.0,-0.2536,0.3336,24.3374
2020-12-16 11:40:22.538824,8,00000,9,4460.686,446.0686,71.3817,323.7843,381.8988,466.4504,501.3005,550.7139,0,2020-2019,0.0,-0.3614,0.4949,24.3374
2020-12-16 11:40:22.538824,9,00000,10,4615.608,461.5608,63.2655,366.413,398.1472,480.9747,510.6373,559.7441,0,2020-2019,0.0,-0.1568,0.2142,24.3374
2020-12-16 11:40:22.538824,10,00000,11,4406.0968,440.6097,67.3175,306.2323,385.4641,457.6058,498.7898,518.0341,0,2020-2019,0.0,-0.1939,0.063,24.3374
2020-12-16 11:40:22.538824,11,00000,12,4479.7999,447.98,57.286,357.4213,403.6209,451.4536,488.5455,540.006,0,2020-2019,0.0,-0.1423,0.1196,24.3374
2020-12-16 11:40:22.538824,12,00000,13,4238.5835,423.8584,86.3557,254.9237,378.3772,420.359,485.9711,572.3579,0,2020-2019,0.0,-0.1607,0.3358,24.3374
2020-12-16 11:40:22.538824,13,91000,1,5679.5986,631.0665,843.5032,114.1553,171.9095,208.5437,498.7531,2771.7874,1,2020-2019,-0.3294,-0.924,15.1235,158.0411
2020-12-16 11:40:22.538824,14,91000,2,2297.3336,287.1667,234.4136,108.9664,143.0734,209.3738,304.3631,873.3449,2,2020-2019,-0.5629,-0.5783,0.4717,158.0411
2020-12-16 11:40:22.538824,15,91000,3,2108.375,263.5469,148.0694,88.5419,174.5758,213.8928,303.569,592.9326,2,2020-2019,-0.4569,-0.4764,0.0,158.0411
2020-12-16 11:40:22.538824,16,91000,4,1797.0563,224.632,100.7582,111.6129,150.6069,209.0108,268.0771,441.7149,2,2020-2019,-0.6288,-0.4056,0.0,158.0411
2020-12-16 11:40:22.538824,17,91000,5,1621.9088,231.7013,84.8674,136.208,163.0526,214.1151,289.1169,367.2468,3,2020-2019,0.0,-0.6291,0.2433,158.0411
2020-12-16 11:40:22.538824,18,91000,6,1570.6135,224.3734,125.5778,120.3928,154.788,179.0162,222.8157,515.9972,3,2020-2019,0.0,-0.3001,0.0606,158.0411
2020-12-16 11:40:22.538824,19,91000,7,1665.5559,237.9366,143.4216,102.94,116.6827,186.8596,307.8909,526.609,3,2020-2019,0.0,-0.673,0.2209,158.0411
2020-12-16 11:40:22.538824,20,91000,8,1955.7325,279.3904,102.5416,144.116,189.4671,265.5617,375.3044,416.5119,3,2020-2019,0.0,-0.438,0.3648,158.0411
2020-12-16 11:40:22.538824,21,91000,9,1670.1261,208.7658,133.918,88.2109,134.4147,154.2191,235.9331,530.5884,2,2020-2019,0.0,-0.6067,0.6434,158.0411
2020-12-16 11:40:22.538824,22,91000,10,1885.922,235.7403,127.201,139.8368,146.53,172.4642,268.9494,526.609,2,2020-2019,0.0,-0.563,0.0,158.0411
2020-12-16 11:40:22.538824,23,91000,11,1894.1443,236.768,176.27,146.861,163.8651,171.457,182.4401,701.7032,2,2020-2019,0.0,-0.0549,0.0,158.0411
2020-12-16 11:40:22.538824,24,91000,12,2060.4311,257.5539,114.8871,156.9635,180.2983,185.1576,321.6378,500.0796,2,2020-2019,0.0,-0.5711,0.1688,158.0411
2020-12-16 11:40:22.538824,25,91000,13,5417.51,601.9456,875.2906,72.7442,127.0077,197.1773,584.5842,2984.9345,1,2020-2019,0.0,-0.5166,0.0,158.0411
2020-12-16 11:40:22.538824,26,05000,1,8068.5678,806.8568,848.3325,205.1546,249.9564,311.8284,1208.7,2444.3515,0,2020-2019,-0.0536,-0.894,10.9147,134.7072
2020-12-16 11:40:22.538824,27,05000,2,4281.8123,428.1812,434.3266,138.4968,224.8492,258.9983,294.7074,1647.7282,0,2020-2019,-0.0943,-0.5942,1.687,134.7072
2020-12-16 11:40:22.538824,28,05000,3,1744.7941,249.2563,37.3108,195.1765,215.2042,256.0236,286.7699,289.6459,3,2020-2019,-0.2476,-0.101,0.4591,134.7072
2020-12-16 11:40:22.538824,29,05000,4,1568.1931,224.0276,31.8247,170.7926,205.1774,223.4817,248.0568,267.4502,3,2020-2019,-0.7973,-0.1355,0.0,134.7072
2020-12-16 11:40:22.538824,30,05000,5,1714.061,244.8659,28.0029,199.0761,226.9604,253.8332,261.7281,283.7746,3,2020-2019,0.0,-0.0815,0.118,134.7072
2020-12-16 11:40:22.538824,31,05000,6,1655.1311,236.4473,32.7111,206.7778,214.9275,227.7065,241.0104,308.7711,3,2020-2019,0.0,-0.0567,0.103,134.7072
2020-12-16 11:40:22.538824,32,05000,7,1657.5895,207.1987,83.544,0.0299,198.8242,238.6634,253.3253,285.0327,2,2020-2019,0.0,-0.9999,7882.4214,134.7072
2020-12-16 11:40:22.538824,33,05000,8,1940.5975,242.5747,77.8851,53.5127,231.6122,268.3474,288.1376,320.23,2,2020-2019,0.0,-0.2544,0.208,134.7072
2020-12-16 11:40:22.538824,34,05000,9,1935.6617,241.9577,52.3166,119.3568,242.116,249.6807,258.8144,319.7015,2,2020-2019,0.0,-0.0302,0.1068,134.7072
2020-12-16 11:40:22.538824,35,05000,10,2135.4089,266.9261,31.2982,215.0592,246.5945,267.059,283.9038,314.96,2,2020-2019,0.0,-0.2102,0.1394,134.7072
2020-12-16 11:40:22.538824,36,05000,11,2042.4767,255.3096,39.1064,172.0123,238.4144,262.6285,278.4934,310.7228,2,2020-2019,0.0,-0.1084,0.233,134.7072
2020-12-16 11:40:22.538824,37,05000,12,1909.9426,212.2158,84.5034,0.1495,208.4487,220.4367,243.6725,336.7214,1,2020-2019,0.0,-0.9992,1616.7967,134.7072
2020-12-16 11:40:22.538824,38,05000,13,1461.8046,146.1805,86.1062,0.0635,94.6096,185.5128,206.8785,259.6115,0,2020-2019,0.0,-0.999,1089.7216,134.7072
2020-12-16 11:40:22.538824,39,81000,1,1439.9321,205.7046,23.7389,176.8543,186.5573,203.7374,222.631,240.9639,3,2020-2019,-0.1995,-0.015,0.152,178.4005
2020-12-16 11:40:22.538824,40,81000,2,5868.596,652.0662,858.051,176.7976,201.2847,228.3438,241.1084,2698.1101,1,2020-2019,-0.3203,-0.9106,13.1779,178.4005
2020-12-16 11:40:22.538824,41,81000,3,1530.9703,218.71,31.2765,168.793,193.7475,231.8723,242.6294,257.5512,3,2020-2019,-0.2782,-0.2886,0.0378,178.4005
2020-12-16 11:40:22.538824,42,81000,4,1254.2892,179.1842,48.5394,104.1629,141.9251,179.4412,225.3888,236.0572,3,2020-2019,-0.7527,-0.0405,0.4849,178.4005
2020-12-16 11:40:22.538824,43,81000,5,1464.8903,209.27,39.9039,163.0391,178.0981,191.4236,241.3778,271.4757,3,2020-2019,0.0,-0.1352,0.225,178.4005
2020-12-16 11:40:22.538824,44,81000,6,1585.4112,226.4873,43.7262,187.174,189.866,209.2913,251.1244,306.9651,3,2020-2019,0.0,-0.1752,0.0,178.4005
2020-12-16 11:40:22.538824,45,81000,7,1448.6317,206.9474,33.7659,178.7367,179.1172,186.7983,226.3275,272.2074,3,2020-2019,0.0,-0.2452,0.2677,178.4005
2020-12-16 11:40:22.538824,46,81000,8,1588.2152,198.5269,61.7092,71.0993,163.1364,211.3652,250.5282,271.8106,2,2020-2019,0.0,-0.1463,0.0,178.4005
2020-12-16 11:40:22.538824,47,81000,9,1505.8187,188.2273,43.1328,96.5497,165.9874,207.3651,219.6481,232.6934,2,2020-2019,0.0,-0.0953,0.0012,178.4005
2020-12-16 11:40:22.538824,48,81000,10,1521.1346,190.1418,41.8466,117.1523,175.335,188.9469,208.466,270.3722,2,2020-2019,0.0,-0.3155,0.271,178.4005
2020-12-16 11:40:22.538824,49,81000,11,1564.0532,195.5066,31.1471,127.7093,184.6118,201.6482,219.0264,230.977,2,2020-2019,0.0,0.0,0.1074,178.4005
2020-12-16 11:40:22.538824,50,81000,12,1442.612,180.3265,29.3706,121.3239,169.9546,187.1728,201.7751,213.865,2,2020-2019,0.0,-0.0902,0.0279,178.4005
2020-12-16 11:40:22.538824,51,81000,13,4478.3735,447.8374,840.0704,0.3694,136.8148,193.2142,235.6328,2958.3631,0,2020-2019,0.0,-0.998,508.0885,178.4005
2020-12-16 11:40:22.538824,52,81001,1,1685.6402,240.8057,74.7771,113.0186,198.214,227.6627,302.704,343.1231,3,2020-2019,0.0623,0.0,0.726,176.0841
2020-12-16 11:40:22.538824,53,81001,2,6372.8104,708.09,898.12,172.7751,191.0015,272.8044,414.9645,2834.7465,1,2020-2019,-0.3157,-0.8536,13.4801,176.0841
2020-12-16 11:40:22.538824,54,81001,3,1722.7197,246.1028,68.9256,177.071,193.6168,215.1329,288.2604,366.7614,3,2020-2019,-0.3083,-0.1769,0.0,176.0841
2020-12-16 11:40:22.538824,55,81001,4,1324.5065,189.2152,75.5257,121.4999,138.1666,172.6717,197.3974,359.207,3,2020-2019,-0.6814,-0.0486,0.4212,176.0841
2020-12-16 11:40:22.538824,56,81001,5,1710.3371,244.3339,83.3638,168.3977,180.9646,218.9312,271.4489,418.1812,3,2020-2019,0.0,0.0,0.1084,176.0841
2020-12-16 11:40:22.538824,57,81001,6,1800.7396,257.2485,115.7729,159.4093,188.693,212.4746,263.0312,525.4072,3,2020-2019,0.0,-0.2852,0.1428,176.0841
2020-12-16 11:40:22.538824,58,81001,7,1455.1081,207.8726,103.4048,142.4035,156.3958,163.8577,189.1003,457.8548,3,2020-2019,0.0,-0.02,0.1507,176.0841
2020-12-16 11:40:22.538824,59,81001,8,1538.1777,192.2722,107.1563,70.6034,123.8071,188.3292,196.1628,451.4213,2,2020-2019,0.0,-0.0077,0.0654,176.0841
2020-12-16 11:40:22.538824,60,81001,9,1517.7846,189.7231,75.736,130.6438,148.9718,162.7449,184.558,377.4354,2,2020-2019,0.0,-0.0,0.0543,176.0841
2020-12-16 11:40:22.538824,61,81001,10,1409.1894,176.1487,39.2095,105.4739,158.6906,171.2854,195.9903,240.1861,2,2020-2019,0.0,0.0,0.1864,176.0841
2020-12-16 11:40:22.538824,62,81001,11,1616.8396,202.105,38.4211,143.5336,185.8568,203.4824,225.275,261.7196,2,2020-2019,0.0,-0.0078,0.3979,176.0841
2020-12-16 11:40:22.538824,63,81001,12,1534.5886,191.8236,40.0372,140.2323,164.1145,180.4507,215.4345,265.9204,2,2020-2019,0.0,-0.104,0.0789,176.0841
2020-12-16 11:40:22.538824,64,81001,13,4530.3995,503.3777,872.0029,104.2753,191.7246,216.9957,234.9025,2966.486,1,2020-2019,0.0,-0.1165,0.0785,176.0841
2020-12-16 11:40:22.538824,65,63001,1,4102.6441,586.092,219.6477,147.2341,509.1028,569.8804,754.0485,859.227,3,2020-2019,-0.3037,0.0,0.1125,165.1545
2020-12-16 11:40:22.538824,66,63001,2,4679.6349,584.9544,294.5424,1.3623,482.0255,636.2084,677.9714,1116.8589,2,2020-2019,-0.4334,-0.0708,0.1652,165.1545
2020-12-16 11:40:22.538824,67,63001,3,5588.0836,798.2977,180.8174,534.3064,688.5901,789.243,891.689,1103.9759,3,2020-2019,-0.4444,-0.2114,0.069,165.1545
2020-12-16 11:40:22.538824,68,63001,4,5812.7255,726.5907,465.0624,0.332,593.5157,699.7094,782.329,1766.4662,2,2020-2019,-0.6279,-0.9995,2098.4111,165.1545
2020-12-16 11:40:22.538824,69,63001,5,4590.4978,655.7854,242.6008,457.5186,495.6163,599.6036,665.5286,1211.0857,3,2020-2019,0.0,-0.0122,0.2075,165.1545
2020-12-16 11:40:22.538824,70,63001,6,11445.1328,1430.6416,1986.066,483.6088,581.6146,684.6543,813.7383,6666.1359,2,2020-2019,0.0,-0.0492,0.2068,165.1545
2020-12-16 11:40:22.538824,71,63001,7,4750.4636,678.6377,141.8232,432.4071,619.5676,682.0703,738.1823,920.4863,3,2020-2019,0.0,-0.2601,0.0787,165.1545
2020-12-16 11:40:22.538824,72,63001,8,4782.0212,597.7527,179.5915,193.1411,551.8558,606.0381,709.4283,847.4518,2,2020-2019,0.0,-0.1143,0.2017,165.1545
2020-12-16 11:40:22.538824,73,63001,9,5846.3486,730.7936,196.8275,368.9756,644.1526,741.8656,805.7949,1112.1307,2,2020-2019,0.0,-0.1095,0.0732,165.1545
2020-12-16 11:40:22.538824,74,63001,10,14369.0156,1596.5573,2345.2144,538.4443,667.6794,770.1195,887.1336,8210.7801,1,2020-2019,0.0,-0.1858,0.0819,165.1545
2020-12-16 11:40:22.538824,75,63001,11,13529.9759,1503.3307,2451.3019,434.3891,566.2457,643.9515,684.7389,8424.9036,1,2020-2019,0.0,-0.9484,12.0831,165.1545
2020-12-16 11:40:22.538824,76,63001,12,5287.0365,660.8796,194.8706,397.722,575.149,609.6452,721.7978,1101.5162,2,2020-2019,0.0,-0.0383,0.2081,165.1545
2020-12-16 11:40:22.538824,77,63001,13,6958.7581,869.8448,821.0736,381.866,492.8262,593.461,663.4415,3024.8038,2,2020-2019,0.0,-0.1839,0.0369,165.1545
2020-12-16 11:40:22.538824,78,08000,1,1268.0465,181.1495,33.6052,130.5568,161.0788,179.8581,196.6916,242.0908,3,2020-2019,-0.0879,-0.137,0.1268,164.5598
2020-12-16 11:40:22.538824,79,08000,2,5846.1804,584.618,715.2061,70.5655,135.0536,185.2507,869.7053,2174.3519,0,2020-2019,-0.4005,-0.9116,13.2436,164.5598
2020-12-16 11:40:22.538824,80,08000,3,1092.1513,121.3501,64.383,0.8248,102.9955,124.182,184.2786,202.8443,1,2020-2019,-0.3694,-0.9943,223.2705,164.5598
2020-12-16 11:40:22.538824,81,08000,4,1023.0556,146.1508,39.7491,90.414,106.9532,170.5404,180.3916,187.4115,3,2020-2019,-0.5006,-0.0242,0.0989,164.5598
2020-12-16 11:40:22.538824,82,08000,5,1164.4359,166.348,42.5745,100.5285,137.2734,158.1711,203.6484,223.8926,3,2020-2019,0.0,-0.2935,0.283,164.5598
2020-12-16 11:40:22.538824,83,08000,6,1276.8056,182.4008,35.2483,145.6739,157.8572,163.3435,202.0186,248.0364,3,2020-2019,0.0,-0.1182,0.0,164.5598
2020-12-16 11:40:22.538824,84,08000,7,1120.3849,160.055,43.3109,103.4259,124.0898,158.4198,193.3757,223.6082,3,2020-2019,0.0,-0.2868,0.0,164.5598
2020-12-16 11:40:22.538824,85,08000,8,989.6689,123.7086,48.9785,39.8367,86.1592,128.0421,169.7702,186.2657,2,2020-2019,0.0,-0.0751,0.0,164.5598
2020-12-16 11:40:22.538824,86,08000,9,1072.4887,134.0611,43.5356,88.0293,97.5006,114.9048,171.683,208.1267,2,2020-2019,0.0,-0.1956,0.1021,164.5598
2020-12-16 11:40:22.538824,87,08000,10,1247.1189,155.8899,42.0839,88.2175,116.0713,172.5934,183.9314,217.5944,2,2020-2019,0.0,-0.1566,0.0091,164.5598
2020-12-16 11:40:22.538824,88,08000,11,1226.7044,153.338,40.8774,101.3165,126.3724,147.0378,174.6085,222.7549,2,2020-2019,0.0,-0.2641,0.0,164.5598
2020-12-16 11:40:22.538824,89,08000,12,1347.4796,168.435,56.2888,77.3483,115.8198,185.6284,205.6942,256.8873,2,2020-2019,0.0,-0.2512,0.0,164.5598
2020-12-16 11:40:22.538824,90,08000,13,781.442,78.1442,56.1372,0.0786,27.9751,87.3511,130.3124,143.9881,0,2020-2019,0.0,-0.9994,1608.4758,164.5598
2020-12-16 11:40:22.538824,91,08001,1,3025.526,432.218,216.1914,58.4613,299.4457,561.7291,591.2448,623.9547,3,2020-2019,-0.1318,-0.0762,0.1108,173.3742
