exec_date,index,entity,year,period,total
2020-12-16 12:03:43.551843,0,00000,2015,1,15682
2020-12-16 12:03:43.551843,1,00000,2015,2,14303
2020-12-16 12:03:43.551843,2,00000,2015,3,14286
2020-12-16 12:03:43.551843,3,00000,2015,4,14155
2020-12-16 12:03:43.551843,4,00000,2015,5,14475
2020-12-16 12:03:43.551843,5,00000,2015,6,14039
2020-12-16 12:03:43.551843,6,00000,2015,7,14987
2020-12-16 12:03:43.551843,7,00000,2015,8,14245
2020-12-16 12:03:43.551843,8,00000,2015,9,14318
2020-12-16 12:03:43.551843,9,00000,2015,10,14631
2020-12-16 12:03:43.551843,10,00000,2015,11,14311
2020-12-16 12:03:43.551843,11,00000,2015,12,14839.0
2020-12-16 12:03:43.551843,12,00000,2015,13,18985.0
2020-12-16 12:03:43.551843,13,00000,2016,1,15204
2020-12-16 12:03:43.551843,14,00000,2016,2,14301
2020-12-16 12:03:43.551843,15,00000,2016,3,14674
2020-12-16 12:03:43.551843,16,00000,2016,4,14422
2020-12-16 12:03:43.551843,17,00000,2016,5,15003
2020-12-16 12:03:43.551843,18,00000,2016,6,15921
2020-12-16 12:03:43.551843,19,00000,2016,7,15398
2020-12-16 12:03:43.551843,20,00000,2016,8,14546
2020-12-16 12:03:43.551843,21,00000,2016,9,14247
2020-12-16 12:03:43.551843,22,00000,2016,10,14217
2020-12-16 12:03:43.551843,23,00000,2016,11,14197
2020-12-16 12:03:43.551843,24,00000,2016,12,14578.0
2020-12-16 12:03:43.551843,25,00000,2016,13,15913.0
2020-12-16 12:03:43.551843,26,00000,2017,1,16447
2020-12-16 12:03:43.551843,27,00000,2017,2,15016
2020-12-16 12:03:43.551843,28,00000,2017,3,14665
2020-12-16 12:03:43.551843,29,00000,2017,4,14915
2020-12-16 12:03:43.551843,30,00000,2017,5,14857
2020-12-16 12:03:43.551843,31,00000,2017,6,15325
2020-12-16 12:03:43.551843,32,00000,2017,7,15070
2020-12-16 12:03:43.551843,33,00000,2017,8,15092
2020-12-16 12:03:43.551843,34,00000,2017,9,15029
2020-12-16 12:03:43.551843,35,00000,2017,10,15219
2020-12-16 12:03:43.551843,36,00000,2017,11,15099
2020-12-16 12:03:43.551843,37,00000,2017,12,15073.0
2020-12-16 12:03:43.551843,38,00000,2017,13,15609.0
2020-12-16 12:03:43.551843,39,00000,2018,1,15980
2020-12-16 12:03:43.551843,40,00000,2018,2,15225
2020-12-16 12:03:43.551843,41,00000,2018,3,15552
2020-12-16 12:03:43.551843,42,00000,2018,4,14993
2020-12-16 12:03:43.551843,43,00000,2018,5,15865
2020-12-16 12:03:43.551843,44,00000,2018,6,16765
2020-12-16 12:03:43.551843,45,00000,2018,7,16995
2020-12-16 12:03:43.551843,46,00000,2018,8,16003
2020-12-16 12:03:43.551843,47,00000,2018,9,15679
2020-12-16 12:03:43.551843,48,00000,2018,10,15226
2020-12-16 12:03:43.551843,49,00000,2018,11,15001
2020-12-16 12:03:43.551843,50,00000,2018,12,15681.0
2020-12-16 12:03:43.551843,51,00000,2018,13,16677.0
2020-12-16 12:03:43.551843,52,00000,2019,1,17043
2020-12-16 12:03:43.551843,53,00000,2019,2,15718
2020-12-16 12:03:43.551843,54,00000,2019,3,15448
2020-12-16 12:03:43.551843,55,00000,2019,4,15578
2020-12-16 12:03:43.551843,56,00000,2019,5,15746
2020-12-16 12:03:43.551843,57,00000,2019,6,16413
2020-12-16 12:03:43.551843,58,00000,2019,7,16981
2020-12-16 12:03:43.551843,59,00000,2019,8,16591
2020-12-16 12:03:43.551843,60,00000,2019,9,16600
2020-12-16 12:03:43.551843,61,00000,2019,10,15879
2020-12-16 12:03:43.551843,62,00000,2019,11,16103
2020-12-16 12:03:43.551843,63,00000,2019,12,16421.0
2020-12-16 12:03:43.551843,64,00000,2019,13,16572.0
2020-12-16 12:03:43.551843,65,00000,2020,1,17185
2020-12-16 12:03:43.551843,66,00000,2020,2,16404
2020-12-16 12:03:43.551843,67,00000,2020,3,15760
2020-12-16 12:03:43.551843,68,00000,2020,4,15737
2020-12-16 12:03:43.551843,69,00000,2020,5,15870
2020-12-16 12:03:43.551843,70,00000,2020,6,17886
2020-12-16 12:03:43.551843,71,00000,2020,7,22574
2020-12-16 12:03:43.551843,72,00000,2020,8,28347
2020-12-16 12:03:43.551843,73,00000,2020,9,25586
2020-12-16 12:03:43.551843,74,00000,2020,10,22109
2020-12-16 12:03:43.551843,75,00000,2020,11,21905
2020-12-16 12:03:43.551843,76,00000,2020,12,0.0
2020-12-16 12:03:43.551843,77,00000,2020,13,0.0
2020-12-16 12:03:43.551843,78,91000,2015,1,14
2020-12-16 12:03:43.551843,79,91000,2015,2,10
2020-12-16 12:03:43.551843,80,91000,2015,3,21
2020-12-16 12:03:43.551843,81,91000,2015,4,10
2020-12-16 12:03:43.551843,82,91000,2015,5,15
2020-12-16 12:03:43.551843,83,91000,2015,6,11
2020-12-16 12:03:43.551843,84,91000,2015,7,12
2020-12-16 12:03:43.551843,85,91000,2015,8,20
2020-12-16 12:03:43.551843,86,91000,2015,9,10
2020-12-16 12:03:43.551843,87,91000,2015,10,13
2020-12-16 12:03:43.551843,88,91000,2015,11,12
2020-12-16 12:03:43.551843,89,91000,2015,12,20.0
2020-12-16 12:03:43.551843,90,91000,2015,13,22.0
2020-12-16 12:03:43.551843,91,91000,2016,1,15
2020-12-16 12:03:43.551843,92,91000,2016,2,13
2020-12-16 12:03:43.551843,93,91000,2016,3,7
2020-12-16 12:03:43.551843,94,91000,2016,4,8
2020-12-16 12:03:43.551843,95,91000,2016,5,17
2020-12-16 12:03:43.551843,96,91000,2016,6,8
2020-12-16 12:03:43.551843,97,91000,2016,7,9
2020-12-16 12:03:43.551843,98,91000,2016,8,13
2020-12-16 12:03:43.551843,99,91000,2016,9,12
2020-12-16 12:03:43.551843,100,91000,2016,10,16
2020-12-16 12:03:43.551843,101,91000,2016,11,8
2020-12-16 12:03:43.551843,102,91000,2016,12,12.0
2020-12-16 12:03:43.551843,103,91000,2016,13,11.0
2020-12-16 12:03:43.551843,104,91000,2017,1,17
2020-12-16 12:03:43.551843,105,91000,2017,2,9
2020-12-16 12:03:43.551843,106,91000,2017,3,13
2020-12-16 12:03:43.551843,107,91000,2017,4,16
2020-12-16 12:03:43.551843,108,91000,2017,5,15
2020-12-16 12:03:43.551843,109,91000,2017,6,10
2020-12-16 12:03:43.551843,110,91000,2017,7,7
2020-12-16 12:03:43.551843,111,91000,2017,8,12
2020-12-16 12:03:43.551843,112,91000,2017,9,11
2020-12-16 12:03:43.551843,113,91000,2017,10,8
2020-12-16 12:03:43.551843,114,91000,2017,11,14
2020-12-16 12:03:43.551843,115,91000,2017,12,13.0
2020-12-16 12:03:43.551843,116,91000,2017,13,20.0
2020-12-16 12:03:43.551843,117,91000,2018,1,10
2020-12-16 12:03:43.551843,118,91000,2018,2,17
2020-12-16 12:03:43.551843,119,91000,2018,3,10
2020-12-16 12:03:43.551843,120,91000,2018,4,13
