exec_date,index,entity,period,total,mean,stdev,min,p25,p50,p75,max,no_data,pv_period,pv_value,pv_min_lim,pv_max_lim,var_coef
2020-12-16 11:41:36.399962,0,00000,1,80356,16071.2,632.0523,15204,15682.0,15980.0,16447.0,17043,0,2020-2019,0.0083,-0.0305,0.0818,6.0504
2020-12-16 11:41:36.399962,1,00000,2,74563,14912.6,548.2009,14301,14303.0,15016.0,15225.0,15718,0,2020-2019,0.0436,-0.0001,0.05,6.0504
2020-12-16 11:41:36.399962,2,00000,3,74625,14925.0,491.0356,14286,14665.0,14674.0,15448.0,15552,0,2020-2019,0.0202,-0.0067,0.0605,6.0504
2020-12-16 11:41:36.399962,3,00000,4,74063,14812.6,492.7217,14155,14422.0,14915.0,14993.0,15578,0,2020-2019,0.0102,0.0052,0.039,6.0504
2020-12-16 11:41:36.399962,4,00000,5,75946,15189.2,533.2618,14475,14857.0,15003.0,15746.0,15865,0,2020-2019,0.0079,-0.0097,0.0678,6.0504
2020-12-16 11:41:36.399962,5,00000,6,78463,15692.6,958.197,14039,15325.0,15921.0,16413.0,16765,0,2020-2019,0.0897,-0.0374,0.1341,6.0504
2020-12-16 11:41:36.399962,6,00000,7,79431,15886.2,910.0667,14987,15070.0,15398.0,16981.0,16995,0,2020-2019,0.3294,-0.0213,0.1277,6.0504
2020-12-16 11:41:36.399962,7,00000,8,76477,15295.4,881.5429,14245,14546.0,15092.0,16003.0,16591,0,2020-2019,0.7086,0.0211,0.0604,6.0504
2020-12-16 11:41:36.399962,8,00000,9,75873,15174.6,883.356,14247,14318.0,15029.0,15679.0,16600,0,2020-2019,0.5413,-0.005,0.0587,6.0504
2020-12-16 11:41:36.399962,9,00000,10,75172,15034.4,568.3329,14217,14631.0,15219.0,15226.0,15879,0,2020-2019,0.3923,-0.0283,0.0705,6.0504
2020-12-16 11:41:36.399962,10,00000,11,74711,14942.2,682.5301,14197,14311.0,15001.0,15099.0,16103,0,2020-2019,0.3603,-0.008,0.0735,6.0504
