exec_date,index,entity,year,period,total
2020-12-16 11:38:41.992881,0,00000,2010,1,593
2020-12-16 11:38:41.992881,1,00000,2010,2,652
2020-12-16 11:38:41.992881,2,00000,2010,3,559
2020-12-16 11:38:41.992881,3,00000,2010,4,590
2020-12-16 11:38:41.992881,4,00000,2010,5,568.0
2020-12-16 11:38:41.992881,5,00000,2010,6,551.0
2020-12-16 11:38:41.992881,6,00000,2010,7,548.0
2020-12-16 11:38:41.992881,7,00000,2010,8,560.0
2020-12-16 11:38:41.992881,8,00000,2010,9,558.0
2020-12-16 11:38:41.992881,9,00000,2010,10,514.0
2020-12-16 11:38:41.992881,10,00000,2010,11,507.0
2020-12-16 11:38:41.992881,11,00000,2010,12,489.0
2020-12-16 11:38:41.992881,12,00000,2010,13,518.0
2020-12-16 11:38:41.992881,13,00000,2011,1,622
2020-12-16 11:38:41.992881,14,00000,2011,2,645
2020-12-16 11:38:41.992881,15,00000,2011,3,676
2020-12-16 11:38:41.992881,16,00000,2011,4,625
2020-12-16 11:38:41.992881,17,00000,2011,5,713.0
2020-12-16 11:38:41.992881,18,00000,2011,6,684.0
2020-12-16 11:38:41.992881,19,00000,2011,7,662.0
2020-12-16 11:38:41.992881,20,00000,2011,8,623.0
2020-12-16 11:38:41.992881,21,00000,2011,9,673.0
2020-12-16 11:38:41.992881,22,00000,2011,10,639.0
2020-12-16 11:38:41.992881,23,00000,2011,11,559.0
2020-12-16 11:38:41.992881,24,00000,2011,12,615.0
2020-12-16 11:38:41.992881,25,00000,2011,13,545.0
2020-12-16 11:38:41.992881,26,00000,2012,1,648
2020-12-16 11:38:41.992881,27,00000,2012,2,664
2020-12-16 11:38:41.992881,28,00000,2012,3,652
2020-12-16 11:38:41.992881,29,00000,2012,4,706
2020-12-16 11:38:41.992881,30,00000,2012,5,678.0
2020-12-16 11:38:41.992881,31,00000,2012,6,683.0
2020-12-16 11:38:41.992881,32,00000,2012,7,733.0
2020-12-16 11:38:41.992881,33,00000,2012,8,663.0
2020-12-16 11:38:41.992881,34,00000,2012,9,696.0
2020-12-16 11:38:41.992881,35,00000,2012,10,681.0
2020-12-16 11:38:41.992881,36,00000,2012,11,698.0
2020-12-16 11:38:41.992881,37,00000,2012,12,661.0
2020-12-16 11:38:41.992881,38,00000,2012,13,615.0
2020-12-16 11:38:41.992881,39,00000,2013,1,647
2020-12-16 11:38:41.992881,40,00000,2013,2,742
2020-12-16 11:38:41.992881,41,00000,2013,3,689
2020-12-16 11:38:41.992881,42,00000,2013,4,692
2020-12-16 11:38:41.992881,43,00000,2013,5,655.0
2020-12-16 11:38:41.992881,44,00000,2013,6,659.0
2020-12-16 11:38:41.992881,45,00000,2013,7,654.0
