exec_date,index,entity,period,total,mean,stdev,min,p25,p50,p75,max,no_data,pv_max_lim,pv_min_lim,pv_period,pv_value,var_coef
2020-12-14 18:53:56.200330,0,00000,1,5509.0,550.9,83.6797,453.0,480.75,551.5,583.5,752.0,0,0.05008944543828265,-0.2566489361702128,2020-2019,0.01532567049808429,13.5616
2020-12-14 18:53:56.200330,1,00000,2,7163.0,716.3,45.876,652.0,679.5,716.0,734.0,811.0,0,0.061518324607329845,-0.09864364981504316,2020-2019,-0.03273809523809524,13.5616
2020-12-14 18:53:56.200330,2,00000,3,7040.0,704.0,63.0428,559.0,680.75,717.5,738.25,802.0,0,0.11543810848400557,-0.09351620947630923,2020-2019,-0.22558459422283356,13.5616
2020-12-14 18:53:56.200330,3,00000,4,6919.0,691.9,52.9215,590.0,681.0,694.5,732.0,768.0,0,0.08781869688385269,-0.07421875,2020-2019,-0.24011713030746706,13.5616
2020-12-14 18:53:56.200330,4,00000,5,7231.0,723.1,71.0752,568.0,698.25,723.5,766.0,844.0,0,0.13593539703903096,-0.08412322274881516,2020-2019,-0.8322147651006712,13.5616
2020-12-14 18:53:56.200330,5,00000,6,7128.0,712.8,72.1897,551.0,689.5,725.0,748.5,842.0,0,0.10498687664041995,-0.1342042755344418,2020-2019,0.0,13.5616
2020-12-14 18:53:56.200330,6,00000,7,7211.0,721.1,78.7279,548.0,677.75,732.0,770.75,847.0,0,0.06998654104979811,-0.07910271546635184,2020-2019,0.0,13.5616
2020-12-14 18:53:56.200330,7,00000,8,7140.0,714.0,77.4971,560.0,668.0,721.5,749.0,838.0,0,0.11436170212765957,-0.09090909090909091,2020-2019,0.0,13.5616
2020-12-14 18:53:56.200330,8,00000,9,7121.0,712.1,78.569,558.0,672.25,712.5,758.5,839.0,0,0.14617486338797814,-0.14232673267326731,2020-2019,0.0,13.5616
2020-12-14 18:53:56.200330,9,00000,10,7256.0,725.6,93.3812,514.0,692.25,738.0,783.5,856.0,0,0.14285714285714285,-0.08454106280193237,2020-2019,0.0,13.5616
2020-12-14 18:53:56.200330,10,00000,11,6839.0,683.9,84.0065,507.0,658.25,692.0,734.0,833.0,0,0.11512717536813923,-0.10533333333333333,2020-2019,0.0,13.5616
2020-12-14 18:53:56.200330,11,00000,12,6591.0,659.1,78.733,489.0,625.25,666.0,699.5,770.0,0,0.0906515580736544,-0.13368283093053734,2020-2019,0.0,13.5616
2020-12-14 18:53:56.200330,12,00000,13,7883.0,788.3,127.6323,518.0,720.25,783.5,860.5,998.0,0,0.14057142857142857,-0.24442082890541977,2020-2019,0.0,13.5616
2020-12-14 18:53:56.200330,13,05000,1,647.0,64.7,11.9084,48.0,60.0,61.5,67.75,92.0,0,0.0967741935483871,-0.32608695652173914,2020-2019,0.11475409836065574,17.9507
2020-12-14 18:53:56.200330,14,05000,2,749.0,74.9,8.6539,58.0,71.0,73.5,80.25,90.0,0,0.2676056338028169,-0.08235294117647059,2020-2019,-0.1111111111111111,17.9507
2020-12-14 18:53:56.200330,15,05000,3,788.0,78.8,10.7592,59.0,73.5,81.5,85.75,93.0,0,0.1111111111111111,-0.13253012048192772,2020-2019,-0.2,17.9507
2020-12-14 18:53:56.200330,16,05000,4,760.0,76.0,9.1652,58.0,71.25,77.5,79.0,96.0,0,0.1111111111111111,-0.10256410256410256,2020-2019,-0.11428571428571428,17.9507
2020-12-14 18:53:56.200330,17,05000,5,831.0,83.1,15.9402,56.0,75.25,82.5,88.5,109.0,0,0.359375,-0.189873417721519,2020-2019,-0.8425925925925926,17.9507
2020-12-14 18:53:56.200330,18,05000,6,816.0,81.6,7.1442,70.0,76.5,81.0,87.0,93.0,0,0.0963855421686747,-0.18681318681318682,2020-2019,0.0,17.9507
2020-12-14 18:53:56.200330,19,05000,7,802.0,80.2,16.0922,51.0,71.25,82.0,95.5,98.0,0,0.23076923076923078,-0.14285714285714285,2020-2019,0.0,17.9507
2020-12-14 18:53:56.200330,20,05000,8,782.0,78.2,13.6953,54.0,68.25,78.5,89.75,101.0,0,0.373134328358209,-0.36633663366336633,2020-2019,0.0,17.9507
2020-12-14 18:53:56.200330,21,05000,9,824.0,82.4,9.531,58.0,79.0,86.5,87.75,92.0,0,0.18666666666666668,-0.14772727272727273,2020-2019,0.0,17.9507
2020-12-14 18:53:56.200330,22,05000,10,800.0,80.0,17.0059,48.0,65.75,85.5,94.25,97.0,0,0.5833333333333334,-0.10416666666666667,2020-2019,0.0,17.9507
2020-12-14 18:53:56.200330,23,05000,11,801.0,80.1,13.0265,66.0,72.25,73.5,88.0,106.0,0,0.3561643835616438,-0.32075471698113206,2020-2019,0.0,17.9507
2020-12-14 18:53:56.200330,24,05000,12,735.0,73.5,11.0928,54.0,64.25,75.5,80.5,90.0,0,0.2,-0.2777777777777778,2020-2019,0.0,17.9507
2020-12-14 18:53:56.200330,25,05000,13,871.0,87.1,19.4548,49.0,75.25,86.0,104.75,115.0,0,0.16304347826086957,-0.1836734693877551,2020-2019,0.0,17.9507
2020-12-14 18:53:56.200330,26,08000,1,269.0,26.9,9.5964,12.0,20.75,25.5,36.75,39.0,0,0.35714285714285715,-0.28205128205128205,2020-2019,0.1794871794871795,41.1689
2020-12-14 18:53:56.200330,27,08000,2,361.0,36.1,10.625,16.0,28.0,38.0,43.5,53.0,0,0.20454545454545456,-0.11320754716981132,2020-2019,0.11904761904761904,41.1689
2020-12-14 18:53:56.200330,28,08000,3,347.0,34.7,12.985,17.0,21.25,39.0,47.0,50.0,0,0.28205128205128205,-0.16326530612244897,2020-2019,-0.34,41.1689
2020-12-14 18:53:56.200330,29,08000,4,384.0,38.4,13.4179,15.0,32.0,41.0,48.75,55.0,0,0.12244897959183673,-0.11538461538461539,2020-2019,-0.32608695652173914,41.1689
2020-12-14 18:53:56.200330,30,08000,5,366.0,36.6,11.1642,14.0,29.25,40.0,44.0,53.0,0,0.15217391304347827,0.0,2020-2019,-0.8490566037735849,41.1689
2020-12-14 18:53:56.200330,31,08000,6,336.0,33.6,13.8362,8.0,24.0,35.5,40.5,58.0,0,0.23333333333333334,0.10810810810810811,2020-2019,0.0,41.1689
2020-12-14 18:53:56.200330,32,08000,7,396.0,39.6,14.479,14.0,33.0,36.5,51.5,63.0,0,0.28205128205128205,-0.25,2020-2019,0.0,41.1689
2020-12-14 18:53:56.200330,33,08000,8,411.0,41.1,17.0438,16.0,30.5,36.0,56.25,67.0,0,0.8108108108108109,-0.19402985074626866,2020-2019,0.0,41.1689
2020-12-14 18:53:56.200330,34,08000,9,439.0,43.9,18.7587,8.0,28.5,48.5,58.5,72.0,0,0.2,-0.1,2020-2019,0.0,41.1689
2020-12-14 18:53:56.200330,35,08000,10,439.0,43.9,17.7169,17.0,28.75,41.0,62.25,66.0,0,0.7647058823529411,-0.045454545454545456,2020-2019,0.0,41.1689
2020-12-14 18:53:56.200330,36,08000,11,426.0,42.6,18.5105,12.0,31.75,41.5,53.0,75.0,0,0.41509433962264153,-0.18461538461538463,2020-2019,0.0,41.1689
2020-12-14 18:53:56.200330,37,08000,12,401.0,40.1,18.3382,7.0,28.25,37.5,52.5,68.0,0,0.3333333333333333,-0.2153846153846154,2020-2019,0.0,41.1689
2020-12-14 18:53:56.200330,38,08000,13,452.0,45.2,16.3573,17.0,36.5,40.0,58.0,71.0,0,0.4473684210526316,-0.16901408450704225,2020-2019,0.0,41.1689
2020-12-14 18:53:56.200330,39,13000,1,311.0,31.1,9.5336,18.0,24.5,29.5,35.75,50.0,0,0.30434782608695654,-0.34285714285714286,2020-2019,-0.5666666666666667,27.2705
2020-12-14 18:53:56.200330,40,13000,2,383.0,38.3,8.7869,24.0,36.0,38.0,42.25,56.0,0,0.21739130434782608,-0.2857142857142857,2020-2019,-0.325,27.2705
2020-12-14 18:53:56.200330,41,13000,3,382.0,38.2,9.0973,25.0,30.75,38.5,43.5,58.0,0,0.48717948717948717,-0.2413793103448276,2020-2019,-0.4772727272727273,27.2705
2020-12-14 18:53:56.200330,42,13000,4,345.0,34.5,8.5235,23.0,28.5,32.5,39.25,53.0,0,0.325,-0.37735849056603776,2020-2019,0.13333333333333333,27.2705
2020-12-14 18:53:56.200330,43,13000,5,383.0,38.3,8.4149,22.0,34.25,39.0,42.5,51.0,0,0.18604651162790697,-0.21568627450980393,2020-2019,-0.9024390243902439,27.2705
2020-12-14 18:53:56.200330,44,13000,6,370.0,37.0,5.7619,29.0,31.25,38.5,40.0,45.0,0,0.3793103448275862,-0.275,2020-2019,0.0,27.2705
2020-12-14 18:53:56.200330,45,13000,7,359.0,35.9,9.1482,21.0,30.5,34.0,42.0,54.0,0,0.5882352941176471,-0.37037037037037035,2020-2019,0.0,27.2705
2020-12-14 18:53:56.200330,46,13000,8,424.0,42.4,7.2277,30.0,36.75,43.5,47.75,52.0,0,0.175,-0.25,2020-2019,0.0,27.2705
2020-12-14 18:53:56.200330,47,13000,9,425.0,42.5,9.8005,27.0,38.25,42.0,51.75,55.0,0,0.17777777777777778,-0.2909090909090909,2020-2019,0.0,27.2705
2020-12-14 18:53:56.200330,48,13000,10,439.0,43.9,14.2158,22.0,32.75,48.5,52.0,65.0,0,0.2653061224489796,-0.43548387096774194,2020-2019,0.0,27.2705
2020-12-14 18:53:56.200330,49,13000,11,387.0,38.7,14.8597,12.0,30.25,40.0,47.25,67.0,0,0.3673469387755102,-0.417910447761194,2020-2019,0.0,27.2705
2020-12-14 18:53:56.200330,50,13000,12,355.0,35.5,6.4226,26.0,29.25,36.5,40.0,46.0,0,0.05,-0.275,2020-2019,0.0,27.2705
2020-12-14 18:53:56.200330,51,13000,13,392.0,39.2,11.5308,19.0,32.5,37.5,44.75,63.0,0,0.575,-0.2857142857142857,2020-2019,0.0,27.2705
2020-12-14 18:53:56.200330,52,15000,1,153.0,15.3,4.6271,9.0,12.0,14.5,17.0,25.0,0,0.2727272727272727,-0.2857142857142857,2020-2019,0.08333333333333333,34.8026
2020-12-14 18:53:56.200330,53,15000,2,186.0,18.6,6.3277,8.0,14.0,20.0,22.75,29.0,0,0.25,-0.5294117647058824,2020-2019,0.3,34.8026
2020-12-14 18:53:56.200330,54,15000,3,146.0,14.6,4.5431,8.0,11.5,14.5,16.5,25.0,0,0.1,-0.23076923076923078,2020-2019,-0.09090909090909091,34.8026
2020-12-14 18:53:56.200330,55,15000,4,164.0,16.4,4.5651,9.0,13.25,16.0,18.75,25.0,0,0.6923076923076923,-0.5909090909090909,2020-2019,0.1111111111111111,34.8026
2020-12-14 18:53:56.200330,56,15000,5,128.0,12.8,3.1875,8.0,11.0,12.5,13.75,20.0,0,0.45454545454545453,-0.1875,2020-2019,-0.9230769230769231,34.8026
2020-12-14 18:53:56.200330,57,15000,6,176.0,17.6,6.1677,9.0,13.0,17.5,21.0,28.0,0,1.1111111111111112,-0.5714285714285714,2020-2019,0.0,34.8026
2020-12-14 18:53:56.200330,58,15000,7,143.0,14.3,3.1,9.0,13.25,15.0,16.5,19.0,0,0.4444444444444444,-0.47058823529411764,2020-2019,0.0,34.8026
