exec_date,index,entity,year,period,total
2020-12-15 09:28:27.533046,0,00000,2016,1,0.9867
2020-12-15 09:28:27.533046,1,00000,2016,2,1.7519
2020-12-15 09:28:27.533046,2,00000,2016,3,3.0032
2020-12-15 09:28:27.533046,3,00000,2016,4,3.233
2020-12-15 09:28:27.533046,4,00000,2016,5,2.954
2020-12-15 09:28:27.533046,5,00000,2016,6,2.8986
2020-12-15 09:28:27.533046,6,00000,2016,7,3.1386
2020-12-15 09:28:27.533046,7,00000,2016,8,3.1017
2020-12-15 09:28:27.533046,8,00000,2016,9,3.0648
2020-12-15 09:28:27.533046,9,00000,2016,10,3.674
2020-12-15 09:28:27.533046,10,00000,2016,11,3.6084
2020-12-15 09:28:27.533046,11,00000,2016,12,3.432
2020-12-15 09:28:27.533046,12,00000,2016,13,3.2309
2020-12-15 09:28:27.533046,13,00000,2017,1,2.1849
2020-12-15 09:28:27.533046,14,00000,2017,2,3.457
2020-12-15 09:28:27.533046,15,00000,2017,3,3.8039
2020-12-15 09:28:27.533046,16,00000,2017,4,3.8242
2020-12-15 09:28:27.533046,17,00000,2017,5,4.1893
2020-12-15 09:28:27.533046,18,00000,2017,6,4.3983
2020-12-15 09:28:27.533046,19,00000,2017,7,4.1508
2020-12-15 09:28:27.533046,20,00000,2017,8,4.1467
2020-12-15 09:28:27.533046,21,00000,2017,9,4.2157
2020-12-15 09:28:27.533046,22,00000,2017,10,4.6498
2020-12-15 09:28:27.533046,23,00000,2017,11,4.4957
2020-12-15 09:28:27.533046,24,00000,2017,12,4.2076
2020-12-15 09:28:27.533046,25,00000,2017,13,4.6884
2020-12-15 09:28:27.533046,26,00000,2018,1,2.3377
2020-12-15 09:28:27.533046,27,00000,2018,2,4.2159
2020-12-15 09:28:27.533046,28,00000,2018,3,4.9042
2020-12-15 09:28:27.533046,29,00000,2018,4,4.6293
2020-12-15 09:28:27.533046,30,00000,2018,5,4.838
2020-12-15 09:28:27.533046,31,00000,2018,6,4.4186
2020-12-15 09:28:27.533046,32,00000,2018,7,4.3143
2020-12-15 09:28:27.533046,33,00000,2018,8,4.4828
2020-12-15 09:28:27.533046,34,00000,2018,9,4.8119
2020-12-15 09:28:27.533046,35,00000,2018,10,4.7898
2020-12-15 09:28:27.533046,36,00000,2018,11,4.3805
2020-12-15 09:28:27.533046,37,00000,2018,12,4.529
2020-12-15 09:28:27.533046,38,00000,2018,13,4.7678
2020-12-15 09:28:27.533046,39,00000,2019,1,2.6561
2020-12-15 09:28:27.533046,40,00000,2019,2,4.0576
2020-12-15 09:28:27.533046,41,00000,2019,3,5.0084
2020-12-15 09:28:27.533046,42,00000,2019,4,5.2228
2020-12-15 09:28:27.533046,43,00000,2019,5,4.4923
2020-12-15 09:28:27.533046,44,00000,2019,6,4.6551
2020-12-15 09:28:27.533046,45,00000,2019,7,4.4228
2020-12-15 09:28:27.533046,46,00000,2019,8,4.7206
2020-12-15 09:28:27.533046,47,00000,2019,9,4.7107
2020-12-15 09:28:27.533046,48,00000,2019,10,5.2705
