exec_date,index,entity,period,total,mean,stdev,min,p25,p50,p75,max,no_data,pv_period,pv_value,pv_min_lim,pv_max_lim,var_coef
2020-12-16 11:59:48.065344,0,00000,1,22.4426,2.2443,0.257,1.6874,2.1313,2.2499,2.3841,2.6501,0,2020-2019,-0.0071,-0.05,0.0679,14.0537
2020-12-16 11:59:48.065344,1,00000,2,23.3053,2.3305,0.0938,2.1081,2.2886,2.3546,2.4053,2.4303,0,2020-2019,0.0049,-0.0084,0.0462,14.0537
2020-12-16 11:59:48.065344,2,00000,3,23.0485,2.3048,0.1514,2.0373,2.2096,2.267,2.4176,2.5886,0,2020-2019,-0.0802,-0.0621,0.1164,14.0537
2020-12-16 11:59:48.065344,3,00000,4,22.1637,2.2164,0.1259,2.0008,2.1168,2.2194,2.3016,2.402,0,2020-2019,-0.4321,-0.071,0.0818,14.0537
2020-12-16 11:59:48.065344,4,00000,5,22.3085,2.2309,0.1052,2.106,2.1201,2.242,2.3315,2.3638,0,2020-2019,0.0,-0.0124,0.0664,14.0537
2020-12-16 11:59:48.065344,5,00000,6,22.0011,2.2001,0.115,2.0307,2.1097,2.1686,2.2639,2.4142,0,2020-2019,0.0,-0.0616,0.1134,14.0537
2020-12-16 11:59:48.065344,6,00000,7,21.4507,2.1451,0.1129,1.966,2.0367,2.1794,2.2255,2.3304,0,2020-2019,0.0,-0.0381,0.0449,14.0537
2020-12-16 11:59:48.065344,7,00000,8,21.5609,2.1561,0.149,1.9047,2.0837,2.1396,2.259,2.4238,0,2020-2019,0.0,-0.027,0.0743,14.0537
2020-12-16 11:59:48.065344,8,00000,9,21.8371,2.1837,0.1854,1.7483,2.1379,2.2289,2.3147,2.4,0,2020-2019,0.0,-0.0066,0.0346,14.0537
2020-12-16 11:59:48.065344,9,00000,10,21.6038,2.1604,0.2546,1.5963,2.0845,2.1851,2.3767,2.4391,0,2020-2019,0.0,-0.0252,0.1113,14.0537
