date,entity,year,month,week,period,value
1/1/2017,COLOMBIA,2017,1,1,1,24
1/8/2017,COLOMBIA,2017,1,2,1,25
1/15/2017,COLOMBIA,2017,1,3,1,36
1/22/2017,COLOMBIA,2017,1,4,1,25
1/29/2017,COLOMBIA,2017,1,5,2,30
2/5/2017,COLOMBIA,2017,2,6,2,29
2/12/2017,COLOMBIA,2017,2,7,2,34
2/19/2017,COLOMBIA,2017,2,8,2,35
2/26/2017,COLOMBIA,2017,2,9,3,33
3/5/2017,COLOMBIA,2017,3,10,3,29
3/12/2017,COLOMBIA,2017,3,11,3,20
3/19/2017,COLOMBIA,2017,3,12,3,19
3/26/2017,COLOMBIA,2017,3,13,4,23
4/2/2017,COLOMBIA,2017,4,14,4,30
4/9/2017,COLOMBIA,2017,4,15,4,22
4/16/2017,COLOMBIA,2017,4,16,4,32
4/23/2017,COLOMBIA,2017,4,17,5,37
4/30/2017,COLOMBIA,2017,4,18,5,26
5/7/2017,COLOMBIA,2017,5,19,5,29
5/14/2017,COLOMBIA,2017,5,20,5,41
5/21/2017,COLOMBIA,2017,5,21,6,42
5/28/2017,COLOMBIA,2017,5,22,6,41
6/4/2017,COLOMBIA,2017,6,23,6,32
6/11/2017,COLOMBIA,2017,6,24,6,35
6/18/2017,COLOMBIA,2017,6,25,7,29
6/25/2017,COLOMBIA,2017,6,26,7,43
7/2/2017,COLOMBIA,2017,7,27,7,33
7/9/2017,COLOMBIA,2017,7,28,7,39
7/16/2017,COLOMBIA,2017,7,29,8,43
7/23/2017,COLOMBIA,2017,7,30,8,32
7/30/2017,COLOMBIA,2017,7,31,8,44
8/6/2017,COLOMBIA,2017,8,32,8,43
8/13/2017,COLOMBIA,2017,8,33,9,60
8/20/2017,COLOMBIA,2017,8,34,9,51
8/27/2017,COLOMBIA,2017,8,35,9,54
9/3/2017,COLOMBIA,2017,9,36,9,56
9/10/2017,COLOMBIA,2017,9,37,10,40
9/17/2017,COLOMBIA,2017,9,38,10,58
9/24/2017,COLOMBIA,2017,9,39,10,83
10/1/2017,COLOMBIA,2017,10,40,10,53
10/8/2017,COLOMBIA,2017,10,41,11,56
10/15/2017,COLOMBIA,2017,10,42,11,59
10/22/2017,COLOMBIA,2017,10,43,11,66
10/29/2017,COLOMBIA,2017,10,44,11,82
11/5/2017,COLOMBIA,2017,11,45,12,54
11/12/2017,COLOMBIA,2017,11,46,12,55
11/19/2017,COLOMBIA,2017,11,47,12,66
11/26/2017,COLOMBIA,2017,11,48,12,77
12/3/2017,COLOMBIA,2017,12,49,13,60
12/10/2017,COLOMBIA,2017,12,50,13,41
12/17/2017,COLOMBIA,2017,12,51,13,75
12/24/2017,COLOMBIA,2017,12,52,13,42
12/31/2017,COLOMBIA,2018,12,1,1,64
1/7/2018,COLOMBIA,2018,1,2,1,68
1/14/2018,COLOMBIA,2018,1,3,1,86
1/21/2018,COLOMBIA,2018,1,4,1,97
1/28/2018,COLOMBIA,2018,1,5,2,77
2/4/2018,COLOMBIA,2018,2,6,2,77
2/11/2018,COLOMBIA,2018,2,7,2,60
2/18/2018,COLOMBIA,2018,2,8,2,69
2/25/2018,COLOMBIA,2018,2,9,3,62
3/4/2018,COLOMBIA,2018,3,10,3,55
3/11/2018,COLOMBIA,2018,3,11,3,81
3/18/2018,COLOMBIA,2018,3,12,3,78
3/25/2018,COLOMBIA,2018,3,13,4,75
4/1/2018,COLOMBIA,2018,4,14,4,50
4/8/2018,COLOMBIA,2018,4,15,4,47
4/15/2018,COLOMBIA,2018,4,16,4,67
4/22/2018,COLOMBIA,2018,4,17,5,75
4/29/2018,COLOMBIA,2018,4,18,5,63
5/6/2018,COLOMBIA,2018,5,19,5,37
5/13/2018,COLOMBIA,2018,5,20,5,50
5/20/2018,COLOMBIA,2018,5,21,6,75
5/27/2018,COLOMBIA,2018,5,22,6,48
6/3/2018,COLOMBIA,2018,6,23,6,32
6/10/2018,COLOMBIA,2018,6,24,6,37
6/17/2018,COLOMBIA,2018,6,25,7,24
6/24/2018,COLOMBIA,2018,6,26,7,46
7/1/2018,COLOMBIA,2018,7,27,7,15
7/8/2018,COLOMBIA,2018,7,28,7,13
7/15/2018,COLOMBIA,2018,7,29,8,22
7/22/2018,COLOMBIA,2018,7,30,8,27
7/29/2018,COLOMBIA,2018,7,31,8,31
8/5/2018,COLOMBIA,2018,8,32,8,24
8/12/2018,COLOMBIA,2018,8,33,9,28
8/19/2018,COLOMBIA,2018,8,34,9,28
8/26/2018,COLOMBIA,2018,8,35,9,37
9/2/2018,COLOMBIA,2018,9,36,9,37
9/9/2018,COLOMBIA,2018,9,37,10,38
9/16/2018,COLOMBIA,2018,9,38,10,48
9/23/2018,COLOMBIA,2018,9,39,10,57
9/30/2018,COLOMBIA,2018,9,40,10,69
10/7/2018,COLOMBIA,2018,10,41,11,61
10/14/2018,COLOMBIA,2018,10,42,11,66
10/21/2018,COLOMBIA,2018,10,43,11,66
10/28/2018,COLOMBIA,2018,10,44,11,70
11/4/2018,COLOMBIA,2018,11,45,12,51
11/11/2018,COLOMBIA,2018,11,46,12,69
11/18/2018,COLOMBIA,2018,11,47,12,64
11/25/2018,COLOMBIA,2018,11,48,12,108
12/2/2018,COLOMBIA,2018,12,49,13,43
12/9/2018,COLOMBIA,2018,12,50,13,63
12/16/2018,COLOMBIA,2018,12,51,13,98
12/23/2018,COLOMBIA,2018,12,52,13,71
12/30/2018,COLOMBIA,2019,12,1,1,72
1/6/2019,COLOMBIA,2019,1,2,1,73
1/13/2019,COLOMBIA,2019,1,3,1,99
1/20/2019,COLOMBIA,2019,1,4,1,90
1/27/2019,COLOMBIA,2019,1,5,2,101
2/3/2019,COLOMBIA,2019,2,6,2,61
2/10/2019,COLOMBIA,2019,2,7,2,89
2/17/2019,COLOMBIA,2019,2,8,2,94
2/24/2019,COLOMBIA,2019,2,9,3,86
3/3/2019,COLOMBIA,2019,3,10,3,68
3/10/2019,COLOMBIA,2019,3,11,3,81
3/17/2019,COLOMBIA,2019,3,12,3,74
3/24/2019,COLOMBIA,2019,3,13,4,83
3/31/2019,COLOMBIA,2019,3,14,4,78
4/7/2019,COLOMBIA,2019,4,15,4,78
4/14/2019,COLOMBIA,2019,4,16,4,73
4/21/2019,COLOMBIA,2019,4,17,5,70
4/28/2019,COLOMBIA,2019,4,18,5,70
5/5/2019,COLOMBIA,2019,5,19,5,78
5/12/2019,COLOMBIA,2019,5,20,5,84
5/19/2019,COLOMBIA,2019,5,21,6,80
5/26/2019,COLOMBIA,2019,5,22,6,99
6/2/2019,COLOMBIA,2019,6,23,6,78
6/9/2019,COLOMBIA,2019,6,24,6,83
6/16/2019,COLOMBIA,2019,6,25,7,78
6/23/2019,COLOMBIA,2019,6,26,7,74
6/30/2019,COLOMBIA,2019,6,27,7,68
7/7/2019,COLOMBIA,2019,7,28,7,94
7/14/2019,COLOMBIA,2019,7,29,8,72
7/21/2019,COLOMBIA,2019,7,30,8,61
7/28/2019,COLOMBIA,2019,7,31,8,69
8/4/2019,COLOMBIA,2019,8,32,8,66
8/11/2019,COLOMBIA,2019,8,33,9,79
8/18/2019,COLOMBIA,2019,8,34,9,90
8/25/2019,COLOMBIA,2019,8,35,9,93
9/1/2019,COLOMBIA,2019,9,36,9,54
9/8/2019,COLOMBIA,2019,9,37,10,75
9/15/2019,COLOMBIA,2019,9,38,10,77
9/22/2019,COLOMBIA,2019,9,39,10,59
9/29/2019,COLOMBIA,2019,9,40,10,70
10/6/2019,COLOMBIA,2019,10,41,11,72
10/13/2019,COLOMBIA,2019,10,42,11,54
10/20/2019,COLOMBIA,2019,10,43,11,66
10/27/2019,COLOMBIA,2019,10,44,11,95
11/3/2019,COLOMBIA,2019,11,45,12,60
11/10/2019,COLOMBIA,2019,11,46,12,55
11/17/2019,COLOMBIA,2019,11,47,12,57
11/24/2019,COLOMBIA,2019,11,48,12,66
12/1/2019,COLOMBIA,2019,12,49,13,54
12/8/2019,COLOMBIA,2019,12,50,13,53
12/15/2019,COLOMBIA,2019,12,51,13,39
12/22/2019,COLOMBIA,2019,12,52,13,38
12/29/2019,COLOMBIA,2020,12,1,1,54
1/5/2020,COLOMBIA,2020,1,2,1,45
1/12/2020,COLOMBIA,2020,1,3,1,54
1/19/2020,COLOMBIA,2020,1,4,1,44
1/26/2020,COLOMBIA,2020,1,5,2,57
2/2/2020,COLOMBIA,2020,2,6,2,45
2/9/2020,COLOMBIA,2020,2,7,2,43
2/16/2020,COLOMBIA,2020,2,8,2,47
2/23/2020,COLOMBIA,2020,2,9,3,56
3/1/2020,COLOMBIA,2020,3,10,3,8
3/8/2020,COLOMBIA,2020,3,11,3,5
3/15/2020,COLOMBIA,2020,3,12,3,5
3/22/2020,COLOMBIA,2020,3,13,4,1
3/29/2020,COLOMBIA,2020,3,14,4,4
4/5/2020,COLOMBIA,2020,4,15,4,0
4/12/2020,COLOMBIA,2020,4,16,4,0
1/1/2017,AMAZONAS,2017,1,1,1,0
1/8/2017,AMAZONAS,2017,1,2,1,0
1/15/2017,AMAZONAS,2017,1,3,1,0
1/22/2017,AMAZONAS,2017,1,4,1,0
1/29/2017,AMAZONAS,2017,1,5,2,0
2/5/2017,AMAZONAS,2017,2,6,2,0
2/12/2017,AMAZONAS,2017,2,7,2,0
2/19/2017,AMAZONAS,2017,2,8,2,0
2/26/2017,AMAZONAS,2017,2,9,3,0
3/5/2017,AMAZONAS,2017,3,10,3,0
3/12/2017,AMAZONAS,2017,3,11,3,0
3/19/2017,AMAZONAS,2017,3,12,3,0
3/26/2017,AMAZONAS,2017,3,13,4,0
4/2/2017,AMAZONAS,2017,4,14,4,0
4/9/2017,AMAZONAS,2017,4,15,4,0
4/16/2017,AMAZONAS,2017,4,16,4,0
4/23/2017,AMAZONAS,2017,4,17,5,0
4/30/2017,AMAZONAS,2017,4,18,5,0
5/7/2017,AMAZONAS,2017,5,19,5,0
5/14/2017,AMAZONAS,2017,5,20,5,0
5/21/2017,AMAZONAS,2017,5,21,6,0
5/28/2017,AMAZONAS,2017,5,22,6,0
6/4/2017,AMAZONAS,2017,6,23,6,0
6/11/2017,AMAZONAS,2017,6,24,6,0
6/18/2017,AMAZONAS,2017,6,25,7,1
6/25/2017,AMAZONAS,2017,6,26,7,0
7/2/2017,AMAZONAS,2017,7,27,7,0
7/9/2017,AMAZONAS,2017,7,28,7,0
7/16/2017,AMAZONAS,2017,7,29,8,0
7/23/2017,AMAZONAS,2017,7,30,8,0
7/30/2017,AMAZONAS,2017,7,31,8,0
8/6/2017,AMAZONAS,2017,8,32,8,0
8/13/2017,AMAZONAS,2017,8,33,9,0
8/20/2017,AMAZONAS,2017,8,34,9,0
8/27/2017,AMAZONAS,2017,8,35,9,0
9/3/2017,AMAZONAS,2017,9,36,9,0
9/10/2017,AMAZONAS,2017,9,37,10,0
9/17/2017,AMAZONAS,2017,9,38,10,0
9/24/2017,AMAZONAS,2017,9,39,10,0
