date,entity,year,month,week,period,value
1/1/2017,COLOMBIA,2017,1,1,1,54263
1/8/2017,COLOMBIA,2017,1,2,1,42143
1/15/2017,COLOMBIA,2017,1,3,1,64738
1/22/2017,COLOMBIA,2017,1,4,1,60971
1/29/2017,COLOMBIA,2017,1,5,2,59633
2/5/2017,COLOMBIA,2017,2,6,2,71132
2/12/2017,COLOMBIA,2017,2,7,2,70786
2/19/2017,COLOMBIA,2017,2,8,2,53071
2/26/2017,COLOMBIA,2017,2,9,3,53382
3/5/2017,COLOMBIA,2017,3,10,3,61279
3/12/2017,COLOMBIA,2017,3,11,3,46709
3/19/2017,COLOMBIA,2017,3,12,3,72269
3/26/2017,COLOMBIA,2017,3,13,4,73149
4/2/2017,COLOMBIA,2017,4,14,4,48499
4/9/2017,COLOMBIA,2017,4,15,4,60697
4/16/2017,COLOMBIA,2017,4,16,4,53022
4/23/2017,COLOMBIA,2017,4,17,5,65880
4/30/2017,COLOMBIA,2017,4,18,5,67165
5/7/2017,COLOMBIA,2017,5,19,5,59653
5/14/2017,COLOMBIA,2017,5,20,5,54307
5/21/2017,COLOMBIA,2017,5,21,6,64885
5/28/2017,COLOMBIA,2017,5,22,6,64337
6/4/2017,COLOMBIA,2017,6,23,6,59700
6/11/2017,COLOMBIA,2017,6,24,6,57951
6/18/2017,COLOMBIA,2017,6,25,7,58471
6/25/2017,COLOMBIA,2017,6,26,7,50449
7/2/2017,COLOMBIA,2017,7,27,7,67730
7/9/2017,COLOMBIA,2017,7,28,7,58369
7/16/2017,COLOMBIA,2017,7,29,8,48920
7/23/2017,COLOMBIA,2017,7,30,8,70000
7/30/2017,COLOMBIA,2017,7,31,8,64388
8/6/2017,COLOMBIA,2017,8,32,8,53311
8/13/2017,COLOMBIA,2017,8,33,9,61159
8/20/2017,COLOMBIA,2017,8,34,9,59064
8/27/2017,COLOMBIA,2017,8,35,9,49447
9/3/2017,COLOMBIA,2017,9,36,9,80270
9/10/2017,COLOMBIA,2017,9,37,10,61128
9/17/2017,COLOMBIA,2017,9,38,10,57394
9/24/2017,COLOMBIA,2017,9,39,10,67650
10/1/2017,COLOMBIA,2017,10,40,10,46471
10/8/2017,COLOMBIA,2017,10,41,11,63835
10/15/2017,COLOMBIA,2017,10,42,11,62515
10/22/2017,COLOMBIA,2017,10,43,11,59336
10/29/2017,COLOMBIA,2017,10,44,11,69663
11/5/2017,COLOMBIA,2017,11,45,12,53161
11/12/2017,COLOMBIA,2017,11,46,12,56428
11/19/2017,COLOMBIA,2017,11,47,12,53077
11/26/2017,COLOMBIA,2017,11,48,12,62548
12/3/2017,COLOMBIA,2017,12,49,13,59942
12/10/2017,COLOMBIA,2017,12,50,13,51834
12/17/2017,COLOMBIA,2017,12,51,13,62573
12/24/2017,COLOMBIA,2017,12,52,13,36853
12/31/2017,COLOMBIA,2018,1,1,1,53073
1/7/2018,COLOMBIA,2018,1,2,1,58297
1/14/2018,COLOMBIA,2018,1,3,1,73530
1/21/2018,COLOMBIA,2018,1,4,1,70871
1/28/2018,COLOMBIA,2018,1,5,2,68577
2/4/2018,COLOMBIA,2018,2,6,2,76510
2/11/2018,COLOMBIA,2018,2,7,2,77359
2/18/2018,COLOMBIA,2018,2,8,2,71551
2/25/2018,COLOMBIA,2018,2,9,3,67750
3/4/2018,COLOMBIA,2018,3,10,3,72781
3/11/2018,COLOMBIA,2018,3,11,3,64729
3/18/2018,COLOMBIA,2018,3,12,3,74397
3/25/2018,COLOMBIA,2018,3,13,4,75637
4/1/2018,COLOMBIA,2018,4,14,4,65366
4/8/2018,COLOMBIA,2018,4,15,4,67323
4/15/2018,COLOMBIA,2018,4,16,4,53715
4/22/2018,COLOMBIA,2018,4,17,5,67639
4/29/2018,COLOMBIA,2018,4,18,5,64393
5/6/2018,COLOMBIA,2018,5,19,5,62672
5/13/2018,COLOMBIA,2018,5,20,5,60220
5/20/2018,COLOMBIA,2018,5,21,6,65113
5/27/2018,COLOMBIA,2018,5,22,6,61683
6/3/2018,COLOMBIA,2018,6,23,6,60647
6/10/2018,COLOMBIA,2018,6,24,6,62041
6/17/2018,COLOMBIA,2018,6,25,7,59098
6/24/2018,COLOMBIA,2018,6,26,7,52492
7/1/2018,COLOMBIA,2018,7,27,7,65031
7/8/2018,COLOMBIA,2018,7,28,7,59934
7/15/2018,COLOMBIA,2018,7,29,8,54614
7/22/2018,COLOMBIA,2018,7,30,8,66507
7/29/2018,COLOMBIA,2018,7,31,8,63379
8/5/2018,COLOMBIA,2018,8,32,8,54579
8/12/2018,COLOMBIA,2018,8,33,9,57734
8/19/2018,COLOMBIA,2018,8,34,9,59518
8/26/2018,COLOMBIA,2018,8,35,9,56507
9/2/2018,COLOMBIA,2018,9,36,9,73093
9/9/2018,COLOMBIA,2018,9,37,10,63891
9/16/2018,COLOMBIA,2018,9,38,10,62549
9/23/2018,COLOMBIA,2018,9,39,10,65866
9/30/2018,COLOMBIA,2018,9,40,10,54305
10/7/2018,COLOMBIA,2018,10,41,11,58567
10/14/2018,COLOMBIA,2018,10,42,11,60689
10/21/2018,COLOMBIA,2018,10,43,11,59502
10/28/2018,COLOMBIA,2018,10,44,11,60773
11/4/2018,COLOMBIA,2018,11,45,12,55286
11/11/2018,COLOMBIA,2018,11,46,12,56707
11/18/2018,COLOMBIA,2018,11,47,12,53472
11/25/2018,COLOMBIA,2018,11,48,12,58118
12/2/2018,COLOMBIA,2018,12,49,13,62529
12/9/2018,COLOMBIA,2018,12,50,13,54629
12/16/2018,COLOMBIA,2018,12,51,13,71384
12/23/2018,COLOMBIA,2018,12,52,13,41508
12/30/2018,COLOMBIA,2019,1,1,1,51933
1/6/2019,COLOMBIA,2019,1,2,1,74276
1/13/2019,COLOMBIA,2019,1,3,1,82595
1/20/2019,COLOMBIA,2019,1,4,1,80752
1/27/2019,COLOMBIA,2019,1,5,2,77522
2/3/2019,COLOMBIA,2019,2,6,2,82061
2/10/2019,COLOMBIA,2019,2,7,2,84755
2/17/2019,COLOMBIA,2019,2,8,2,89987
2/24/2019,COLOMBIA,2019,2,9,3,81690
3/3/2019,COLOMBIA,2019,3,10,3,84456
3/10/2019,COLOMBIA,2019,3,11,3,82813
3/17/2019,COLOMBIA,2019,3,12,3,76549
3/24/2019,COLOMBIA,2019,3,13,4,78168
3/31/2019,COLOMBIA,2019,3,14,4,82132
4/7/2019,COLOMBIA,2019,4,15,4,73737
4/14/2019,COLOMBIA,2019,4,16,4,54327
4/21/2019,COLOMBIA,2019,4,17,5,69405
4/28/2019,COLOMBIA,2019,4,18,5,61763
5/5/2019,COLOMBIA,2019,5,19,5,65718
5/12/2019,COLOMBIA,2019,5,20,5,65483
5/19/2019,COLOMBIA,2019,5,21,6,65383
5/26/2019,COLOMBIA,2019,5,22,6,59006
6/2/2019,COLOMBIA,2019,6,23,6,61156
6/9/2019,COLOMBIA,2019,6,24,6,65602
6/16/2019,COLOMBIA,2019,6,25,7,58865
6/23/2019,COLOMBIA,2019,6,26,7,53961
6/30/2019,COLOMBIA,2019,6,27,7,61653
7/7/2019,COLOMBIA,2019,7,28,7,61128
7/14/2019,COLOMBIA,2019,7,29,8,59780
7/21/2019,COLOMBIA,2019,7,30,8,62931
7/28/2019,COLOMBIA,2019,7,31,8,62216
8/4/2019,COLOMBIA,2019,8,32,8,55778
8/11/2019,COLOMBIA,2019,8,33,9,54115
8/18/2019,COLOMBIA,2019,8,34,9,59856
8/25/2019,COLOMBIA,2019,8,35,9,63367
9/1/2019,COLOMBIA,2019,9,36,9,66488
9/8/2019,COLOMBIA,2019,9,37,10,66600
9/15/2019,COLOMBIA,2019,9,38,10,67619
9/22/2019,COLOMBIA,2019,9,39,10,64094
9/29/2019,COLOMBIA,2019,9,40,10,61474
10/6/2019,COLOMBIA,2019,10,41,11,53249
10/13/2019,COLOMBIA,2019,10,42,11,58754
10/20/2019,COLOMBIA,2019,10,43,11,59596
10/27/2019,COLOMBIA,2019,10,44,11,52016
11/3/2019,COLOMBIA,2019,11,45,12,57076
11/10/2019,COLOMBIA,2019,11,46,12,56745
11/17/2019,COLOMBIA,2019,11,47,12,53573
11/24/2019,COLOMBIA,2019,11,48,12,53639
12/1/2019,COLOMBIA,2019,12,49,13,65925
12/8/2019,COLOMBIA,2019,12,50,13,57631
