date,entity,year,month,week,period,value
1/1/2017,COLOMBIA,2017,1,1,1,390
1/8/2017,COLOMBIA,2017,1,2,1,411
1/15/2017,COLOMBIA,2017,1,3,1,451
1/22/2017,COLOMBIA,2017,1,4,1,422
1/29/2017,COLOMBIA,2017,1,5,2,448
2/5/2017,COLOMBIA,2017,2,6,2,512
2/12/2017,COLOMBIA,2017,2,7,2,436
2/19/2017,COLOMBIA,2017,2,8,2,395
2/26/2017,COLOMBIA,2017,2,9,3,426
3/5/2017,COLOMBIA,2017,3,10,3,438
3/12/2017,COLOMBIA,2017,3,11,3,430
3/19/2017,COLOMBIA,2017,3,12,3,435
3/26/2017,COLOMBIA,2017,3,13,4,459
4/2/2017,COLOMBIA,2017,4,14,4,470
4/9/2017,COLOMBIA,2017,4,15,4,380
4/16/2017,COLOMBIA,2017,4,16,4,440
4/23/2017,COLOMBIA,2017,4,17,5,520
4/30/2017,COLOMBIA,2017,4,18,5,448
5/7/2017,COLOMBIA,2017,5,19,5,428
5/14/2017,COLOMBIA,2017,5,20,5,430
5/21/2017,COLOMBIA,2017,5,21,6,409
5/28/2017,COLOMBIA,2017,5,22,6,377
6/4/2017,COLOMBIA,2017,6,23,6,471
6/11/2017,COLOMBIA,2017,6,24,6,449
6/18/2017,COLOMBIA,2017,6,25,7,386
6/25/2017,COLOMBIA,2017,6,26,7,445
7/2/2017,COLOMBIA,2017,7,27,7,460
7/9/2017,COLOMBIA,2017,7,28,7,499
7/16/2017,COLOMBIA,2017,7,29,8,425
7/23/2017,COLOMBIA,2017,7,30,8,468
7/30/2017,COLOMBIA,2017,7,31,8,448
8/6/2017,COLOMBIA,2017,8,32,8,447
8/13/2017,COLOMBIA,2017,8,33,9,423
8/20/2017,COLOMBIA,2017,8,34,9,489
8/27/2017,COLOMBIA,2017,8,35,9,480
9/3/2017,COLOMBIA,2017,9,36,9,465
9/10/2017,COLOMBIA,2017,9,37,10,531
9/17/2017,COLOMBIA,2017,9,38,10,502
9/24/2017,COLOMBIA,2017,9,39,10,493
10/1/2017,COLOMBIA,2017,10,40,10,430
10/8/2017,COLOMBIA,2017,10,41,11,457
10/15/2017,COLOMBIA,2017,10,42,11,475
10/22/2017,COLOMBIA,2017,10,43,11,509
10/29/2017,COLOMBIA,2017,10,44,11,453
11/5/2017,COLOMBIA,2017,11,45,12,368
11/12/2017,COLOMBIA,2017,11,46,12,442
11/19/2017,COLOMBIA,2017,11,47,12,437
11/26/2017,COLOMBIA,2017,11,48,12,460
12/3/2017,COLOMBIA,2017,12,49,13,387
12/10/2017,COLOMBIA,2017,12,50,13,489
12/17/2017,COLOMBIA,2017,12,51,13,400
12/24/2017,COLOMBIA,2017,12,52,13,432
12/31/2017,COLOMBIA,2018,1,1,1,453
1/7/2018,COLOMBIA,2018,1,2,1,480
1/14/2018,COLOMBIA,2018,1,3,1,516
1/21/2018,COLOMBIA,2018,1,4,1,467
1/28/2018,COLOMBIA,2018,1,5,2,426
2/4/2018,COLOMBIA,2018,2,6,2,419
2/11/2018,COLOMBIA,2018,2,7,2,471
2/18/2018,COLOMBIA,2018,2,8,2,497
2/25/2018,COLOMBIA,2018,2,9,3,460
3/4/2018,COLOMBIA,2018,3,10,3,501
3/11/2018,COLOMBIA,2018,3,11,3,420
3/18/2018,COLOMBIA,2018,3,12,3,447
3/25/2018,COLOMBIA,2018,3,13,4,347
4/1/2018,COLOMBIA,2018,4,14,4,450
4/8/2018,COLOMBIA,2018,4,15,4,458
4/15/2018,COLOMBIA,2018,4,16,4,494
4/22/2018,COLOMBIA,2018,4,17,5,464
4/29/2018,COLOMBIA,2018,4,18,5,428
5/6/2018,COLOMBIA,2018,5,19,5,432
5/13/2018,COLOMBIA,2018,5,20,5,397
5/20/2018,COLOMBIA,2018,5,21,6,402
5/27/2018,COLOMBIA,2018,5,22,6,410
6/3/2018,COLOMBIA,2018,6,23,6,393
6/10/2018,COLOMBIA,2018,6,24,6,440
6/17/2018,COLOMBIA,2018,6,25,7,434
6/24/2018,COLOMBIA,2018,6,26,7,393
7/1/2018,COLOMBIA,2018,7,27,7,386
7/8/2018,COLOMBIA,2018,7,28,7,456
7/15/2018,COLOMBIA,2018,7,29,8,434
7/22/2018,COLOMBIA,2018,7,30,8,459
7/29/2018,COLOMBIA,2018,7,31,8,401
8/5/2018,COLOMBIA,2018,8,32,8,452
8/12/2018,COLOMBIA,2018,8,33,9,455
8/19/2018,COLOMBIA,2018,8,34,9,448
8/26/2018,COLOMBIA,2018,8,35,9,497
9/2/2018,COLOMBIA,2018,9,36,9,434
9/9/2018,COLOMBIA,2018,9,37,10,464
9/16/2018,COLOMBIA,2018,9,38,10,516
9/23/2018,COLOMBIA,2018,9,39,10,480
9/30/2018,COLOMBIA,2018,9,40,10,466
10/7/2018,COLOMBIA,2018,10,41,11,456
10/14/2018,COLOMBIA,2018,10,42,11,406
10/21/2018,COLOMBIA,2018,10,43,11,459
10/28/2018,COLOMBIA,2018,10,44,11,435
11/4/2018,COLOMBIA,2018,11,45,12,456
11/11/2018,COLOMBIA,2018,11,46,12,408
11/18/2018,COLOMBIA,2018,11,47,12,474
11/25/2018,COLOMBIA,2018,11,48,12,454
12/2/2018,COLOMBIA,2018,12,49,13,431
12/9/2018,COLOMBIA,2018,12,50,13,412
12/16/2018,COLOMBIA,2018,12,51,13,454
12/23/2018,COLOMBIA,2018,12,52,13,368
12/30/2018,COLOMBIA,2019,1,1,1,325
1/6/2019,COLOMBIA,2019,1,2,1,368
1/13/2019,COLOMBIA,2019,1,3,1,428
1/20/2019,COLOMBIA,2019,1,4,1,465
1/27/2019,COLOMBIA,2019,1,5,2,445
2/3/2019,COLOMBIA,2019,2,6,2,454
2/10/2019,COLOMBIA,2019,2,7,2,444
2/17/2019,COLOMBIA,2019,2,8,2,461
2/24/2019,COLOMBIA,2019,2,9,3,438
3/3/2019,COLOMBIA,2019,3,10,3,436
3/10/2019,COLOMBIA,2019,3,11,3,419
3/17/2019,COLOMBIA,2019,3,12,3,427
3/24/2019,COLOMBIA,2019,3,13,4,440
3/31/2019,COLOMBIA,2019,3,14,4,428
4/7/2019,COLOMBIA,2019,4,15,4,431
4/14/2019,COLOMBIA,2019,4,16,4,352
4/21/2019,COLOMBIA,2019,4,17,5,455
4/28/2019,COLOMBIA,2019,4,18,5,424
5/5/2019,COLOMBIA,2019,5,19,5,480
5/12/2019,COLOMBIA,2019,5,20,5,444
5/19/2019,COLOMBIA,2019,5,21,6,451
5/26/2019,COLOMBIA,2019,5,22,6,461
