indicator,sub_indicator,date,chapter,group,sub_group,diagnosis,cod,department,com,municipality,event_type,rips_num_attentions,rips_num_person
DM,DIABETES MELLITUS,1/1/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,E112 - DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMPLICACIONES RENALES,73,TOLIMA,73411,LIBANO,4 - HOSPITALIZACIONES,1,1
DM,DIABETES MELLITUS,1/1/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,E122 - DIABETES MELLITUS ASOCIADA CON DESNUTRICION CON COMPLICACIONES RENALES,11,BOGOTA,11001,BOGOTA,4 - HOSPITALIZACIONES,1,1
DM,DIABETES MELLITUS,1/2/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,E109 - DIABETES MELLITUS INSULINODEPENDIENTE SIN MENCION DE COMPLICACION,11,BOGOTA,11001,BOGOTA,4 - HOSPITALIZACIONES,1,1
DM,DIABETES MELLITUS,1/2/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,E119 - DIABETES MELLITUS NO INSULINODEPENDIENTE SIN MENCION DE COMPLICACION,11,BOGOTA,11001,BOGOTA,4 - HOSPITALIZACIONES,1,1
DM,DIABETES MELLITUS,1/2/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,"E145 - DIABETES MELLITUS, NO ESPECIFICADA CON COMPLICACIONES CIRCULATORIAS PERIFERICAS",76,VALLE DEL CAUCA,76001,CALI,4 - HOSPITALIZACIONES,1,1
DM,DIABETES MELLITUS,1/2/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,"E149 - DIABETES MELLITUS, NO ESPECIFICADA SIN MENCION DE COMPLICACION",52,NARIÑO,52356,IPIALES,4 - HOSPITALIZACIONES,1,1
DM,DIABETES MELLITUS,1/3/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,E109 - DIABETES MELLITUS INSULINODEPENDIENTE SIN MENCION DE COMPLICACION,11,BOGOTA,11001,BOGOTA,4 - HOSPITALIZACIONES,1,1
DM,DIABETES MELLITUS,1/3/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,E109 - DIABETES MELLITUS INSULINODEPENDIENTE SIN MENCION DE COMPLICACION,25,CUNDINAMARCA,25245,EL COLEGIO,4 - HOSPITALIZACIONES,1,1
DM,DIABETES MELLITUS,1/3/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,E119 - DIABETES MELLITUS NO INSULINODEPENDIENTE SIN MENCION DE COMPLICACION,11,BOGOTA,11001,BOGOTA,4 - HOSPITALIZACIONES,1,1
DM,DIABETES MELLITUS,1/3/2017,"C04 - ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS","E00-E90 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS",E10-E14 DIABETES MELLITUS,E119 - DIABETES MELLITUS NO INSULINODEPENDIENTE SIN MENCION DE COMPLICACION,47,MAGDALENA,47245,EL BANCO,4 - HOSPITALIZACIONES,1,1
