,method,trend,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
00000,SARIMA,n,0.1564,4,42.5955,14.5282,5.4603,-1.0739,0.0,0.0,1.0,1.0,1.0,2.0,13.0
05000,SARIMA,n,0.1959,6,4.1566,26.7219,114.415,118.2493,0.0,0.0,2.0,1.0,0.0,2.0,13.0
81000,SARIMA,n,0.223,6,0.933,34.375,54.4749,58.0151,0.0,0.0,1.0,1.0,0.0,2.0,13.0
08000,SARIMA,n,0.0931,4,3.0089,31.0524,220.0543,223.5296,1.0,0.0,0.0,0.0,0.0,0.0,13.0
13000,SARIMA,n,0.2015,4,0.8283,12.4811,54.4758,57.8702,1.0,2.0,2.0,1.0,0.0,2.0,13.0
15000,SARIMA,n,0.2393,4,1.6579,43.4375,82.8007,87.4363,1.0,0.0,0.0,2.0,0.0,2.0,13.0
17000,SARIMA,n,0.7229,6,1.9362,38.474,67.191,71.0254,1.0,0.0,2.0,0.0,0.0,2.0,13.0
18000,SARIMA,n,0.3667,4,1.5811,24.0909,145.4198,154.4906,2.0,0.0,2.0,1.0,0.0,1.0,13.0
85000,SARIMA,n,0.0183,4,0.5562,16.6667,49.2993,53.6635,2.0,2.0,2.0,2.0,0.0,2.0,13.0
19000,SARIMA,n,0.1891,6,1.3918,31.25,155.3803,161.8595,0.0,0.0,2.0,1.0,0.0,1.0,13.0
20000,SARIMA,n,0.0855,6,1.271,16.7107,90.9269,95.5625,2.0,0.0,0.0,1.0,0.0,2.0,13.0
27000,SARIMA,n,1.4612,4,0.7488,18.75,41.0444,45.2927,2.0,1.0,0.0,1.0,0.0,2.0,13.0
23000,SARIMA,n,0.2587,8,1.1619,34.8214,57.0675,60.9468,2.0,2.0,2.0,1.0,0.0,2.0,13.0
25000,SARIMA,n,0.0484,4,3.2039,38.2448,103.3629,107.9985,2.0,0.0,0.0,1.0,0.0,2.0,13.0
41000,SARIMA,n,0.0928,5,8.4387,25.853,111.0407,115.997,1.0,0.0,1.0,2.0,0.0,2.0,13.0
44000,SARIMA,n,0.3343,4,0.9354,33.75,76.5069,81.5061,0.0,0.0,2.0,2.0,0.0,1.0,13.0
47000,SARIMA,n,0.0209,4,3.5355,32.6141,1.2879,-14.7121,1.0,0.0,2.0,2.0,1.0,2.0,13.0
50000,SARIMA,n,0.457,4,1.558,21.1806,70.5117,74.9851,2.0,0.0,2.0,0.0,0.0,2.0,13.0
52000,SARIMA,n,0.3008,7,1.7808,25.1584,81.119,83.9437,2.0,2.0,1.0,1.0,1.0,0.0,13.0
54000,SARIMA,n,0.2461,4,0.7488,27.0833,58.3711,61.9113,1.0,0.0,1.0,0.0,0.0,2.0,13.0
86000,SARIMA,n,0.4932,4,0.7866,41.5179,74.2245,77.0567,0.0,0.0,1.0,0.0,0.0,2.0,13.0
63000,SARIMA,n,0.4425,4,2.7613,56.6667,94.424,96.7418,0.0,0.0,0.0,0.0,0.0,2.0,13.0
