date,entity,year,period,value,forecast,ci_inf,ci_sup
2017-01-01,00000,2017.0,1.0,110,,,
2017-01-01,05000,2017.0,1.0,6,,,
2017-01-01,08000,2017.0,1.0,1,,,
2017-01-01,11001,2017.0,1.0,31,,,
2017-01-01,13000,2017.0,1.0,3,,,
2017-01-01,15000,2017.0,1.0,2,,,
2017-01-01,17000,2017.0,1.0,0,,,
2017-01-01,18000,2017.0,1.0,1,,,
2017-01-01,19000,2017.0,1.0,0,,,
2017-01-01,20000,2017.0,1.0,2,,,
2017-01-01,23000,2017.0,1.0,1,,,
2017-01-01,25000,2017.0,1.0,11,,,
2017-01-01,27000,2017.0,1.0,1,,,
2017-01-01,41000,2017.0,1.0,11,,,
2017-01-01,44000,2017.0,1.0,1,,,
2017-01-01,47000,2017.0,1.0,2,,,
2017-01-01,50000,2017.0,1.0,0,,,
2017-01-01,52000,2017.0,1.0,7,,,
2017-01-01,54000,2017.0,1.0,0,,,
2017-01-01,63000,2017.0,1.0,0,,,
2017-01-01,66000,2017.0,1.0,0,,,
2017-01-01,68000,2017.0,1.0,2,,,
2017-01-01,70000,2017.0,1.0,3,,,
2017-01-01,73000,2017.0,1.0,2,,,
2017-01-01,76000,2017.0,1.0,17,,,
2017-01-01,81000,2017.0,1.0,0,,,
2017-01-01,85000,2017.0,1.0,4,,,
2017-01-01,86000,2017.0,1.0,2,,,
2017-01-01,88000,2017.0,1.0,0,,,
2017-01-01,91000,2017.0,1.0,0,,,
2017-01-01,94000,2017.0,1.0,0,,,
2017-01-01,95000,2017.0,1.0,0,,,
2017-01-01,97000,2017.0,1.0,0,,,
2017-01-01,99000,2017.0,1.0,0,,,
2017-01-29,00000,2017.0,2.0,128,,,
2017-01-29,05000,2017.0,2.0,7,,,
2017-01-29,08000,2017.0,2.0,1,,,
2017-01-29,11001,2017.0,2.0,34,,,
2017-01-29,13000,2017.0,2.0,4,,,
2017-01-29,15000,2017.0,2.0,3,,,
2017-01-29,17000,2017.0,2.0,1,,,
2017-01-29,18000,2017.0,2.0,0,,,
2017-01-29,19000,2017.0,2.0,0,,,
2017-01-29,20000,2017.0,2.0,3,,,
2017-01-29,23000,2017.0,2.0,2,,,
2017-01-29,25000,2017.0,2.0,16,,,
2017-01-29,27000,2017.0,2.0,0,,,
2017-01-29,41000,2017.0,2.0,10,,,
2017-01-29,44000,2017.0,2.0,0,,,
2017-01-29,47000,2017.0,2.0,2,,,
2017-01-29,50000,2017.0,2.0,0,,,
2017-01-29,52000,2017.0,2.0,7,,,
2017-01-29,54000,2017.0,2.0,4,,,
2017-01-29,63000,2017.0,2.0,0,,,
2017-01-29,66000,2017.0,2.0,1,,,
2017-01-29,68000,2017.0,2.0,3,,,
2017-01-29,70000,2017.0,2.0,2,,,
2017-01-29,73000,2017.0,2.0,1,,,
2017-01-29,76000,2017.0,2.0,23,,,
2017-01-29,81000,2017.0,2.0,1,,,
2017-01-29,85000,2017.0,2.0,1,,,
2017-01-29,86000,2017.0,2.0,2,,,
2017-01-29,88000,2017.0,2.0,0,,,
2017-01-29,91000,2017.0,2.0,0,,,
2017-01-29,94000,2017.0,2.0,0,,,
2017-01-29,95000,2017.0,2.0,0,,,
2017-01-29,97000,2017.0,2.0,0,,,
2017-01-29,99000,2017.0,2.0,0,,,
2017-02-26,00000,2017.0,3.0,101,,,
2017-02-26,05000,2017.0,3.0,8,,,
2017-02-26,08000,2017.0,3.0,1,,,
2017-02-26,11001,2017.0,3.0,22,,,
2017-02-26,13000,2017.0,3.0,0,,,
2017-02-26,15000,2017.0,3.0,5,,,
