,method,trend,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
00000,SARIMA,n,0.0381,5,12492.857,4.4077,203.7369,204.723,2.0,2.0,1.0,0.0,1.0,1.0,13.0
91000,SARIMA,n,0.0434,7,20.7154,5.5541,88.6612,89.6473,2.0,2.0,1.0,0.0,1.0,1.0,13.0
05000,SARIMA,n,0.0367,4,1715.4383,4.069,146.9999,147.3177,0.0,2.0,2.0,0.0,1.0,1.0,13.0
81000,SARIMA,n,0.0346,4,68.9229,5.9103,280.6158,286.2933,0.0,0.0,2.0,1.0,0.0,1.0,13.0
08000,SARIMA,n,0.0357,4,531.968,4.2269,183.8978,186.0159,2.0,1.0,0.0,2.0,0.0,2.0,13.0
13000,SARIMA,n,0.0365,4,368.8692,4.4773,175.3176,178.1029,2.0,0.0,1.0,1.0,0.0,2.0,13.0
15000,SARIMA,n,0.1009,7,228.1325,4.434,198.8205,201.6452,0.0,0.0,1.0,2.0,0.0,1.0,13.0
17000,SARIMA,n,0.0598,4,148.9486,4.4685,117.5844,118.3733,1.0,2.0,1.0,0.0,1.0,1.0,13.0
18000,SARIMA,n,0.0388,5,78.7346,4.0559,116.2146,117.425,2.0,1.0,0.0,1.0,1.0,0.0,13.0
85000,SARIMA,n,0.0445,4,50.9012,4.1033,10.0,,0.0,0.0,2.0,0.0,2.0,2.0,13.0
19000,SARIMA,n,0.0277,5,258.7226,4.1139,12.0,,1.0,0.0,2.0,0.0,1.0,2.0,13.0
20000,SARIMA,n,0.1681,6,411.5449,12.594,382.2934,385.6999,0.0,2.0,0.0,1.0,0.0,1.0,13.0
27000,SARIMA,n,0.0897,4,38.3166,4.1547,6.0,,0.0,1.0,1.0,0.0,2.0,1.0,13.0
23000,SARIMA,n,0.1346,5,258.0286,4.9171,107.3781,107.6959,0.0,2.0,2.0,0.0,1.0,1.0,13.0
25000,SARIMA,n,0.1075,6,613.4023,4.0029,367.543,370.8161,0.0,1.0,2.0,0.0,1.0,0.0,13.0
94000,SARIMA,n,0.0337,6,5.4765,4.0173,84.0187,86.0082,1.0,1.0,2.0,1.0,1.0,0.0,13.0
95000,SARIMA,n,0.0582,4,14.7505,4.0982,12.0,,2.0,1.0,1.0,0.0,2.0,2.0,13.0
41000,SARIMA,n,0.0635,5,233.7186,4.3852,14.0,,2.0,2.0,2.0,2.0,1.0,0.0,13.0
44000,SARIMA,n,0.1095,4,356.5726,4.3225,73.117,76.0265,1.0,0.0,0.0,2.0,0.0,2.0,13.0
47000,SARIMA,n,0.0433,4,196.49,4.0485,185.8532,188.678,0.0,0.0,2.0,2.0,0.0,0.0,13.0
50000,SARIMA,n,0.2361,5,266.2255,4.0141,395.2767,402.345,2.0,0.0,1.0,1.0,0.0,1.0,13.0
52000,SARIMA,n,0.0416,5,383.9804,4.0308,159.7384,161.2514,0.0,0.0,2.0,0.0,0.0,2.0,13.0
54000,SARIMA,n,0.0598,7,330.2248,4.3554,371.1998,375.912,0.0,2.0,2.0,1.0,0.0,0.0,13.0
86000,SARIMA,n,0.0586,5,79.1753,4.002,134.1021,136.2202,1.0,0.0,2.0,1.0,0.0,2.0,13.0
63000,SARIMA,n,0.0695,4,126.0857,4.3089,112.7941,113.583,1.0,2.0,1.0,0.0,1.0,1.0,13.0
66000,SARIMA,n,0.1024,4,183.879,4.0748,136.0832,137.8987,2.0,0.0,2.0,0.0,1.0,1.0,13.0
88000,SARIMA,n,0.0379,7,16.3554,4.364,195.3038,200.759,2.0,2.0,1.0,1.0,0.0,0.0,13.0
68000,SARIMA,n,0.1378,4,390.7476,4.0003,397.1932,400.7274,2.0,0.0,0.0,0.0,1.0,0.0,13.0
70000,SARIMA,n,0.0237,6,186.7368,4.4471,353.552,357.0861,1.0,0.0,1.0,0.0,1.0,0.0,13.0
73000,SARIMA,n,0.0737,7,278.8955,4.3917,321.6319,325.9961,2.0,2.0,0.0,1.0,0.0,0.0,13.0
76000,SARIMA,n,0.2616,4,1090.851,4.0793,203.6684,205.6578,0.0,1.0,0.0,2.0,0.0,2.0,13.0
97000,SARIMA,n,0.0093,4,3.6975,4.4205,64.3948,65.3026,1.0,2.0,0.0,1.0,1.0,0.0,13.0
99000,SARIMA,n,0.061,7,6.593,4.1707,79.0655,80.5784,1.0,2.0,2.0,1.0,1.0,0.0,13.0
81001,SARIMA,n,0.0282,4,15.6501,4.2281,70.6325,72.0131,2.0,2.0,1.0,2.0,0.0,1.0,13.0
