,method,ts_var_coef,pred_var_coef,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
BOGOTA DC,SARIMA,0.0974,0.0087,6,19.8507,4.0018,130.2245,133.1339,2,0,1,0,0,2,13
COLOMBIA,SARIMA,0.0468,0.0023,0,80.6663,4.0215,474.4381,477.7652,1,0,0,0,0,0,13
CUNDINAMARCA,SARIMA,0.1691,0.0932,7,5.5304,4.119,90.0876,92.8729,2,1,2,2,0,0,13
CAUCA,SARIMA,0.1227,0.0523,0,3.9053,4.8043,97.2477,101.2024,1,0,2,2,0,1,13
ATLANTICO,SARIMA,0.2417,0.0751,3,7.3762,4.9354,102.3979,104.7853,1,0,2,1,1,1,13
ANTIOQUIA,SARIMA,0.1957,0.1094,0,9.78,5.2646,98.0846,101.479,2,0,2,2,0,0,13
LA GUAJIRA,SARIMA,0.2043,0.0731,0,5.0274,6.1162,78.0358,80.1539,0,1,2,2,0,2,13
CORDOBA,SARIMA,0.3114,0.0519,7,3.2003,6.7281,100.4623,103.852,0,1,2,2,0,1,13
TOLIMA,SARIMA,0.1548,0.1447,3,3.4368,6.7934,71.2147,74.3978,2,1,2,2,0,1,13
MAGDALENA,SARIMA,0.1569,0.1474,6,7.5505,7.0705,14,,2,0,2,2,1,0,13
CESAR,SARIMA,0.229,0.0715,0,5.3258,7.5086,92.3258,95.7201,2,0,2,2,0,0,13
NARIÑO,SARIMA,0.1956,0.106,0,5.1234,7.6447,85.5921,88.3774,2,1,2,2,0,0,13
BOYACA,SARIMA,0.1888,0.093,0,3.4742,7.78,81.2907,85.1699,2,0,2,2,0,1,13
NORTE SANTANDER,SARIMA,0.2294,0.1155,0,2.4638,8.4672,82.7765,86.1662,1,0,2,2,0,0,13
META,SARIMA,0.2888,0.0974,0,1.9938,8.8844,61.7858,64.509,2,1,2,2,0,2,13
BOLIVAR,SARIMA,0.1691,0.0597,0,15.1253,9.6597,124.6773,128.067,0,1,2,2,0,1,13
VALLE DEL CAUCA,SARIMA,0.2004,0.1313,0,22.8573,10.5165,109.7135,112.4368,2,1,2,2,0,2,13
VICHADA,SARIMA,0.5886,0.2553,3,0.7015,10.5804,42.8725,45.6577,1,0,2,1,0,2,13
HUILA,SARIMA,0.1938,0.1196,6,10.3589,11.0097,111.7452,115.1349,1,0,1,2,0,1,13
RISARALDA,SARIMA,0.3679,0.182,0,2.7367,11.4542,47.9918,49.7668,2,2,2,2,0,2,13
CHOCO,SARIMA,0.4838,0.4271,0,2.2247,11.7163,75.5587,78.7418,1,0,2,2,0,2,13
QUINDIO,SARIMA,0.3925,0.2665,6,0.9543,12.0015,53.5846,56.3699,2,1,2,2,0,0,13
VAUPES,SARIMA,1.6997,2.6458,6,0.3953,12.5,20.1877,21.9627,2,2,2,2,0,2,13
SUCRE,SARIMA,0.2881,0.1749,0,8.5429,12.8308,96.0777,98.5023,2,0,0,1,1,1,13
CASANARE,SARIMA,0.2993,0.0956,0,2.4106,13.4426,67.925,70.7102,1,0,2,1,0,2,13
PUTUMAYO,SARIMA,0.283,0.2288,0,3.1215,13.7028,77.1608,81.0401,2,0,2,2,0,1,13
CALDAS,SARIMA,0.3898,0.1596,3,3.9765,13.9015,92.715,96.1047,1,0,1,2,0,1,13
GUAINIA,SARIMA,1.048,0.7216,0,0.3536,21.1806,38.4465,41.1698,2,1,2,2,0,2,13
AMAZONAS,SARIMA,0.7899,0.3521,3,3.2692,23.75,67.4247,70.21,2,1,1,1,0,2,13
SANTANDER,SARIMA,0.2323,0.2116,0,8.8308,26.902,96.7095,99.619,2,0,1,2,0,0,13
CAQUETA,SARIMA,0.4082,0.4066,3,2.4597,30.9266,58.8425,61.5658,2,1,2,2,0,2,13
GUAVIARE,SARIMA,0.7954,0.4714,3,0.7488,32.6923,47.0948,50.4845,1,0,2,2,0,0,13
SAN ANDRES,SARIMA,1.3236,1.7321,3,0.9007,39.5833,39.8536,42.763,1,1,1,2,0,1,13
ARAUCA,SARIMA,0.6158,0.6888,3,2.9672,48.0655,80.6686,83.2249,0,0,2,1,1,0,13
