entity,method,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
BOGOTA DC,SARIMA,0.1011,0,4.1129,4.00,164.9457,169.1238,0,2,2,0,0,1,13
COLOMBIA,SARIMA,0.0276,0,31.8938,4.03,119.3799,122.1652,2,0,1,2,0,1,13
NORTE SANTANDER,SARIMA,0.0679,7,1.6995,4.55,44.109,45.2923,2,2,1,2,0,0,13
ANTIOQUIA,SARIMA,0.068,0,5.4153,5.51,89.9327,92.3534,1,0,2,2,0,2,13
CALI,SARIMA,0.027,0,1.4832,5.51,43.3807,44.0956,2,2,2,2,0,2,13
CARTAGENA,SARIMA,0.0463,3,1.2741,6.24,57.107,58.882,2,1,2,2,0,2,13
VALLE DEL CAUCA,SARIMA,0.0647,0,4.0111,6.57,72.1385,74.5592,2,0,2,1,0,2,13
LA GUAJIRA,SARIMA,0.0669,0,2.8718,6.97,70.7867,73.5099,2,0,2,2,0,2,13
BOLIVAR,SARIMA,0.1096,0,2.641,7.08,68.3466,71.1319,2,0,2,2,0,0,13
PUERTO CARREÑO,SARIMA,0.5434,0,0.189,7.14,19.1101,21.4974,2,0,1,2,0,0,13
TOLIMA,SARIMA,0.0448,0,1.5234,7.20,50.1713,52.9566,2,0,2,2,0,0,13
RISARALDA,SARIMA,0.1093,3,0.8005,7.83,36.1772,36.8921,2,2,2,2,0,2,13
CORDOBA,SARIMA,0.0375,0,3.3908,8.10,70.7686,73.4919,2,0,2,2,0,2,13
VALLEDUPAR,SARIMA,0.1331,6,1.9512,8.20,60.4762,62.5943,2,0,2,1,1,1,13
SANTA MARTA,SARIMA,0.033,0,0.8452,9.37,33.221,33.936,2,2,2,2,0,2,13
ATLANTICO,SARIMA,0.0766,3,6.5248,9.50,71.8904,73.2709,2,2,1,1,0,2,13
SANTANDER,SARIMA,0.0704,0,2.1952,10.70,68.7254,70.8435,0,0,2,2,0,2,13
FLORENCIA,SARIMA,0.3004,3,0.5946,10.71,31.0147,32.5276,2,1,0,2,0,0,13
QUINDIO,SARIMA,0.325,6,1.1952,10.88,58.0497,60.835,2,0,1,1,0,2,13
MANIZALES,SARIMA,0.224,0,0.8005,10.95,46.1016,48.2197,2,1,2,2,0,0,13
MAGDALENA,SARIMA,0.1135,0,4.4035,11.06,72.5688,74.0818,1,0,2,0,1,1,13
IBAGUE,SARIMA,0.003,5,1.0299,11.33,52.2951,54.6825,2,0,1,2,0,0,13
CESAR,SARIMA,0.0508,0,4.2008,11.61,77.0716,79.7949,2,0,2,2,0,2,13
CUNDINAMARCA,SARIMA,0.0591,0,3.4111,11.72,52.8575,53.3342,2,2,2,0,1,1,13
CAUCA,SARIMA,0.117,0,2.6312,11.79,56.9835,59.4042,1,0,2,2,0,2,13
VICHADA,SARIMA,0.2076,3,0.5345,11.90,59.9903,62.8998,1,0,1,2,0,1,13
CASANARE,SARIMA,0.0851,0,0.5946,12.14,94.5104,102.1477,2,1,2,1,0,1,13
SUCRE,SARIMA,0.1159,4,3.9694,12.22,73.2758,75.6965,2,0,2,1,0,2,13
ARAUCA CAP,SARIMA,0.4998,0,0.4562,12.66,30.697,32.2748,1,1,2,2,0,2,13
