,method,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
00000,SARIMA,0.0094,7,43.7486,5.7891,177.7851,182.4207,2.0,0.0,0.0,1.0,0.0,2.0,13.0
91000,SARIMA,0.7908,4,0.9354,27.0833,66.3133,69.4036,0.0,0.0,0.0,1.0,0.0,2.0,13.0
05000,SARIMA,0.0519,6,11.2861,12.033,98.8902,100.8298,0.0,2.0,2.0,0.0,1.0,1.0,13.0
81000,SARIMA,0.2643,4,1.1847,14.4196,70.8833,75.8396,1.0,1.0,2.0,2.0,0.0,1.0,13.0
08000,SARIMA,0.2391,6,25.219,35.6518,8.9492,1.108,2.0,0.0,2.0,1.0,2.0,0.0,13.0
13000,SARIMA,0.0022,8,3.9752,11.5531,100.9731,103.8053,1.0,0.0,1.0,0.0,1.0,1.0,13.0
15000,SARIMA,0.0634,6,4.1677,32.0743,79.7447,81.6844,0.0,2.0,2.0,0.0,1.0,1.0,13.0
17000,SARIMA,0.0096,4,4.0196,40.1045,91.7792,96.2526,2.0,0.0,2.0,1.0,1.0,1.0,13.0
18000,SARIMA,0.1822,7,1.7002,28.8542,83.5577,88.9658,1.0,0.0,2.0,2.0,0.0,1.0,13.0
85000,SARIMA,0.037,4,1.0193,36.0417,56.4325,60.7967,2.0,2.0,2.0,2.0,0.0,2.0,13.0
19000,SARIMA,0.1123,6,3.6351,15.579,83.2744,86.6641,2.0,1.0,2.0,0.0,1.0,1.0,13.0
20000,SARIMA,0.0712,4,1.9014,7.5204,102.175,106.1296,1.0,2.0,1.0,2.0,0.0,2.0,13.0
27000,SARIMA,0.1296,4,2.3979,18.6043,179.9388,184.1423,0.0,0.0,1.0,1.0,0.0,0.0,13.0
23000,SARIMA,0.0441,5,4.3945,11.2023,101.7863,107.5378,2.0,0.0,2.0,2.0,0.0,2.0,13.0
25000,SARIMA,0.0178,4,8.9896,19.7111,190.5802,197.0594,2.0,1.0,0.0,1.0,0.0,1.0,13.0
94000,SARIMA,0.1388,7,0.5,18.75,57.3617,60.902,0.0,2.0,2.0,2.0,0.0,0.0,13.0
95000,SARIMA,0.9586,4,0.866,37.5,170.2303,171.9679,0.0,0.0,0.0,0.0,0.0,0.0,13.0
41000,SARIMA,0.0721,5,5.2319,25.6363,23.7783,15.9372,2.0,1.0,0.0,1.0,1.0,2.0,13.0
44000,SARIMA,0.0027,6,4.0511,10.2802,106.6972,111.1706,2.0,0.0,2.0,0.0,0.0,2.0,13.0
47000,SARIMA,0.0783,5,3.3728,11.6128,117.2842,121.1472,1.0,0.0,0.0,2.0,0.0,1.0,13.0
50000,SARIMA,0.2031,5,6.5832,45.8879,1.7249,-7.423,2.0,0.0,2.0,2.0,1.0,0.0,13.0
52000,SARIMA,0.1423,6,2.7721,10.1236,264.5231,271.1773,2.0,2.0,1.0,0.0,0.0,0.0,13.0
54000,SARIMA,0.0153,7,3.2972,12.8814,87.9166,91.3109,2.0,2.0,2.0,0.0,0.0,2.0,13.0
