,method,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
00000,SARIMA,0.0064,6,40.6968,5.4128,258.6679,262.0744,0.0,2.0,0.0,1.0,0.0,1.0,13.0
91000,SARIMA,0.8163,4,1.4142,27.381,101.9311,107.8214,1.0,0.0,1.0,1.0,0.0,1.0,13.0
05000,SARIMA,0.0867,5,6.9692,7.6537,181.796,188.609,1.0,0.0,2.0,1.0,0.0,1.0,13.0
81000,SARIMA,0.2775,4,0.8005,17.3299,42.8063,44.9244,2.0,1.0,2.0,2.0,0.0,0.0,13.0
08000,SARIMA,0.0766,4,6.5248,9.5007,71.8904,73.2709,2.0,2.0,1.0,1.0,0.0,2.0,13.0
13000,SARIMA,0.0419,5,3.914,9.7574,81.3848,83.7722,1.0,1.0,2.0,2.0,0.0,0.0,13.0
15000,SARIMA,0.1535,4,2.1861,20.6568,48.1627,48.7188,2.0,2.0,2.0,1.0,1.0,1.0,13.0
17000,SARIMA,0.1063,7,3.7956,34.5382,55.7043,56.6904,1.0,1.0,2.0,0.0,1.0,1.0,13.0
18000,SARIMA,0.206,4,1.5132,20.3656,69.156,72.5503,1.0,0.0,2.0,2.0,0.0,1.0,13.0
85000,SARIMA,0.1713,6,1.4879,26.1905,41.5818,42.0584,0.0,2.0,2.0,1.0,0.0,2.0,13.0
19000,SARIMA,0.1299,7,4.25,18.3781,143.4352,149.7023,2.0,2.0,2.0,0.0,0.0,1.0,13.0
20000,SARIMA,0.0795,5,6.5334,19.1755,90.9954,92.4501,0.0,1.0,0.0,2.0,0.0,0.0,13.0
27000,SARIMA,0.1534,5,3.0882,14.0842,145.6042,150.4797,2.0,0.0,0.0,0.0,0.0,1.0,13.0
23000,SARIMA,0.0456,5,4.3905,8.818,72.7121,75.0995,0.0,2.0,2.0,2.0,0.0,1.0,13.0
25000,SARIMA,0.1137,6,6.6841,17.6878,67.189,67.6656,0.0,2.0,2.0,1.0,0.0,2.0,13.0
94000,SARIMA,0.1434,4,0.378,14.2857,83.6567,89.3341,0.0,0.0,2.0,1.0,0.0,1.0,13.0
95000,SARIMA,1.5594,4,1.3866,50.0,49.2949,50.8078,0.0,0.0,2.0,0.0,0.0,2.0,13.0
41000,SARIMA,0.1448,7,3.8637,17.705,148.9742,155.7872,2.0,0.0,2.0,0.0,0.0,1.0,13.0
44000,SARIMA,0.1296,4,4.9063,8.7288,166.4591,171.1713,0.0,0.0,1.0,1.0,0.0,1.0,13.0
47000,SARIMA,0.1721,4,5.994,11.0793,239.7384,247.656,2.0,0.0,2.0,0.0,0.0,0.0,13.0
50000,SARIMA,0.0547,4,3.0327,16.6598,71.4258,73.8132,1.0,1.0,1.0,2.0,0.0,1.0,13.0
52000,SARIMA,0.0442,5,4.9146,23.0926,67.9351,68.9212,2.0,2.0,0.0,2.0,0.0,0.0,13.0
54000,SARIMA,0.0154,7,2.4365,8.3548,41.7365,43.5115,2.0,1.0,2.0,2.0,0.0,2.0,13.0
86000,SARIMA,0.0129,4,0.8649,21.4286,28.0726,29.4531,2.0,2.0,1.0,2.0,0.0,1.0,13.0
63000,SARIMA,0.2759,7,1.2244,12.6701,56.2345,58.6219,1.0,0.0,1.0,1.0,0.0,2.0,13.0
66000,SARIMA,0.1093,4,0.8005,7.8293,36.1772,36.8921,2.0,2.0,2.0,2.0,0.0,2.0,13.0
88000,SARIMA,0.13,4,0.9258,48.5714,48.046,49.8615,2.0,1.0,1.0,1.0,1.0,1.0,13.0
68000,SARIMA,0.0603,4,7.3872,35.8404,215.3276,217.7654,0.0,0.0,0.0,0.0,0.0,1.0,13.0
70000,SARIMA,0.1159,5,3.9694,12.2163,73.2758,75.6965,2.0,0.0,2.0,1.0,0.0,2.0,13.0
73000,SARIMA,0.0587,7,2.6186,11.6643,153.7469,157.4035,0.0,0.0,0.0,1.0,0.0,1.0,13.0
76000,SARIMA,0.1,5,4.988,8.1329,61.8081,62.5231,2.0,2.0,2.0,2.0,0.0,2.0,13.0
