,method,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
00000,SARIMA,0.0643,5,119.5192,4.0088,311.2718,317.1621,1.0,0.0,1.0,1.0,0.0,1.0,13.0
91000,SARIMA,0.327,3,0.7902,7.8231,39.4512,42.1744,2.0,0.0,2.0,2.0,0.0,2.0,13.0
05000,SARIMA,0.0505,0,24.1692,4.0406,106.3585,108.174,2.0,0.0,2.0,0.0,1.0,1.0,13.0
81000,SARIMA,0.2525,6,3.5621,16.8618,84.4085,87.318,2.0,0.0,0.0,1.0,0.0,2.0,13.0
08000,SARIMA,0.1094,0,11.3463,7.6579,97.7266,100.5118,2.0,0.0,2.0,2.0,0.0,0.0,13.0
13000,SARIMA,0.1407,0,5.7888,6.7192,76.5019,78.3174,1.0,0.0,2.0,1.0,1.0,1.0,13.0
15000,SARIMA,0.099,0,4.3189,6.119,89.2135,91.203,1.0,0.0,1.0,1.0,1.0,1.0,13.0
17000,SARIMA,0.1694,4,17.6918,11.7016,304.3978,309.2306,1.0,0.0,1.0,0.0,0.0,0.0,13.0
18000,SARIMA,0.0282,3,3.1615,10.0581,68.4678,70.2429,2.0,1.0,2.0,2.0,0.0,2.0,13.0
85000,SARIMA,0.2746,4,3.2724,6.3995,63.1487,65.5694,2.0,1.0,2.0,2.0,0.0,1.0,13.0
19000,SARIMA,0.0436,3,5.0879,5.4552,75.6104,77.1882,1.0,1.0,2.0,2.0,0.0,2.0,13.0
20000,SARIMA,0.0826,0,5.3442,7.7009,85.9477,87.9372,1.0,1.0,1.0,2.0,0.0,0.0,13.0
27000,SARIMA,0.2258,0,3.3347,35.7483,84.4778,87.8675,0.0,0.0,2.0,2.0,0.0,1.0,13.0
23000,SARIMA,0.1491,0,5.3574,6.6135,74.1671,75.9421,2.0,1.0,2.0,2.0,0.0,2.0,13.0
25000,SARIMA,0.1233,0,13.3675,7.1313,92.0523,93.5653,0.0,0.0,2.0,1.0,1.0,1.0,13.0
94000,SARIMA,0.6823,4,1.6029,24.7599,50.4002,52.2158,2.0,1.0,1.0,2.0,0.0,0.0,13.0
95000,SARIMA,0.3341,3,1.2071,17.551,58.7871,61.6966,0.0,1.0,2.0,2.0,0.0,1.0,13.0
41000,SARIMA,0.0157,0,5.7277,7.0748,76.0193,77.6109,1.0,0.0,1.0,0.0,1.0,1.0,13.0
44000,SARIMA,0.0663,3,3.2502,7.4495,135.261,138.6675,1.0,1.0,1.0,0.0,1.0,0.0,13.0
47000,SARIMA,0.0437,0,2.8615,5.4087,65.4819,67.2569,2.0,1.0,2.0,2.0,0.0,2.0,13.0
50000,SARIMA,0.1268,6,7.647,8.1367,78.5665,80.1443,2.0,1.0,2.0,1.0,0.0,2.0,13.0
52000,SARIMA,0.06,0,6.1465,4.2845,88.1941,91.3773,2.0,0.0,2.0,2.0,0.0,1.0,13.0
54000,SARIMA,0.1629,0,6.6702,6.9326,70.5223,71.7057,1.0,1.0,2.0,0.0,0.0,2.0,13.0
86000,SARIMA,0.0103,3,4.6509,8.3534,71.9951,73.8106,2.0,1.0,2.0,1.0,1.0,0.0,13.0
63000,SARIMA,0.1575,0,3.8297,5.4806,63.6084,65.7265,2.0,1.0,2.0,2.0,0.0,0.0,13.0
66000,SARIMA,0.2688,0,4.6555,4.3766,73.3248,75.4429,2.0,1.0,2.0,2.0,0.0,0.0,13.0
88000,SARIMA,0.2488,3,0.2673,9.5238,36.2182,38.3363,0.0,0.0,2.0,2.0,0.0,2.0,13.0
