,method,trend,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
00000,SARIMA,n,0.0289,5,278.326,10.9268,187.8781,192.3977,2.0,2.0,1.0,2.0,0.0,2.0,13.0
91000,SARIMA,n,0.1327,4,1.8371,23.6607,74.5008,76.046,0.0,0.0,0.0,0.0,1.0,1.0,13.0
05000,SARIMA,n,0.0408,5,56.8308,14.8463,163.9464,168.4198,2.0,0.0,2.0,1.0,1.0,1.0,13.0
81000,SARIMA,n,0.0452,8,4.2776,26.1285,77.4796,80.8739,2.0,2.0,2.0,0.0,0.0,2.0,13.0
08000,SARIMA,n,0.1249,4,18.1145,13.3173,145.435,148.9752,1.0,0.0,1.0,0.0,0.0,2.0,13.0
13000,SARIMA,n,0.1149,6,10.2871,11.7286,110.1153,113.505,1.0,1.0,2.0,0.0,0.0,2.0,13.0
15000,SARIMA,n,0.128,4,8.1203,12.5823,124.6184,129.0918,2.0,0.0,2.0,0.0,0.0,2.0,13.0
17000,SARIMA,n,0.1243,5,15.3346,13.8096,231.1818,238.9568,2.0,1.0,2.0,1.0,0.0,0.0,13.0
18000,SARIMA,n,0.1823,4,5.3329,14.6269,103.8593,108.3327,2.0,0.0,2.0,0.0,0.0,2.0,13.0
85000,SARIMA,n,0.201,7,3.7006,11.4983,82.63,87.1496,2.0,1.0,2.0,1.0,0.0,2.0,13.0
19000,SARIMA,n,0.008,6,9.9646,14.32,121.5988,126.7113,1.0,0.0,2.0,2.0,0.0,2.0,13.0
20000,SARIMA,n,0.0715,4,10.0332,13.2234,122.1258,125.666,1.0,1.0,1.0,2.0,0.0,0.0,13.0
27000,SARIMA,n,0.1222,4,3.179,35.0537,725.5935,731.2579,2.0,0.0,2.0,2.0,0.0,1.0,13.0
23000,SARIMA,n,0.0562,4,9.2952,9.8479,4.257,-9.743,0.0,0.0,2.0,2.0,1.0,2.0,13.0
25000,SARIMA,n,0.1416,7,19.0308,10.5665,134.3185,137.7082,2.0,2.0,1.0,2.0,0.0,0.0,13.0
94000,SARIMA,n,0.0021,4,2.1794,29.4643,1260.9689,1266.1522,0.0,1.0,1.0,1.0,0.0,1.0,13.0
95000,SARIMA,n,0.3435,8,2.0766,33.5119,66.6336,71.1532,2.0,1.0,2.0,1.0,0.0,2.0,13.0
41000,SARIMA,n,0.0282,7,7.2753,10.2933,110.0838,115.1962,2.0,0.0,2.0,1.0,0.0,2.0,13.0
44000,SARIMA,n,0.1445,4,3.5053,10.2,89.8776,95.542,2.0,0.0,2.0,2.0,0.0,1.0,13.0
47000,SARIMA,n,0.0479,5,9.3558,12.8598,19.649,15.142,1.0,0.0,0.0,1.0,1.0,2.0,13.0
50000,SARIMA,n,0.1299,5,11.992,16.4649,126.5104,130.7587,2.0,0.0,1.0,0.0,0.0,2.0,13.0
52000,SARIMA,n,0.0003,6,7.4244,7.5012,114.0606,118.5802,1.0,1.0,2.0,2.0,0.0,2.0,13.0
