,method,trend,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
00000,SARIMA,n,0.0643,6,119.5192,4.0088,311.2718,317.1621,1.0,0.0,1.0,1.0,0.0,1.0,13.0
91000,SARIMA,n,0.327,4,0.7902,7.8231,39.4512,42.1744,2.0,0.0,2.0,2.0,0.0,2.0,13.0
05000,SARIMA,n,0.0588,5,32.2656,4.2769,125.398,127.3376,2.0,0.0,0.0,0.0,1.0,1.0,13.0
81000,SARIMA,n,0.2525,7,3.5621,16.8618,84.4085,87.318,2.0,0.0,0.0,1.0,0.0,2.0,13.0
08000,SARIMA,n,0.02,7,34.9108,23.0956,213.743,216.014,1.0,2.0,0.0,0.0,1.0,0.0,13.0
13000,SARIMA,n,0.1277,7,8.4826,8.3183,89.8157,91.3287,2.0,2.0,0.0,0.0,0.0,2.0,13.0
15000,SARIMA,n,0.0703,7,4.4078,6.9455,80.5167,82.3322,1.0,0.0,2.0,1.0,1.0,1.0,13.0
17000,SARIMA,n,0.1694,6,17.6918,11.7016,304.3978,309.2306,1.0,0.0,1.0,0.0,0.0,0.0,13.0
18000,SARIMA,n,0.0528,4,3.649,12.3326,85.4969,88.4063,0.0,1.0,2.0,2.0,0.0,1.0,13.0
85000,SARIMA,n,0.2746,4,3.2724,6.3995,63.1487,65.5694,2.0,1.0,2.0,2.0,0.0,1.0,13.0
19000,SARIMA,n,0.0436,4,5.0879,5.4552,75.6104,77.1882,1.0,1.0,2.0,2.0,0.0,2.0,13.0
20000,SARIMA,n,0.1535,6,17.5779,30.5364,209.6886,214.2306,0.0,0.0,2.0,0.0,0.0,1.0,13.0
27000,SARIMA,n,0.3173,6,4.5195,51.5533,61.2895,61.8456,0.0,2.0,2.0,2.0,0.0,2.0,13.0
23000,SARIMA,n,0.1552,7,12.6576,13.9127,194.6448,198.0513,0.0,0.0,2.0,0.0,1.0,0.0,13.0
