date,entity,year,period,value,forecast,ci_inf,ci_sup
2017-01-01,00000,2017.0,1.0,1476,,,
2017-01-29,00000,2017.0,2.0,1745,,,
2017-02-26,00000,2017.0,3.0,1941,,,
2017-03-26,00000,2017.0,4.0,1872,,,
2017-04-23,00000,2017.0,5.0,2132,,,
2017-05-21,00000,2017.0,6.0,2125,,,
2017-06-18,00000,2017.0,7.0,2075,,,
2017-07-16,00000,2017.0,8.0,2034,,,
2017-08-13,00000,2017.0,9.0,2134,,,
2017-09-10,00000,2017.0,10.0,2251,,,
2017-10-08,00000,2017.0,11.0,2170,,,
2017-11-05,00000,2017.0,12.0,2050,,,
2017-12-03,00000,2017.0,13.0,1830,,,
2017-12-31,00000,2018.0,1.0,1584,,,
2018-01-28,00000,2018.0,2.0,2242,,,
2018-02-25,00000,2018.0,3.0,2491,,,
2018-03-25,00000,2018.0,4.0,2309,,,
2018-04-22,00000,2018.0,5.0,2316,,,
2018-05-20,00000,2018.0,6.0,2270,,,
2018-06-17,00000,2018.0,7.0,2078,,,
2018-07-15,00000,2018.0,8.0,2327,,,
2018-08-12,00000,2018.0,9.0,2389,,,
2018-09-09,00000,2018.0,10.0,2303,,,
2018-10-07,00000,2018.0,11.0,2260,,,
2018-11-04,00000,2018.0,12.0,2214,,,
2018-12-02,00000,2018.0,13.0,1832,,,
2018-12-30,00000,2019.0,1.0,1827,,,
2019-01-27,00000,2019.0,2.0,2115,,,
2019-02-24,00000,2019.0,3.0,2612,,,
2019-03-24,00000,2019.0,4.0,2459,,,
2019-04-21,00000,2019.0,5.0,2386,,,
2019-05-19,00000,2019.0,6.0,2382,,,
2019-06-16,00000,2019.0,7.0,2195,,,
2019-07-14,00000,2019.0,8.0,2371,,,
2019-08-11,00000,2019.0,9.0,2474,,,
2019-09-08,00000,2019.0,10.0,2588,,,
2019-10-06,00000,2019.0,11.0,2383,,,
2019-11-03,00000,2019.0,12.0,2439,,,
2019-12-01,00000,2019.0,13.0,2246,,,
2019-12-29,00000,2020.0,1.0,2108,2150,1940.8117395592892,2360.130932615358
2020-01-26,00000,2020.0,2.0,2433,2375,2145.024436366006,2605.5944355103784
2020-02-23,00000,2020.0,3.0,2551,2688,2439.6970746397096,2937.27843604894
2020-03-22,00000,2020.0,4.0,1342,2570,2304.8551952972734,2836.1119206251838
2020-04-19,00000,2020.0,5.0,,2519,2238.270879444201,2800.483460330532
2020-05-17,00000,2020.0,6.0,,2503,2207.879193235495,2798.7712214168823
2020-06-14,00000,2020.0,7.0,,2364,2055.618368326142,2673.24514784382
2020-07-12,00000,2020.0,8.0,,2480,2158.900392202976,2801.573594643164
2020-08-09,00000,2020.0,9.0,,2539,2205.9495980363154,2872.1841774026834
2020-09-06,00000,2020.0,10.0,,2594,2249.3646503765995,2937.840184204746
2020-10-04,00000,2020.0,11.0,,2455,2100.4596195325953,2809.9913746031084
2020-11-01,00000,2020.0,12.0,,2475,2110.3160462577594,2839.8328179232863
2020-11-29,00000,2020.0,13.0,,2317,1942.5091630697236,2691.0359874559695
