,method,ts_var_coef,pred_var_coef,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
COLOMBIA,SARIMA,0.1177,0.0869,6,117.8039,4.0003,153.3339,154.3037,0,1,0,0,1,1,13
ANTIOQUIA,SARIMA,0.116,0.0545,3,28.0336,4.0542,243.2665,250.0795,2,1,2,0,0,1,13
CAUCA,SARIMA,0.1334,0.1125,0,3.4234,4.0656,67.0574,69.7806,2,1,2,2,0,2,13
NARIÑO,SARIMA,0.1489,0.1023,0,5.7674,4.5771,86.8031,89.9862,1,0,2,2,0,2,13
RISARALDA,SARIMA,0.3329,0.061,0,6.1146,4.9684,83.2147,86.3979,2,1,2,2,0,1,13
VALLE DEL CAUCA,SARIMA,0.165,0.1376,3,15.9762,5.0986,92.2092,93.9842,2,2,2,2,0,2,13
CASANARE,SARIMA,0.2996,0.0321,4,3.061,5.5632,65.5234,68.3087,2,1,2,2,0,0,13
SANTANDER,SARIMA,0.1552,0.0954,0,6.3215,5.9267,111.6887,115.6433,1,0,2,2,0,1,13
HUILA,SARIMA,0.1477,0.1414,0,5.0617,6.0353,78.1228,80.5102,2,0,2,0,1,1,13
BOLIVAR,SARIMA,0.1939,0.1838,6,6.342,6.0991,84.105,86.2231,2,2,2,2,0,0,13
ATLANTICO,SARIMA,0.2073,0.1213,0,9.6816,6.6952,103.6619,107.0562,2,0,2,2,0,0,13
CUNDINAMARCA,SARIMA,0.252,0.1538,8,12.7741,6.8441,99.1868,101.1763,0,0,2,1,1,1,13
MAGDALENA,SARIMA,0.1528,0.0603,0,3.7797,6.8798,82.1977,85.3809,2,0,2,1,0,2,13
LA GUAJIRA,SARIMA,0.3018,0.25,5,2.4303,7.4788,62.6676,66.2486,2,0,2,2,0,2,13
QUINDIO,SARIMA,0.2136,0.0376,0,4.5409,7.5021,72.3749,75.5581,2,0,2,1,0,2,13
PUTUMAYO,SARIMA,0.1952,0.1448,0,3.741,7.5309,73.2987,75.4168,2,1,2,1,1,1,13
NORTE SANTANDER,SARIMA,0.2095,0.0873,5,7.9434,7.5749,76.6218,78.0024,2,2,2,0,0,2,13
SUCRE,SARIMA,0.2492,0.0742,8,2.6448,7.8268,67.5646,69.6826,0,1,2,2,0,2,13
BOYACA,SARIMA,0.2168,0.1353,0,5.8736,7.9197,101.9025,105.2968,1,0,1,2,0,2,13
META,SARIMA,0.212,0.0816,5,7.6125,8.3539,84.914,87.3347,2,1,2,1,0,2,13
CESAR,SARIMA,0.1687,0.0899,0,5.5948,8.6304,94.6705,97.58,1,1,1,2,0,1,13
BOGOTA,SARIMA,0.3889,0.2333,0,13.733,9.5851,121.9048,125.8595,1,0,2,2,0,1,13
CORDOBA,SARIMA,0.238,0.0904,3,8.256,9.687,102.1582,106.0375,2,0,2,2,0,1,13
TOLIMA,SARIMA,0.3028,0.091,0,14.3073,10.0393,124.3946,128.3493,1,0,2,2,0,1,13
CALDAS,SARIMA,0.1859,0.0193,4,16.6973,10.424,311.3856,316.2983,1,0,1,0,0,0,13
CAQUETA,SARIMA,0.2468,0.1766,3,3.2988,10.6869,80.3824,83.1677,2,1,2,2,0,0,13
ARAUCA,SARIMA,0.3238,0.1442,3,2.8994,12.9622,84.1064,87.5008,1,1,2,2,0,1,13
SAN ANDRES,SARIMA,1.0124,1.1055,3,0.3062,14.5833,37.9467,40.7319,0,0,2,2,0,2,13
AMAZONAS,SARIMA,0.5012,0.3735,3,1.452,20,52.8452,54.6608,2,1,2,0,1,1,13
GUAINIA,SARIMA,1.0395,0.3674,4,1.5206,22.8423,53.101,55.4884,2,1,1,2,0,0,13
GUAVIARE,SARIMA,0.5686,0.4443,5,2.1211,29.3155,55.2303,56.7432,2,1,2,0,2,0,13
CHOCO,SARIMA,0.4516,0.2716,0,3.299,33.6876,67.6351,70.0224,1,0,2,1,1,1,13
VICHADA,SARIMA,1.317,,3,2.031,37.5,189.4156,191.0791,0,0,0,0,0,0,13
VAUPES,SARIMA,0.7214,0.4956,3,3.3901,40.0714,52.5458,54.1236,2,2,2,1,0,2,13
