entity,method,var_coef_diff,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
SANTANDER,SARIMA,0.0903,0,2.155,4.01,66.7487,68.8668,1,0,2,1,0,2,13
COLOMBIA,SARIMA,0.0294,3,58.5547,4.01,122.0587,123.8742,1,2,2,2,0,0,13
TOLIMA,SARIMA,0.023,3,2.5966,4.41,56.6066,58.7247,2,0,2,1,1,1,13
CUNDINAMARCA,SARIMA,0.0845,0,2.5927,4.52,72.0367,74.4574,1,0,2,2,0,2,13
HUILA,SARIMA,0.0976,0,1.5797,4.69,58.8515,62.0347,2,0,2,2,0,1,13
ANTIOQUIA,SARIMA,0.0363,3,14.2175,5.22,92.1751,94.2931,2,0,2,1,1,1,13
NEIVA,SARIMA,0.0241,3,0.982,5.70,55.9997,58.387,1,1,2,2,0,0,13
MEDELLIN,SARIMA,0.0798,3,8.5425,5.82,81.0757,82.5886,2,1,0,2,0,0,13
IBAGUE,SARIMA,0.1301,0,1.6452,6.39,8,,0,0,2,0,2,1,13
VALLEDUPAR,SARIMA,0.1326,0,1.5771,6.41,50.3038,52.1193,1,0,2,1,1,1,13
META,SARIMA,0.0744,3,4.4158,7.03,63.0216,64.8371,2,0,2,0,1,1,13
VAUPES,SARIMA,0.5217,5,0.378,7.14,20.7504,23.1378,2,0,1,2,0,0,13
PUERTO CARREÑO,SARIMA,0.8236,4,0.378,7.14,30.4277,32.8522,0,1,2,2,0,0,13
CALDAS,SARIMA,0.1016,0,2.0156,7.18,62.604,64.7221,2,1,2,2,0,0,13
ATLANTICO,SARIMA,0.0089,0,8.521,7.77,90.7167,93.1041,2,0,2,1,1,0,13
CHOCO,SARIMA,0.021,0,1.2483,7.96,72.6253,75.8085,2,0,2,2,0,1,13
RIOHACHA,SARIMA,0.3354,3,1.0494,8.06,48.026,50.8113,2,0,2,2,0,0,13
VILLAVICENCIO,SARIMA,0.0534,3,3.0229,8.07,64.2445,66.06,2,0,2,0,1,1,13
MAGDALENA,SARIMA,0.1101,3,2.1737,8.08,59.5563,61.6744,2,0,2,1,1,1,13
BOGOTA DC,SARIMA,0.0398,0,9.3719,8.17,94.5153,96.9027,2,0,1,2,0,0,13
LA GUAJIRA,SARIMA,0.103,4,4.1395,8.45,82.0601,84.8454,2,0,1,1,0,2,13
BARRANQUILLA,SARIMA,0.0499,4,3.954,8.55,62.9752,63.6107,2,2,2,1,0,2,13
ARMENIA,SARIMA,0.1045,0,1.336,8.70,59.0231,61.7464,2,0,2,2,0,2,13
CUCUTA,SARIMA,0.1476,5,3.4406,9.45,162.756,169.8243,2,0,2,1,0,0,13
BOLIVAR,SARIMA,0.0486,3,4.6354,10.20,67.0383,69.1564,2,1,2,2,0,0,13
CESAR,SARIMA,0.0551,5,3.6788,10.81,74.357,76.7776,2,1,2,2,0,1,13
BUCARAMANGA,SARIMA,0.0353,0,2.6682,10.95,65.0316,66.5445,2,1,0,2,0,0,13
POPAYAN,SARIMA,0.1421,3,0.7499,11.18,32.0174,33.2008,2,1,2,0,1,1,13
RISARALDA,SARIMA,0.1089,3,6.4855,11.83,72.7643,73.9476,1,1,2,1,1,1,13
PASTO,SARIMA,0.0475,3,0.4562,11.90,30.2235,32.3416,2,1,2,2,0,0,13
CALI,SARIMA,0.0399,0,11.0847,11.92,200.943,206.6205,2,0,2,0,1,0,13
CARTAGENA,SARIMA,0.0466,3,3.4701,12.18,61.6687,63.4437,2,1,2,2,0,2,13
QUINDIO,SARIMA,0.0203,0,2.558,12.70,68.0632,70.4506,0,0,1,2,0,2,13
NORTE SANTANDER,SARIMA,0.1143,3,8.2315,12.80,87.107,89.5277,2,0,2,1,0,2,13
VALLE DEL CAUCA,SARIMA,0.0556,5,21.8809,12.88,103.4861,105.6042,0,0,2,2,0,2,13
CAUCA,SARIMA,0.0606,3,3.8921,12.91,66.0182,68.1363,2,0,2,1,1,1,13
MITU,SARIMA,1.1846,3,0.378,14.29,85.3945,89.1688,0,0,1,1,0,0,13
PUTUMAYO,SARIMA,0.0657,0,1.463,14.78,53.9412,56.0593,2,0,2,1,1,1,13
BOYACA,SARIMA,0.0575,0,1.581,15.36,53.9047,55.7202,2,1,2,1,1,0,13
LETICIA,SARIMA,0.4956,3,1.964,16.07,104.9043,109.6165,1,0,1,0,0,1,13
SANTA MARTA,SARIMA,0.0913,0,3.1852,16.47,77.9529,79.9424,0,0,1,1,0,2,13
MANIZALES,SARIMA,0.2588,3,2.3297,17.33,56.2702,57.848,1,1,2,2,0,2,13
NARIÑO,SARIMA,0.0967,5,2.6445,17.72,76.3904,78.815,1,0,2,1,1,0,13
QUIBDO,SARIMA,0.2639,3,1.771,18.22,57.8781,59.6936,1,0,2,0,0,2,13
ARAUCA,SARIMA,0.04,0,1.1937,18.42,50.3413,53.5245,2,0,2,2,0,1,13
ARAUCA CAP,SARIMA,0.3553,3,0.7902,19.05,39.5588,40.9394,2,1,2,0,0,2,13
PEREIRA,SARIMA,0.0005,4,4.9948,19.06,72.2593,74.0748,2,2,0,1,0,2,13
AMAZONAS,SARIMA,0.1195,3,1.0494,19.33,38.1545,39.3379,2,1,2,0,1,1,13
CORDOBA,SARIMA,0.112,0,3.4298,19.49,73.145,75.9303,2,0,2,2,0,0,13
CAQUETA,SARIMA,0.2024,5,6.0624,23.45,73.1137,74.9292,2,0,2,0,1,1,13
PUERTO INIRIDA,SARIMA,0.5211,6,1.2244,23.59,47.361,50.2705,0,1,2,2,0,1,13
TUNJA,SARIMA,0.3141,3,1.3628,23.81,101.3933,103.831,0,0,0,0,0,1,13
CASANARE,SARIMA,0.0421,0,1.8321,28.26,65.7236,68.5089,2,0,2,2,0,0,13
VICHADA,SARIMA,0.3091,6,0.9629,28.57,39.5364,40.5226,0,1,2,0,0,2,13
YOPAL,SARIMA,0.2555,0,1.2536,28.57,47.1959,49.0114,1,0,2,1,1,1,13
GUAINIA,SARIMA,0.376,7,1.3587,30.95,42.819,44.6346,1,0,2,1,1,1,13
MONTERIA,SARIMA,0.1428,3,2.6678,31.25,71.0515,73.4389,0,2,2,2,0,1,13
SAN ANDRES,SARIMA,0.0543,4,0.5946,31.43,34.5767,35.2122,2,2,2,1,0,2,13
SUCRE,SARIMA,0.0324,0,2.4185,31.68,56.6623,58.4373,2,1,2,2,0,2,13
SAN ANDRES CAP,SARIMA,0.4902,0,0.4562,32.14,28.0371,28.6726,2,2,2,1,0,2,13
MOCOA,SARIMA,0.2868,3,1.622,33.81,55.0215,57.4088,0,2,2,2,0,1,13
SINCELEJO,SARIMA,0.1995,5,1.7792,35.47,111.5966,117.274,0,0,2,1,0,1,13
SAN JOSE DEL GUAVIARE,SARIMA,0.4407,6,1.3535,39.29,42.4144,43.7949,2,1,2,0,0,2,13
FLORENCIA,SARIMA,0.2347,3,8.201,41.05,12,,1,1,2,2,1,0,13
GUAVIARE,SARIMA,0.6127,3,2.8793,45.12,52.2902,53.2763,0,1,2,0,0,2,13
