,method,ts_var_coef,pred_var_coef,tracking_signal,rmse,mape,aic,bic,p,d,q,Sp,Sd,Sq,freq
COLOMBIA,SARIMA,0.0708,0.0951,3,38.3118,2.8059,126.0129,129.1961,2,1,2,2,0,1,13
SANTANDER,SARIMA,0.1341,0.0424,0,2.2817,4.1641,58.9405,61.0586,0,1,2,2,0,2,13
HUILA,SARIMA,0.1549,0.0734,0,1.4977,4.4216,62.3541,66.3088,1,0,2,2,0,1,13
TOLIMA,SARIMA,0.1733,0.1424,3,2.5362,4.5766,59.7282,62.5135,2,0,2,1,1,1,13
ANTIOQUIA,SARIMA,0.0992,0.1218,3,14.664,5.2775,86.0472,87.2305,2,2,2,0,1,1,13
META,SARIMA,0.1588,0.114,4,4.5108,6.4989,71.0578,73.1759,2,2,1,2,0,1,13
ATLANTICO,SARIMA,0.1285,0.1565,0,7.3563,6.9916,185.7445,193.9909,2,0,2,1,0,1,13
CALDAS,SARIMA,0.2325,0.1267,0,2.2389,8.1566,66.6722,69.4574,2,1,2,2,0,0,13
LA GUAJIRA,SARIMA,0.2369,0.1113,3,4.401,8.2298,157.9171,164.9855,2,1,2,1,0,0,13
MAGDALENA,SARIMA,0.2481,0.1279,0,2.639,9.441,94.5219,98.4765,1,0,2,2,0,1,13
CUNDINAMARCA,SARIMA,0.1708,0.1185,0,4.2486,9.9049,80.9519,84.5329,2,0,2,2,0,2,13
BOGOTA DC,SARIMA,0.1495,0.1153,0,10.3208,10.223,88.7652,91.4885,2,1,2,2,0,2,13
QUINDIO,SARIMA,0.2144,0.2073,0,2.1569,10.6376,80.5674,84.5221,1,0,2,2,0,1,13
CESAR,SARIMA,0.1977,0.1474,3,3.6397,10.7763,80.8271,84.2214,2,0,2,2,0,0,13
RISARALDA,SARIMA,0.1923,0.0871,3,6.1319,11.1107,78.2804,80.0959,1,1,2,1,1,1,13
VALLE DEL CAUCA,SARIMA,0.1341,0.1203,4,21.1455,11.748,119.9446,122.854,2,0,2,1,1,0,13
CHOCO,SARIMA,0.2563,0.3055,0,4.175,12.1501,159.2922,165.1825,2,0,2,0,1,0,13
NORTE SANTANDER,SARIMA,0.1755,0.0428,3,8.8131,12.6239,162.9894,167.3536,0,2,2,0,0,1,13
BOLIVAR,SARIMA,0.1771,0.0631,3,5.9798,13.2411,84.8501,87.6353,1,0,2,1,0,2,13
NARIÑO,SARIMA,0.298,0.3032,0,1.7477,13.4321,62.5356,65.2589,2,1,2,2,0,2,13
CAUCA,SARIMA,0.2164,0.132,6,3.923,14.2034,79.7363,83.6155,2,0,2,2,0,1,13
PUTUMAYO,SARIMA,0.3276,0.2796,3,1.2205,15.7838,66.3485,69.7429,2,0,2,2,0,0,13
VAUPES,SARIMA,1.0325,1.7321,5,0.7906,18.75,85.1006,91.195,2,0,1,1,0,0,13
ARAUCA,SARIMA,0.3754,0.2795,3,1.4415,20.6999,59.7397,63.3208,2,0,2,2,0,2,13
AMAZONAS,SARIMA,0.4737,0.2979,3,1.6425,20.7292,51.0866,53.8719,2,0,2,1,1,1,13
BOYACA,SARIMA,0.386,0.2769,0,1.9675,21.6786,83.2867,87.121,0,0,2,2,0,1,13
VICHADA,SARIMA,0.839,0.6106,3,0.9354,22.9167,45.5397,48.263,2,1,2,2,0,2,13
CAQUETA,SARIMA,0.3194,0.2106,5,7.8541,23.0421,8,#NAME?,1,0,0,2,1,0,13
CASANARE,SARIMA,0.3222,0.2606,0,1.7138,24.7281,69.1978,72.5921,2,0,2,2,0,0,13
CORDOBA,SARIMA,0.2697,0.21,0,4.2965,26.1051,81.7297,85.1241,2,0,2,2,0,0,13
SAN ANDRES,SARIMA,1.0886,0.7746,0,0.7906,29.1667,37.2097,39.5971,1,0,2,1,1,1,13
GUAINIA,SARIMA,0.9303,0,5,1.5406,38.5417,94.4803,99.5127,0,1,2,1,0,0,13
GUAVIARE,SARIMA,0.6067,0.2474,0,2.6575,41.0417,74.9184,78.7977,2,0,1,2,0,2,13
SUCRE,SARIMA,0.391,0.3633,3,2.8826,41.7406,72.9384,76.3328,1,1,2,2,0,1,13
